brand,storage,ram,phones_price,reviews,battery
Infinix Hot 50,256,," 26,240",0,5000
Samsung Galaxy A15,128,," 18,599",3,5000
CORN C16 PRO,32,," 6,800",0,5000
Huawei Psmart 2019,128,6," 8,300",126,
realme Note 50,128,8," 12,399",1,
Samsung Galaxy A04e,32,3," 10,000",11,5000
Motorola G Stylus,128,," 14,999",11,
Samsung Galaxy A15,256,8," 25,999",1,5000
VILLAON V20 SE,,4," 5,794",1,3000
Samsung Galaxy S7,,4," 5,999",6,
KGTEL NOVA 10,64,12," 8,499",0,5000
OPPO A7X F9,128,," 7,599",0,3500
Samsung Galaxy A05S,128,," 16,299",0,5000
Samsung Galaxy S7,,4," 6,599",66,
XIAOMI MI5 SecondHand,64,," 5,299",7,3000
Xiaomi Redmi 14C,128,6," 14,799",0,5160
BRANDNEWTecno Spark 30C,128,8," 13,999",0,5000
Itel P55 128GB,128,12," 12,699",0,5000
Samsung S21 128GB,128,8," 25,999",0,
Samsung Galaxy A06,128,," 14,999",4,5000
Tecno Spark 30C,128,8," 13,699",0,5000
TECNO SPARK 30C,128,8," 14,299",0,5000
Samsung Galaxy A06,64,," 12,899",4,5000
Xiaomi Redmi 14C,128,6," 15,099",2,5160
realme Note 50,64,6," 10,680",0,5000
Huawei Psmart 2019,128,6," 8,000",12,
Corn X50 16GB,16,2," 4,899",0,
VILLAON V20 SE,32,2," 5,250",0,3000
oppo R9 F1plus,,4," 5,333",1,3010
Xiaomi Redmi 14C,256,8," 16,899",3,5160
TECNO POP 8,128,4," 10,799",4,5000
OPPO X Mobile,,," 14,880",4,
Xiaomi Redmi 13,,8," 21,999",9,5030
Samsung Galaxy A05S,128,," 15,399",2,5000
MI 10T 128GB,128,8," 18,899",0,5000
INFINIX HOT 50i,128,6," 13,999",2,5000
XIAOMI Redmi 14C,128,8," 12,980",0,5160
Tecno Spark 30C,128,8," 14,199",0,5000
Xiaomi Redmi K30,128,," 14,249",0,4500
LG 32GB4GB 6'',32,," 5,999",4,2700
Samsung Galaxy A15,128,," 20,500",0,5000
VILLAON V20 SE,32,2," 5,250",0,3000
VILLAON V20 SE,32,2," 5,250",0,3000
Infinix Note 40,256,," 24,680",2,5000
Samsung Galaxy S8,64,4," 12,599",124,
Samsung Galaxy A06,128,," 14,720",1,5000
VILLAON V20 32GB,32,2," 5,250",0,3000
M-HORSE C55 4G,128,," 10,999",0,5000
oppo r11s 64GB,64,4," 6,499",4,
Huawei 6x 4gb64gb,,," 5,777",12,3340
Xiaomi Redmi 13,,8," 20,499",1,5030
vivo Y55 100%,16,2," 3,333",41,2730
Xiaomi Redmi 14C,128,," 12,889",0,5000
Pixel 7 Pro,128,," 56,999",1,
Xiaomi Redmi Note,,12," 56,894",0,5000
OPPO Reno12 F,,12," 47,468",0,5000
OPPO A5/A3S 64GB4GB,64,," 7,600",0,4230
Infinix hot 50i,128,12," 13,399",1,
Maxfone Max 90,,8," 5,499",47,4050
Blackview A52 Pro,,4," 10,399",5,5180
XIAOMI Redmi 14C,128,8," 14,399",3,5160
Samsung Galaxy A25,256,," 32,994",0,5000
Apple iphone 5,32,," 5,499",12,
Samsung Galaxy A25,128,," 27,694",0,5000
realme Note 50,128,4," 12,494",0,
Apple iPhone 6,64,," 6,899",0,1810
Infinix 8 64GB,64,6," 10,820",9,
Samsung Galaxy S20,,8," 19,999",5,4000
OPPO A72 128GB8GB,128,," 11,777",2,4040
INFINIX HOT 50i,,6," 13,040",1,5000
Samsung Galaxy A16,128,," 20,594",0,
Samsung Galaxy A05,128,," 14,980",1,5000
Vivo Y03 -,64,4," 12,499",1,5000
realme Note 50,64,3," 9,980",5,
INFINIX 8 128GB/64GB,128,8," 10,988",2,5000
Samsung Galaxy A25,128,," 28,294",0,5000
TECNO SPARK 30C,128,8," 13,980",0,5000
vivo Y93S 100%,128,4," 7,444",0,
vivo Y 55,16,2," 3,222",2,2730
Samsung Galaxy A25,128,," 29,299",0,5000
Samsung Galaxy S20,,8," 17,999",0,4000
Samsung Galaxy A05S,64,4," 15,980",0,5000
Infinix Hot 40i,128,," 14,599",15,5000
Iphone 6 1GB16GB,,," 5,999",0,
Infinix Hot 50i,,12," 13,999",0,5000
Apple iPhone 6,128,," 6,599",5,2200
Samsung Galaxy A04e,32,3," 9,990",1,5000
ITEL S23 128GB,128,8," 10,822",10,5000
Vivo Y28 -,128,8," 21,799",0,6000
OPPO R11 64GB,64,4," 6,999",4,
"VIVO Y28 6.68'',",128,8," 21,999",0,6000
"Redmi 4a ,16gb2gb,5.0inch",,," 4,699",5,
Tecno Spark 30C,128,8," 14,199",1,5000
iPhone6 1GB64GB 4.7inch,,," 5,599",0,2200
OPPO A93 /A74,128,8," 16,000",0,5000
TECNO POP 8,64,4," 11,499",0,5000
TECNO POP 9,128,6," 12,199",0,5000
XIAOMI Redmi 14C,256,8," 16,999",0,5160
"Realme C61 6.7'',",256,8," 18,199",0,5000
Samsung Galaxy A25,128,," 29,399",0,5000
Xiaomi Redmi 13C,256,8," 18,999",2,5000
samsung A31 64GB,64,," 12,333",0,5000
Xiaomi Redmi 13,128,6," 17,490",0,5000
HUAWEI P40 Lite,,6," 14,999",0,4200
OPPO F11 6GB128GB,,6," 12,000",0,4020
SAMSUNG A7 2018,128,4," 10,199",1,3300
Tecno Spark 30C,128,8," 13,699",0,5000
"Oppo A3x ,6.67",128,4," 14,999",0,5100
Realme NOTE 50,64,3," 9,950",0,5000
KGTEL A56 16GB,16,," 5,199",4,3000
OPPO R9 F1plus,64,4," 9,990",0,4000
OnePlus Nord 4,,12," 56,594",0,5500
Itel A50 4G,64,," 8,890",0,5000
OALE S23 PLUS,32,3," 6,150",2,
Samsung Galaxy Note,128,6," 11,999",1,
Samsung Galaxy A15,256,," 25,999",1,5000
Samsung Galaxy A05,64,4," 10,945",0,5000
XIAOMI Redmi 14C,128,4," 13,699",1,5160
Corn C16 Pro,32,," 6,799",0,5000
Samsung Galaxy A15,128,4," 19,749",0,5000
realme Note 50,128,8," 12,299",0,
Realme C30s 6.5'',64,3," 9,199",0,5000
Samsung Galaxy A15,256,," 26,750",0,5000
realme Note 50,128,8," 11,980",0,
Oppo A3x 4G,64,," 15,699",0,5000
realme Note 50,64,6," 9,980",0,5000
Itel S23 Plus,128,8," 14,999",0,5000
OPPO R15X 128GB6GB,128,," 7,777",2,3600
XIAOMI Redmi Note,256,," 21,040",3,5160
realme Note 50,128,8," 11,890",0,
Samsung Galaxy A05S,128,," 15,399",2,5000
XIAOMI 3 5,16,," 5,299",0,
OFFERSXIAOMI Redmi A3,64,," 9,899",0,5000
XIAOMI Redmi A3X,128,," 11,999",0,5000
OALE IP15 PLUS,32,3," 6,350",1,
XIAOMI Redmi Note,,6," 27,999",2,5000
Corn X50 16GB,16,2," 4,299",0,
XIAOMI Redmi A3,128,," 11,899",1,5000
Infinix 8 smartphone,64,6," 14,197",0,
Xiaomi Redmi 14C,256,8," 16,799",5,5160
Samsung Galaxy A15,128,," 19,499",3,5000
TECNO SPARK 30,256,8," 19,399",3,5000
TECNO POP 9,64,6," 10,999",2,5000
Realme C51 128GB8GB,128,," 12,999",16,5000
Samsung Galaxy Note,128,12," 34,999",6,
Samsung Galaxy A25,128,," 28,799",2,5000
OPPO K9X 5G,256,," 16,999",0,5000
Samsung Galaxy A55,256,," 51,000",1,5000
ZTE AXON M,,," 21,490",3,3180
Xiaomi Redmi 13,,6," 18,499",14,5030
XIAOMI Redmi Note,,8," 31,599",0,5000
Samsung Note 10,,," 29,999",5,3500
Itel RS4 256GB,256,," 20,899",1,5000
Samsung Galaxy A55,256,," 55,499",0,5000
Samsung Galaxy A05,128,," 15,499",3,5000
Samsung Galaxy A55,128,," 49,699",0,5000
Xiaomi Redmi 14C,256,8," 15,999",0,5000
VILLAON V20 SE,,4," 6,294",0,3000
Blackview SHARK 8,16,," 18,999",0,5000
Infinix Hot 50,256,," 25,994",0,5000
HUAWEI P 128GB4GB,128,," 8,549",0,3400
OPPO Reno12 F,,12," 47,399",0,5000
Samsung Galaxy Note,,," 11,999",35,
Xiaomi Redmi 14C,128,8," 15,999",0,5160
Tecno Pova 6,256,," 23,199",1,7000
TECNO CAMON 30,256,," 28,599",1,5000
Tecno Spark 20,256,8," 19,550",3,5000
OPPO Reno 2z,128,," 10,000",62,
Sony Xperia 1,256,12," 36,899",0,
Xiaomi Redmi 14C,128,6," 14,899",0,5160
TECNO SPARK 30C,128,8," 14,399",0,5000
Realme C67 256GB,256,," 23,799",0,5000
Xiaomi Redmi 13,,8," 21,499",0,5030
Xiaomi Redmi 13,,8," 20,499",0,5030
