brand,storage,ram,phones_price,reviews,battery
Samsung Galaxy S7,64,4," 9,999",6,
Oppo F11 Android,,6," 10,999",0,4020
OPPO A37 100%,16,2," 6,599",0,
Oppo A33 5.0,16,2," 6,999",2,
Samsung Galaxy S9,64,4," 12,999",1,
Motorola Edge Edge,,," 48,298",1,5000
OPPO F1S 5.5&quot;,32,4," 8,999",16,
Samsung Galaxy Note,,6," 12,999",3,
vivo Y03 -,128,4," 15,999",0,5000
Pixel 6a 5G,128,6," 26,999",0,
Xiaomi Redmi 13C,,," 13,999",0,5000
oppo r9s oppor9s,64,4," 12,999",1,
Infinix Hot 40i,128,," 14,899",0,5000
Nokia E7 4,,," 6,599",0,
F9 6.52 4G,128,3," 10,500",0,5000
Tecno Pova 6,256,," 26,599",0,7000
Infinix Hot 40i,128,," 13,999",0,
OPPO r15X 6.4,128,6," 9,399",18,
F9 6.52 4G,64,2," 10,650",0,5000
Samsung Galaxy Note,,," 9,999",0,
Apple iPhone 12,,4," 149,999",0,
OPPO Reno 2Z,128,8," 11,199",19,
TECNO SPARK 20,256,," 28,999",0,5000
OALE PP3 16Gb,,," 5,999",0,3050
"Tecno Spark 10C,",128,8," 16,988",1,5000
Apple iPhone XS,256,," 37,999",0,
Samsung Galaxy A05,128,," 14,499",0,5000
"Tecno Spark 10C,",128,4," 15,899",0,5000
Samsung Galaxy A12,128,," 13,999",0,5000
huawei mate8 mate,,," 7,199",7,
Pixel 7a 5G,128,8," 49,899",0,
iphone Xs Max,64,," 27,999",0,
Samsung Galaxy A24,128,4," 27,889",0,5000
F9 6.52 4G,64,4," 11,999",0,5000
Samsung Galaxy A14,128,," 23,999",0,5000
iphone Xs 256GB4GB,256,," 27,999",0,
Tecno Camon 30,256,," 30,999",0,5000
smartphone Samsung Galaxy,128,4," 14,999",0,5000
Oppo A83 4G,,," 8,199",15,
OPPOA7 a7 64GB4GB,64,," 9,947",2,4230
TECNO POP 9,128,4," 12,380",0,5000
OPPO R11s 64GB4GB,64,," 11,999",0,
iPhone 6s iPhone,,," 14,999",0,
Pixel 4 XL,64,6," 22,599",0,
"OPPO A54 -5.5'',13MP8MP,4G",,," 14,999",0,
realme Note 50,256,8," 14,199",0,
"OPPO A5 -6.2'',64GB3GB,13MP2MP,4G",64,," 7,099",6,
KGTEL YOLO 2,32,2," 8,099",0,5000
apple iphone 6,128,," 14,999",2,1810
Oppo f1 4G,,," 8,999",10,
iphone Xs 64GB4GB,64,," 22,999",0,
F9 6.52 4G,64,4," 14,500",0,5000
SUPER ITEL S23,128,8," 13,599",1,5000
Infinix 8 128GB,128,8," 12,499",0,
Huawei GR5 honor,,," 7,599",2,
TECNO SPARK 20C,256,8," 18,999",0,5000
Sony Xperia Z5,32,3," 9,999",2,
OPPO F11 6GB128GB,,6," 9,999",1,4020
iphone 7 32GB,32,2," 18,999",3,
Samsung Galaxy S9,64,4," 12,999",4,
XIAOMI Redmi A3,128,4," 14,499",0,5000
apple iphone 6s,128,2," 18,999",0,
XIAOMI Redmi A3,128,4," 10,990",0,5000
Motorola Moto G7,,4," 9,999",0,
Oppo f1 4G,,," 8,999",5,
OALE PP2 16Gb,,," 5,999",4,3050
Pixel 4a 6GB,128,6," 22,999",1,
Samsung Galaxy A15,128,," 18,989",0,5000
Pixel 5 8GB,128,8," 24,999",1,
itel S23 128GB,128,4," 13,599",0,5000
XIAOMI Redmi Note,256,," 80,000",0,5160
OPPO F11 6GB128GB,,6," 13,500",0,4020
apple iphone SE,32,2," 13,999",0,
Samsung Galaxy S8,64,4," 19,999",1,
XIAOMI Redmi A2,64,3," 12,499",4,5000
iphone 6 plus,16,," 13,999",2,
Infinix Hot 40i,256,," 18,479",0,5000
OPPO Reno 11F,,8," 47,999",0,5000
XIAOMI Redmi A3X,128,4," 12,899",0,5000
OPPO Reno11 Pro,,12," 85,999",0,4600
Samsung Galaxy A04S,128,4," 21,000",0,5000
Apple iPhone 12,,4," 149,999",0,
realme C61 256GB6GB,256,," 18,399",0,5000
Infinix 8 64GB,64,3," 10,999",1,
OPPO A31 6GB128GB,,6," 12,999",0,4230
Huawei GR5 honor,,," 7,699",1,
Maxfone MAX 30,16,2," 7,299",1,3750
smartphone Xiaomi Redmi,32,," 8,599",0,4000
Samsung Galaxy S7,,4," 9,599",23,
Tecno CAMON 19,256,8," 39,999",0,5000
Samsung Galaxy S7,128,," 6,799",0,
Oppo f1 4G,,," 8,999",2,
XIAOMI Redmi Note,256,8," 29,499",0,5000
Apple iPhone 12,,4," 109,999",0,
GB 2GB RAM,,2," 8,459",0,4000
Samsung Galaxy A35,128,," 38,880",0,5000
Samsung Galaxy A35,256,," 42,999",0,5000
Realme C53 6.74'',128,6," 20,288",0,5000
Xiaomi Real Mi,,," 12,320",0,
OPPO A59s 32GB4GB,32,," 8,099",0,
Maxfone MAX 30,16,2," 7,999",0,3750
Apple iPhone XS,,," 45,999",0,
Itel A50 64GB6GB,64,," 10,800",0,5000
Oppo A37 Plus,16,2," 4,995",8,
Oppo f1 4G,,," 8,000",10,
iphone 6s 128GB,128,2," 17,999",1,
Pixel 4 6GB,64,6," 20,499",1,
XIAOMI Redmi 14C,128,4," 13,390",0,5160
VILLAON V20 5,32,4," 5,459",1,3000
OPPO F1Plus 4G,,," 6,999",17,
Xiaomi Redmi 12,128,8," 19,499",0,5000
Realme C53 6.74'',,12," 21,900",0,5000
ITEL VISION 5,32,6," 9,398",0,5000
OPPO A58 8GB128GB,,8," 28,599",1,5000
"XIAOMI Redmi 12C,",,3," 16,399",2,5000
Infinix Hot 40i,128,," 14,490",0,5000
OPPO Reno 2Z,,8," 10,999",1,4000
OPPO R11s 64GB4GB,64,," 11,999",0,
Sony Xperia XZ1,64,4," 10,999",0,2700
KGTEL A56 16GB,16,," 6,599",0,3000
"Samsung Galaxy A04,",,," 20,400",0,5000
Oppo A37 Plus,16,2," 4,995",1,
Tecno Spark 10C,128,8," 16,788",0,5000
Tecno Spark 10C,128,8," 16,788",0,5000
Tecno Spark 10C,128,8," 19,999",0,5000
realme 12 5G,,8," 35,499",1,5000
Samsung Galaxy A04e,64,3," 15,849",0,5000
Huawei P40 8128GB,,," 21,365",0,3800
iphone Xs Max,,," 35,999",0,
OPPO R15X 100%,128,6," 12,188",1,
apple iphone SE,16,2," 11,999",4,
OPPO A59s 32GB4GB,32,," 8,099",2,
Samsung Galaxy A04e,32,3," 10,899",0,5000
"OPPO A53 -5.5'',16GB2GB,13MP5MP,4G",16,," 6,999",3,
"XIAOMI Redmi 12C,128GB",128,4," 16,899",4,5000
itel S23 Plus,256,8," 24,999",0,5000
KGTEL YOLO 3,32,," 6,999",1,5000
Quality Oppo A59,,," 6,800",0,
OALE PP2 16Gb,,," 5,999",0,3050
Itel P55 6.6,128,12," 12,399",0,5000
Xiaomi Redmi 14C,,," 12,900",0,5000
INFINIX SMART8 128GB,128,8," 15,999",0,5000
KGTEL YOLO 2,32,2," 8,499",0,5000
Infinix Hot 40i,128,," 12,699",0,5000
"OPPO A74 -6.43'',6GB128GB,48MP24MP,4G",,6," 26,999",0,
huawei mate8 mate,,," 7,599",1,
OPPO A93 256GB8GB,256,," 20,337",0,5000
Infinix HOT 40,256,," 24,488",0,5000
Benco V91 128Gb,,," 16,950",0,5000
"Huawei P30 Lite,",256,6," 14,999",0,
Xiaomi Redmi 7A,32,," 11,556",0,3000
ZTE V0840 32GB4GB,32,," 13,055",0,2500
Xiaomi MI Redmi,64,," 18,696",0,4000
Vivo V40 -,256,," 64,999",0,5500
OPPO A59s 32GB4GB,32,," 8,099",4,
smartphone Motorola Moto,,4," 14,999",0,
itel S23 128GB,128,4," 13,449",0,5000
"OPPO R9sk -5.5'',64GB4GB,13MP8MP,4G",64,," 9,799",0,
OPPO A31 6GB128GB,,6," 11,999",1,4230
Tecno Pop 7,64,2," 10,399",1,
"Tecno Spark 10C,",128,," 24,999",0,5000
HTC Desire 626,,8," 5,999",0,
HUAWEI Nova 2i,64,," 17,477",0,3340
HTC M10 64GB4GB,64,," 19,486",0,3000
HD screen performance,64,," 24,260",0,3300
OPPO Reno 5F,,8," 28,999",1,
Itel A70 6.6,128,," 10,999",0,5000
Samsung Galaxy A32,,4," 14,999",0,
Xiaomi MI Redmi,64,," 16,561",0,4000
iPhone6 1GB16GB 4.7inch,,," 8,999",1,2200
XIAOMI 4 Single,,," 4,799",2,3080
Samsung Galaxy A04s,128,," 21,299",0,5000
Huawei Enjoy 10e,,," 12,700",0,
TECNO SPARK 10C,128,8," 17,299",0,
Infinix Hot 40i,256,," 18,499",0,5000
REALME 10 256,256,8," 34,399",0,5000
"Realme C30S 6.5'',IPS",,," 10,799",0,5000
Xiaomi 5X 64GB4GB,64,," 15,170",0,3080
F9 6.52 4G,128,3," 12,500",1,5000
OPPO A38 4GB,128,4," 23,999",0,5000
Refurb - Xiaomi,64,4," 14,392",0,
"Itel A33 Plus,,5.0",,," 6,999",0,
Samsung Note 10,256,12," 49,999",0,
ZTE Brade A3,32,," 13,148",0,4000
XIAOMI Redmi A2,32,2," 11,999",0,5000
iphone Xs 64GB4GB,64,," 38,998",0,
XIAOMI Redmi 12C,128,4," 16,999",0,5000
XIAO MI Red,,6," 15,999",0,
Oppo f1 4G,,," 8,999",1,
Maxfone 70 Plus,16,2," 7,399",1,5000
oppo r9s -5.5,64,4," 10,999",0,
OPPO A31 4GB128GB,,4," 10,999",0,4230
Samsung Galaxy S7,,4," 9,299",4,3600
XIAOMI Redmi A2,,," 11,750",4,5000
Realme C51 128GB8GB,128,," 16,299",0,5000
OPPO （8 ）,32,," 8,099",2,
Itel A04 32GB,32,2," 9,499",0,4000
BENCO S1 PRO,256,," 24,999",0,
xiaomi CC9 128GB6GB,128,," 16,999",0,
Maxfone 70 Plus,16,2," 7,499",0,5000
Itel A18s 32GB,32,2," 7,889",0,2400
XIAOMI 3 Single,,," 5,999",2,3050
oppo Reno 256GB/128GB6GB,256,," 10,999",4,
"XIAOMI Redmi 12C,",,4," 22,999",2,5000
Maxfone MAX 30,16,2," 6,598",1,3750
NOKIA C1 2ND,,," 6,980",0,2500
Samsung Galaxy S7,,4," 6,699",5,3600
Oppo F11 Android,,6," 13,559",0,4020
Infinix Hot 30i,128,8," 16,999",1,5000
Huawei nova5Pro 8256GB,,," 27,081",0,3500
Realme C51 128GB8GB,128,," 15,388",0,5000
NOKIA C1 2nd,16,," 8,999",2,2500
MAXFONE MAX 90,,," 6,200",1,4050
Infinix 8 128GB,128,8," 12,899",0,5000
xiaomi MIX2 Fingerprint,128,," 15,925",0,3400
Maxfone 70 Plus,16,2," 7,498",2,5000
XIAOMI Redmi A2,64,3," 13,299",0,5000
XIAOMI Redmi A2,,2," 11,999",0,5000
Xiaomi Redmi 12C,128,4," 14,599",0,5000
P 4G64G 5.65,,," 8,999",1,3000
vivo Y02t -,64,4," 12,999",0,5000
OPPO A38 4GB,128,4," 23,998",0,5000
OPPO A73 5G,128,," 16,999",0,4040
iphone Xs 64G/256G/512G4G,,," 37,302",0,
TECNO POP 8,64,4," 11,888",0,5000
TECNO POP 8,128,4," 12,988",0,5000
"Huawei p20 lite,huawei",128,," 22,287",0,3000
"Huawei P 2019,huawei",64,," 18,521",0,3400
Huawei 9 Lite,32,," 16,999",0,3000
Xiaomi Redmi 14C,256,," 15,999",0,5000
OPPO Reno11 Pro,,12," 85,999",0,4600
Huawei Mate 20,64,," 24,623",0,3750
oppo r11s 64GB,64,4," 9,154",0,
Infinix Hot 30i,128,8," 17,599",0,5000
Realme 10 256GB,256,8," 34,999",0,5000
OPPO R9 oppor9,64,4," 10,999",0,3350
OPPO A98 5G,256,," 40,599",0,5000
inch i15pro Max,,," 16,200",0,
GB 2GB RAM,,2," 8,499",5,4000
XIAOMI Redmi A2,32,2," 10,995",1,5000
Samsung Galaxy Note,32,3," 9,799",0,
OPPOA7 a7 64GB4GB,64,," 9,000",0,4230
Infinix NOTE 30,16,," 23,999",2,5000
HUAWEI Mate 30,,," 58,279",0,4500
Tecno pop 7,,," 11,900",2,5000
Vivo V30 5G,256,12," 59,999",0,5000
Nokia Nokia G20,,," 13,999",0,
Huawei nova5Pro 8256GB,128,," 27,029",0,3500
huawei Nova 2,64,," 13,161",0,2950
"OPPO A5 -6.2'',64GB4GB,13MP2MP,4G",64,," 7,399",9,
"OPPO R9sk -5.5'',64GB4GB,13MP8MP,4G",64,," 9,799",0,
HTC Desire 526,,8," 7,999",0,
HuaWei P8 Max,,3," 9,599",6,
"OPPO A74 -6.43'',6GB128GB,48MP24MP,4G",,6," 14,999",0,
Itel A18 32GB,32,," 6,299",1,2400
Huawei P 2019,64,4," 9,999",0,3400
OALE DB1 8Gb,,," 6,099",0,3750
Itel S23 smartphone,128,4," 19,998",1,5000
"OPPO R9sk -5.5'',64GB4GB,13MP8MP,4G",64,," 10,999",0,
Realme C53 6.74'',256,8," 20,199",0,5000
Realme C30s 6.5'',,," 10,999",0,5000
Huawei nova5Pro 8256GB,,," 27,900",0,3500
OPPO R15 6GB128GB,,6," 11,999",0,3450
Samsung Galaxy A5,,," 7,199",1,2300
Realme C30s 3GB64GB,,3," 11,899",0,5000
Redmi 13C Xiaomi,128,6," 19,997",0,5000
TECNO SPARK 10,256,," 27,999",0,5000
Oppo A33 5.0,16,2," 5,999",17,
huawei mate8 mate,,," 9,599",0,
Vivo V30 Lite,256,8," 29,999",0,5000
Xiaomi Redmi 14C,256,8," 15,999",0,5000
Huawei p9 P9,,," 8,999",0,
OPPO Reno 6,,8," 36,999",0,
CORN STARK 8,64,," 10,100",0,
Vivo V29 5G,256,8," 41,999",0,4600
OPPO A59s 32GB4GB,32,," 8,099",0,
Itel S24 128GB8GB,128,," 15,599",0,5000
Quality Oppo A57,,," 6,499",0,
Redmi 12 128GB,128,4," 21,880",0,5000
Maxfone MAX80 Plus,16,2," 7,780",2,5075
Samsung Galaxy J7,16,," 8,499",0,
NOKIA C1 2nd,16,," 7,999",1,2500
Maxfone Max 60s,,," 6,999",0,4000
"Tecno Spark 10C,",128,8," 19,999",0,5000
Samsung Galaxy A04e,32,3," 12,499",0,5000
OPPO r15X 6.4,128,6," 14,625",0,
iPhone 6s 2GB16GB,,2," 15,259",0,
"Oppo A17 PHONE,",64,4," 19,999",0,5000
"Oppo A17 PHONE,",64,4," 19,999",1,5000
Infinix 7 HD,64,4," 12,999",0,5000
P 3G32G 5.65,,," 8,800",0,3000
Tecno Spark 20,256,8," 49,999",0,5000
OPPO F9 6.3,128,6," 13,599",0,
VILLAON V20 32GB,32,2," 7,399",0,3000
HuaWei P8 Max,64,3," 9,599",1,
Samsung S 20,128,8," 43,799",0,4000
"OPPO A54 -5.5'',13MP8MP,4G",,," 20,999",0,
xiaomi MIX2 Fingerprint,128,," 16,525",0,3400
Tecno pop 7,64,," 12,988",0,5000
Samsung Galaxy A04s,64,," 18,999",1,5000
OPPO R17 6128GB,,," 11,799",0,
TECNO POP 8,64,6," 11,499",0,5000
Letv 2 Le,32,," 6,899",3,3000
Motorola One Action,,4," 10,999",0,
Samsung Galaxy A14,128,4," 24,999",0,5000
LG G4 32GB,32,3," 5,999",2,
XIAOMI Redmi 14C,128,6," 14,899",0,5160
HUAWEI P30 6.1,,," 20,902",0,3650
OPPO F9/A7X 128GB6GB,128,," 17,171",1,3500
"A33 Plus,,5.0 Screen",,," 7,600",2,
Huawei Mate 8,,," 8,999",0,
XIAOMI Redmi A2,,2," 14,399",0,5000
oppo r9s oppor9s,64,4," 10,999",0,
Xiaomi Redmi 9,,," 16,290",0,5020
OPPO F9 6.3,128,6," 9,999",0,
Samsung Galaxy C7,,," 8,999",1,3300
Infinix Note 40,256,," 36,999",0,5000
"X Tigi 2,",64,4," 15,600",0,5500
"OPPO A53 -5.5'',16GB2GB,13MP5MP,4G",16,," 6,999",1,
P 3G32G 5.65,,," 8,999",0,3000
LeTV LeEco Le,32,," 7,199",10,
"Tecno Spark 10C,",128,," 19,899",0,5000
iphone 8 plus,64,," 14,999",0,
Maxfone MAX 30s,,8," 5,599",0,3750
CORN STARK 8,64,," 9,999",0,
SAMSUNG GALAXY A03,,," 11,699",0,
Samsung Galaxy A55,256,," 50,499",0,5000
Huawei honor play,,," 5,499",3,
OALE pp1 16gb,,," 8,898",0,4000
Samsung Galaxy S7,32,4," 11,499",0,
TECNO POP 9,128,6," 12,199",0,5000
Xiaomi Redmi 9,,," 15,706",1,5020
Nokia C1 PHONE,16,," 8,199",1,
Luxus P6 6.6'',,2," 7,000",0,4000
Xiaomi Redmi 14C,128,4," 12,999",0,5000
vivo Y03 -,128,4," 14,999",1,5000
OPPO A54S 128GB4GB,128,," 15,999",1,5000
ITEL VISION 5,64,," 10,499",0,5000
BRANDNEWTecno Spark 30C,128,8," 13,699",0,5000
"Realme C67 6.7'',",256,8," 23,295",0,5000
INFINIX HOT 50i,,6," 13,040",0,5000
Samsung Galaxy A05,64,," 11,490",0,5000
Samsung Galaxy A05,64,," 12,999",0,5000
OALE PP2 Android,,," 7,998",0,4000
Nokia C1 2nd,16,," 6,800",0,
Infinix Note 40,256,," 26,888",0,5000
XIAOMI Redmi 14C,256,8," 16,399",0,5160
XIAOMI Redmi 14C,256,8," 16,399",0,5160
Huawei honor 4X,,2," 7,299",0,
Oppo A37 Plus,16,2," 8,992",4,
Huawei p9 P9,,," 8,499",6,
Oppo A37 Plus,16,2," 4,990",4,
Maxfone MAX80 Plus,16,2," 7,699",4,5075
V20 PLUS 16GB,16,," 5,900",0,
OPPO F5 4GB,64,4," 8,599",4,
XIAOMI Redmi Note,,6," 23,999",0,5000
Samsung Galaxy A24,128,6," 27,999",0,5000
Xiaomi Redmi 13C,256,8," 17,999",0,5000
Xiaomi Redmi 13,256,6," 17,495",0,5000
Oppo f1 4G,,," 7,699",1,
OPPO A79 4G,,," 12,999",0,
Realme C55 6.72'',128,," 26,389",0,5000
XIAOMI Redmi Note,256,6," 23,000",0,5000
OPPO A17 6.56,64,4," 21,998",0,5000
iphone Xs 64G/256G/512G4G,,," 34,000",0,
Huawei honor play,,," 5,999",0,
HUAWEI Mate20 pro,,," 20,999",0,
P 6G64G 5.65,,," 8,999",1,3000
XIAOMI Redmi Note,,8," 35,999",0,5000
"VIVO Y28 6.68'',",256,8," 23,999",0,6000
Xiaomi Redmi 14C,128,6," 15,699",0,5000
"Alcatel 3L,464GB,4G ,6.22",,," 14,999",0,4000
Tecno Spark 10C,128,8," 16,788",0,5000
Tecno Spark 10C,128,8," 16,788",0,5000
OPPO A38 4GB128GB,,4," 23,799",0,5000
"Infinix 7 PLUS,Type-C,6.6,64GB3GB,6000mAh,",64,," 13,995",0,6000
Oppo A3x 6.67-inch',128,4," 19,899",0,5100
Realme C30s 3GB64GB,64,3," 13,999",0,5000
"Oppo A3x ,6.67",128,4," 17,899",0,5100
"Oppo A3x ,6.67",64,4," 14,900",0,5100
Samsung Galaxy S8,64,," 21,999",0,
Infinix 7 HD,64,2," 13,999",0,5000
Huawei play 6X,64,," 6,999",0,
ITEL A04 2GB,32,2," 8,599",0,000
Itel S24 128GB4GB,128,," 14,999",0,5000
Samsung Galaxy A04s,128,," 20,580",0,5000
Tecno Camon 30,256,," 31,899",0,5000
KGTEL R10 16GB,16,," 5,990",0,2500
XIAOMI Redmi A3,128,4," 13,499",0,5000
"OPPO A5 -6.2'',6GB128GB,13MP2MP,4G",,6," 7,400",5,
XIAOMI Redmi Note,,8," 34,999",0,5000
Realme C30s 3GB,64,3," 10,199",0,5000
OPPO F11 128GB6GB,128,," 10,780",0,4020
"Oppo A3x ,6.67",64,4," 14,999",0,5100
"Oppo A3x ,6.67",128,4," 17,599",0,5100
ITEL A26 32GB,32,2," 8,999",0,3020
Samsung Galaxy A04S,128,4," 16,499",0,5000
TECNO POP 7,64,2," 10,739",0,5000
Tecno pop 7,64,4," 12,500",0,5000
Samsung Galaxy A04e,64,3," 14,819",0,5000
Benco V91 128Gb,,," 16,499",0,5000
OPPO A38 4GB,128,4," 22,499",0,5000
OPPO A38 4GB,128,4," 22,499",0,5000
ITEL S23 128GB,128,8," 12,280",0,5000
Samsung Galaxy A04e,32,3," 10,688",1,5000
vivo Y03 -,64,4," 13,599",0,5000
XIAOMI Redmi A3,64,," 12,999",0,5000
iphone 6 plus,64,," 15,999",0,
Tecno Camon 30,256,," 31,499",0,5000
VILLAON V30 6.3,128,4," 8,700",0,4000
XIAOMI 8 lite,,," 15,999",0,3350
oppo r9s oppor9s,64,4," 11,980",0,
OPPO Reno 6256G,,," 15,999",2,
"Oppo A3x ,6.67",64,4," 14,899",0,5100
Infinix Hot 30i,,8," 17,555",0,5000
Samsung Galaxy A04s,128,," 21,299",0,5000
REALME 10 256,256,8," 29,500",0,5000
Itel A50 64GB6GB,64,," 10,800",0,5000
Samsung Galaxy A15,128,," 18,999",0,5000
Huawei P10 4GB,64,4," 12,399",0,
Samsung Galaxy A04s,64,," 19,599",0,5000
Samsung Galaxy A14,128,," 23,999",0,5000
F9 6.52 4G,128,3," 14,800",0,5000
Itel A50 64GB6GB,64,," 10,800",0,5000
Xiaomi Redmi 10,64,4," 17,541",0,
"OPPO A53 -5.5'',16GB2GB,13MP5MP,4G",16,," 5,500",2,
XIAOMI Redmi A3X,64,," 11,299",0,5000
Sony Xperia Z5,16,," 8,999",0,2700
Xiaomi Redmi 13,256,8," 19,995",0,5000
iphone Xs 512GB4GB,,," 35,999",0,
F9 6.52 4G,64,4," 14,500",0,5000
Itel A50 64GB6GB,64,," 10,800",0,5000
Huawei Huawei P8,,," 7,699",0,
Samsung Galaxy A04s,64,," 19,599",0,5000
Huawei honor play,,," 7,599",0,
Samsung Galaxy A05S,128,4," 18,399",0,5000
Huawei honor play,,," 5,999",0,
XIAOMI Redmi A3,64,," 12,499",0,5000
apple iphone 6s,16,2," 14,999",0,
TECNO POP 8,128,4," 14,490",0,5000
OALE PP2 Android,,," 5,999",0,4000
Huawei P10 4GB,64,4," 11,699",0,
iphone Xs 64G/256G/512GB4GB,,," 25,999",0,
Infinix Hot 40i,128,," 12,799",0,5000
Oppo A37 Plus,16,2," 4,998",3,
Apple iPhone 12,,4," 139,999",0,
KGTEL A65 64GB,64,4," 10,799",0,4000
Huawei Mate 8,,," 8,999",0,
Realme 10 256GB,256,8," 34,989",0,5000
Huawei honor play,,," 5,999",0,
Apple iPhone XS,64,," 31,999",0,
Huawei P20 6G128GB,,," 10,999",0,
OPPO R15 6GB128GB,,6," 12,599",0,3450
Samsung Galaxy A04s,64,," 21,159",0,5000
OALE PP3 16Gb,,," 8,898",0,4000
Huawei Enjoy 8plus,,," 8,999",0,
Samsung Galaxy A55,128,," 46,400",1,5000
Huawei honor play,,," 5,999",0,
XIAOMI Redmi A2,,2," 11,888",0,5000
XIAO MI Red,32,," 10,399",0,
Samsung Galaxy A03,32,2," 12,739",0,5000
Itel A18 32GB,32,," 7,499",0,2400
vivo V30 Lite,256,8," 35,999",0,5000
Itel A18 32GB,32,," 6,999",0,2400
huawei mate8 mate,,," 9,599",0,
Infinix 8 64GB,64,4," 11,149",0,
Huawei Mate 8,,," 8,999",0,
Infinix 8 6.6,64,3," 12,399",0,5000
Itel A18 32GB,32,," 6,299",0,2400
Samsung Galaxy A15,128,," 19,399",0,5000
GB 2GB RAM,,2," 8,499",2,4000
Huawei 8X 464GB,,," 11,599",0,
Realme C51 128GB8GB,128,," 15,880",0,5000
OPPO r15X 6.4,128,6," 14,040",0,
Infinix 7 HD,64,4," 12,998",0,5000
XIAO MI Red,64,," 8,699",0,
Huawei Mate 8,,," 8,999",0,
Samsung Galaxy A55,128,," 45,300",0,5000
XIAOMI Redmi A3,128,," 12,899",0,5000
XIAOMI Redmi A3,64,," 11,299",0,5000
OALE DB1 8Gb,,," 6,999",0,3750
HuaWei P8 Max,,3," 9,599",0,
Nokia X5 3060mAh,,," 7,599",0,3060
Samsung Note 20,128,8," 48,999",3,4300
Benco S1 A,128,," 18,000",0,
Maxfone 70 Plus,16,2," 7,500",0,5000
Maxfone 70 Plus,16,2," 7,498",0,5000
OPPO F5 4GB,64,4," 8,999",0,
OPPO A3s 4GB64GB,,4," 10,999",0,4230
XIAOMI Redmi 7A,,3," 11,999",0,4000
Huawei honor play,,," 7,999",0,
Huawei Mate 8,,," 9,599",0,
Huawei Enjoy 6S,,," 7,999",0,
Samsung Galaxy A04s,128,," 20,580",0,5000
Itel A18 5.0,,," 7,000",0,
Nokia Nokia 6.2,,," 12,999",0,
Samsung Galaxy A15,128,," 20,999",1,5000
nova 3G32G 5.0,,," 9,599",0,3020
OPPO R15 128GB6GB,128,," 12,999",0,3450
LG G4 Dual,32,3," 8,999",0,
Huawei glory V9,32,4," 9,899",0,
XIAOMI Redmi A2,,2," 14,499",0,5000
OPPO r15X 6.4,128,6," 13,541",2,
OPPO R9 F1plus,64,4," 9,990",0,4000
Huawei honor play,,," 7,099",0,
Samsung Galaxy S9,,," 19,599",0,
XIAO MI Red,32,," 6,599",0,
Xiaomi Redmi 10,64,4," 15,112",0,
OPPO f3 plus,,," 15,999",0,
HUAWEI NOVA3 664GB,,," 12,999",0,3750
GB 2GB RAM,32,2," 8,555",0,4000
OPPO R9 F1plus,64,4," 9,990",0,4000
Huawei Mate 8,,," 8,999",0,
"Huawei P30 Lite,",128,4," 21,999",0,
Tecno Spark 10C,128,8," 16,899",0,5000
Itel A18 32GB,32,," 6,999",0,2400
TECNO SPARK 10,256,," 27,949",0,5000
"Tecno Spark 10C,",128,8," 19,988",0,5000
huawei mate8 mate,,," 6,999",0,
OPPO R9 F1plus,64,4," 9,995",0,4000
TECNO SPARK 10C,128,4," 17,999",0,5000
Oppo Reno 3,,," 24,599",0,
Realme C30s 3GB64GB,,3," 12,988",0,5000
OPPO A17 6.56,64,4," 21,999",0,5000
OPPO A 17,64,4," 22,999",0,5000
Oppo A31 6GB/128GB,128,6," 19,999",0,4230
Huawei Enjoy 8plus,,," 10,499",0,
XIAOMI 8 lite,,," 15,999",0,3350
XIAO MI Red,32,," 7,588",0,
XIAOMI Redmi A2,64,3," 12,498",0,5000
"Tecno Spark 10C,",128,," 23,999",0,5000
"OPPO A59s -5.5&apos;&apos;,32GB4GB,13MP16MP,4G",32,," 7,399",0,
Samsung Galaxy A04s,64,," 20,999",0,5000
Huawei Huawei P8,,," 7,699",0,
"OPPO R9sk -5.5'',64GB4GB,13MP8MP,4G",64,," 9,799",0,
HUAWEI NOVA3 664GB,,," 12,999",0,3750
INCH ASUS ZenFone,,," 6,999",0,
OPPO F1S oppo,,," 9,999",0,
Itel P55 4G,128,," 21,999",0,5000
Oppo A31 4GB/128GB,128,4," 13,499",0,4230
Nokia Nokia G11,,," 18,999",0,
Huawei honor play,,," 7,799",0,
OPPO A59s 32GB4GB,32,," 8,099",0,
Xiaomi Redmi K30,128,," 19,308",1,4500
Xiaomi Redmi 10,64,6," 14,550",0,
XIAO MI RED,32,," 7,599",0,
oppoReno7se 8256GB with,,," 19,999",1,4500
"Oppo A3x ,6.67",64,4," 14,999",0,5100
Apple iPhone 12,,4," 88,000",0,
LUXUS U73 16GB,16,," 5,500",0,
Itel A18 5.0,,," 7,000",0,
XIAOMI 8 lite,,," 15,799",0,3350
"OPPO R9sk -5.5'',64GB4GB,13MP8MP,4G",64,," 9,799",0,
Samsung Galaxy A14,128,4," 24,999",0,5000
Samsung Galaxy A04e,64,," 17,899",0,
"XIAOMI Redmi 12C,",128,," 18,999",1,
OPPO R17 6128GB,,," 13,999",0,
OPPO R17 6G,,," 15,599",0,
OPPO F1S oppo,,," 8,299",0,
Infinix 8 128GB,128,4," 14,290",0,
"OPPO A59 -5.5&apos;&apos;,32GB3GB,13MP8MP,4G",32,," 7,399",0,
Oppo A77s 6.56,,4," 33,999",0,5000
Infinix 7HDGB Storage,,," 12,299",0,5000
