microwaves_name,microwaves_reviews,microwaves_price
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V4) , Black",(0),"KSh 9,855"
"Hanmac (HMR20M2) 20 l Manual Microwave With Defrost Function - 5 Power Levels, Digital Timer, Defrost Function, Speedy Cooking, Cooking Completion Signal, 255mm Glass Turntable .",(0),"KSh 9,450"
CLEARANCE OFFER Mika 20L Digital Microwave with Grill -,(0),"KSh 11,999"
CLEARANCE OFFER Nunix Microwave Oven 20L,(0),"KSh 8,999"
SPECIAL OFFERS hIGHLY RECOMMEDED Roch 20 Liters Digital Microwave,(0),"KSh 10,283"
NUNIX 20 L C20UG MICROWAVE OVEN WITH GRILL,(0),"KSh 11,610"
NUNIX 20L Digital Microwave with Grill (C20UG),(0),"KSh 10,440"
Mika 20L Digital Microwave with Grill - Silver,(0),"KSh 12,825"
"Roch RMW-20PX7P-B (B) Microwave Oven, 700W, 20L",(0),"KSh 11,000"
"CLEARANCE OFFER Ramtons RM/320 - Digital Microwave, 700W - 20L -",(0),"KSh 12,999"
HANMAC digital microwave with grill HMR20EG,(0),"KSh 11,340"
Roch RMW-20PX7H-B(B) 20L Digital Microwave,(7),"KSh 9,499"
CLEARANCE OFFER Hisense 20L Digital Microwave Oven 20 Liters Microwave,(0),"KSh 10,999"
NUNIX 20L Digital Microwave with Grill (C20PG),(0),"KSh 10,440"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 10,999"
Hisense 20L Digital Microwave Oven,(0),"KSh 10,530"
NUNIX 20L Digital Microwave (C20PG1) - Black,(0),"KSh 10,200"
Mika 20L Digital Microwave with Grill - Silver,(0),"KSh 12,825"
MICROWAVE OVEN. Smart Pro 20L Digital Microwave Oven,(0),"KSh 10,530"
CLEARANCE OFFER Nunix Microwave Oven 20L,(0),"KSh 8,999"
Hisense 20L Digital Microwave + 2 Years Warranty,(0),"KSh 9,999"
20 L RAMTONS (RM-310) MICROWAVE OVEN WITH GRILL,(0),"KSh 13,770"
CLEARANCE OFFER Syinix 20L Microwave Oven,(0),"KSh 9,999"
MICROWAVE OVEN. Smart Pro 20L Digital Microwave Oven,(0),"KSh 10,125"
CLEARANCE OFFER Syinix 20L Digital 700W Microwave -,(0),"KSh 9,999"
Hisense 20L Digital Microwave Oven H20MOMWS11 (Black),(0),"KSh 9,990"
Hisense 20L Digital Microwave Oven.,(0),"KSh 13,999"
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V4 2), Black",(0),"KSh 9,720"
"VON VAMS-20DGB, 20L, 700Watts Microwave Oven",(0),"KSh 12,825"
CLEARANCE OFFER Hisense H20MOBS11 - 20L Digital Microwave Oven,(0),"KSh 10,999"
CLEARANCE OFFER HANMAC HMR20MB Knob 20l microwave oven-700w,(0),"KSh 8,299"
Nunix Manual Microwave Oven With Grill C20UG 20L,(0),"KSh 10,499"
Hisense 20L Digital Microwave Oven H20MOMWS11 (White),(0),"KSh 8,699"
SMART PRO DIGITAL MICROWAVE,(0),"KSh 10,549"
"🎉🥳 EMBRACE THE LATEST TREND 🔥 of the Redberry Microwave Oven model 722. With end cook signal indicator,has defrosting capability,20 LTR capacity",(0),"KSh 11,100"
ROCH DIGITAL MICROWAVE,(0),"KSh 10,679"
"CLEARANCE OFFER Mika MMWMSKH2012B - Microwave, 20L, Manual -",(0),"KSh 9,999"
20 L HANMAC (HMR20E) DIGITAL MICROWAVE OVEN,(0),"KSh 9,855"
SYNIX 20 L MICROWAVE OVEN,(0),"KSh 8,505"
CLEARANCE OFFER Hisense 25L Grill Microwave Oven H25MOMS7HG,(0),"KSh 15,999"
CLEARANCE OFFER Roch 20Litres Digital Microwave Oven,(0),"KSh 9,399"
NUNIX 20L Analog Microwave (C20MX1) - White,(0),"KSh 8,880"
Hisense microwave digital  20 ltrs,(0),"KSh 14,549"
Icona ILDMOG-4500XBG Microwave oven 45L With Digital Setting. 1 YEAR WARRANTY.,(0),"KSh 16,778"
"Mika MMWMSKH2012B - Microwave, 20L, Manual - Black",(0),"KSh 10,999"
Hisense 20Litres Digital Microwave,(0),"KSh 16,499"
Ramtons RM/550 - 23 Litres Microwave+Grill - Black (1YR WRTY),(0),"KSh 17,999"
Hisense 20Litres Digital Microwave,(0),"KSh 16,159"
CLEARANCE OFFER Hanmac Microwave Digital 20L With Multi-stage cooking - HMR20EG2,(0),"KSh 11,799"
Roch 20Ltrs Digital Microwave Oven High Quality Microwaves With 1 YR Warranty,(0),"KSh 10,979"
Digital microwave,(0),"KSh 10,385"
20 L Syinix Microwave Oven,(0),"KSh 8,505"
Redberry 20L Microwave Oven with Grill Function and Defrost Function Mechanical or Manual Control Push Button Door and Cooking End Signal 700W,(0),"KSh 9,799"
20 litres Roch digital microwave oven,(0),"KSh 10,799"
20 L Syinix Manual Microwave Oven,(0),"KSh 9,135"
"CLEARANCE OFFER VON VAMS-21DGK, 700W Digital Microwave Oven- 20L",(0),"KSh 10,999"
Ramtons RM/310 Digital Microwave With Grill,(0),"KSh 13,770"
Nunix microwave,(0),"KSh 10,000"
Roch  digital microwave,(0),"KSh 10,000"
Nunix microwave,(0),"KSh 10,000"
Microwave,(0),"KSh 10,000"
Roch digital microwave,(0),"KSh 9,000"
"🥰 EMBRACE THE LATEST TREND 🎉🥳of  the Redberry Microwave Oven model 721
Output Power of 700watts, has a cooking end signal indicator. 20ltrs capacity
Defrosting capability",(0),"KSh 10,100"
20 litres Hanmac digital microwave,(0),"KSh 10,789"
Hanmac 20L Manual black microwave,(0),"KSh 8,640"
Syinix 20L Digital 700W Microwave,(0),"KSh 10,530"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L,(0),"KSh 9,999"
"ICONA ILMO-2015XW MICROWAVE OVEN 20L(Manual) , 6 Microwave power level 1 YEAR WARRANTY.",(0),"KSh 7,889"
CLEARANCE OFFER Hanmac Microwave 20L Digital With Multi Stage Cooking- HMR20E2,(0),"KSh 10,499"
CLEARANCE OFFER Syinix 20L Manual Microwave -,(0),"KSh 8,299"
"ICONA ILDMOG-3000XB MICROWAVE OVEN + GRILL 30L(Digital),1 YEAR WARRANTY.",(0),"KSh 13,444"
Ramtons microwave oven,(0),"KSh 18,299"
Hanmac 20L manual microwave,(0),"KSh 9,450"
"Mika 20L Manual Microwave Oven , 700W - Black",(0),"KSh 10,800"
CLEARANCE OFFER Nunix manual microwave 20l,(0),"KSh 8,999"
"CLEARANCE OFFER Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -B",(0),"KSh 12,999"
CLEARANCE OFFER Syinix 20L Digital 700W Microwave,(0),"KSh 9,999"
HANMAC DIGITAL MICROWAVE OVEN,(0),"KSh 10,679"
Hisense white digital microwave,(0),"KSh 11,299"
CLEARANCE OFFER HANMAC Microwave Manual 20L With Defrost Function - HMR20M2,(0),"KSh 9,299"
Haier 20l Digital Control Microwave Oven-Silver,(0),"KSh 15,525"
CLEARANCE OFFER Roch Digital microwaves Oven 20L,(0),"KSh 9,499"
NUNIX DIGITAL MICROWAVE 20 LITERS 800W White M White 20,(1),"KSh 9,995"
CLEARANCE OFFER Smart Pro 20L Digital Microwave Oven,(0),"KSh 9,399"
Hisense Digital Microwave Oven 20L White 2yrs Warranty.,(0),"KSh 13,000"
Syinix 20 litres microwave oven,(0),"KSh 9,499"
"Mika MMWDSPR2312B, 23L, Digital Microwave",(0),"KSh 11,495"
"Mika 20L Manual Microwave, 700W - Black",(0),"KSh 10,800"
HANMAC 20L Digital Microwave. The robust glass turntable guarantees uniform cooking and is effortlessly detachable for a quick clean-up.,(0),"KSh 9,990"
Digital syinix  microwave,(0),"KSh 11,289"
Microwave Oven 20L - Digital Syinix Microwave,(0),"KSh 9,999"
CLEARANCE OFFER Syinix 20l Microwave Oven,(0),"KSh 8,299"
CLEARANCE OFFER Syinix 20L Microwave Oven,(0),"KSh 10,999"
20 L HANMAC DIGITAL MICROWAVE WITH GRILL,(0),"KSh 9,990"
20L synix digital microwave silver,(0),"KSh 9,999"
20L synix digital microwave silver,(0),"KSh 9,999"
CLEARANCE OFFER Nunix 20L Digital Electric Microwave,(0),"KSh 10,499"
25 L ICONA DIGITAL MICROWAVE (ILDMO-2565XB),(0),"KSh 13,500"
"CLEARANCE OFFER Mika 20L Manual Microwave, 700W,",(0),"KSh 9,999"
RAMTONS 23 LITRES MICROWAVE+GRILL BLACK- RM/550,(0),"KSh 14,990"
CLEARANCE OFFER HANMAC Microwave 20L Digital With Grill Function,(0),"KSh 11,999"
"🌿👏🤑DISCOVER THE BEST AND ENJOY EXCLUSIVE DISCOUNTS 😄🤩Ramtons RM/458 - Digital Glass Microwave, 700W - 20L -Black & Silver20 litres
Microwave Power output: 700W
5 microwave power levels
95 minutes",(0),"KSh 13,500"
CLEARANCE OFFER Nunix Microwave Oven 20L,(0),"KSh 8,999"
20 Litres Smart Pro Digital Black Microwave,(0),"KSh 9,720"
CLEARANCE OFFER ICONA 20 Ltrs Digital Microwave Oven,(0),"KSh 9,999"
Hisense 20L Digital Microwave -700W,(0),"KSh 9,799"
🥰 NEW LISTING ON SALE 🥳 Premium Range Redberry Microwave Oven model RMO-723. 20Ltr capacity. 700Volts power output. Grill function .,(0),"KSh 12,121"
Hisense 20L Digital Microwave,(0),"KSh 11,475"
Icona ILMO-2550XW Microwave oven 25L With Manual Setting Plus Grill. 1 YEARS WARRANTY,(0),"KSh 10,111"
CLEARANCE OFFER Syinix 20L Manual Microwave,(0),"KSh 8,299"
Mika 20L Digital Microwave with Grill,(0),"KSh 10,999"
20 L Mika Manual Microwave - Black,(0),"KSh 10,800"
20 Litres Roch Digital Microwave Oven,(0),"KSh 9,990"
"Synix 700w 20L Microwave Oven,Manual",(0),"KSh 8,989"
20 Litres Roch Digital Microwave Oven,(0),"KSh 9,990"
ICONA 20 Ltrs Digital Microwave Oven,(0),"KSh 10,530"
"ICONA ILDMO-2035XB MICROWAVE OVEN 20L(Digital), 5Microwave power level 1 YEAR WARRANTY.",(0),"KSh 8,999"
20 litres Hanmac digital microwave,(0),"KSh 10,779"
MIKA MICROWAVE OVEN GRILL 20LTR With 1000W Grill,(0),"KSh 13,999"
"CLEARANCE OFFER Mika 20L Digital, Solo, Microwave Oven",(0),"KSh 11,599"
Syinix Microwave Manual Oven 20L MW720-03M TW,(0),"KSh 9,960"
20L Hanmac digital microwaves with grill,(1),"KSh 14,000"
CLEARANCE OFFER Syinix 20L Manual Microwave,(0),"KSh 8,299"
Premier Digital 20L Multipurpose Microwave,(0),"KSh 11,400"
CLEARANCE OFFER HANMAC 20L Digital + Grill Microwave,(0),"KSh 9,499"
Syinix 20L Microwave Oven,(0),"KSh 11,999"
Microwave digital with grill 20 ltrs Hisense,(0),"KSh 12,499"
Roch 20 Liters Digital Microwave Oven,(0),"KSh 9,990"
Ramtons RM/310 20L Microwave with Grill,(0),"KSh 13,000"
25 L ICONA MANUAL MICROWAVE,(0),"KSh 11,475"
"Roch RMW-20PX7P-B (B) Microwave Oven, 700W, 20L - Black (1YR WRTY)",(0),"KSh 17,999"
Von Microwave 20L Digital,(0),"KSh 13,999"
CLEARANCE OFFER Nunix 20L Digital Electric Microwave Oven WITH GRILL,(0),"KSh 10,999"
"NUNIX Microwave Oven 20L White Manual SETTING NUNIX MICROWAVE C20MX, 2 knobs, power knob & timer knob. NUNIX High Quality microwave.",(0),"KSh 9,366"
VON VAMS-21DGK Digital Microwave Oven Solo 20L with grill,(0),"KSh 14,900"
SYINIX 20 L DIGITAL MICROWAVE OVEN,(0),"KSh 10,530"
CLEARANCE OFFER Roch Digital microwaves Oven 20L,(0),"KSh 9,499"
"CLEARANCE OFFER Mika 20L Manual Microwave, 700W,",(0),"KSh 9,999"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L,(0),"KSh 10,999"
20 litres mika digital microwave oven,(0),"KSh 12,420"
CLEARANCE OFFER ICONA 20 Ltrs Digital Microwave Oven,(0),"KSh 9,699"
"🥰PROMOTION 🤑 PROMOTION 🥰Haier HMW20DBM Digital Microwave Oven 700W, 20L - Black.Stylish (Silver) stainless steel finish, Compact size 20L Capacity, 700 Watts and 10 Power Levels.
Clock Timer, Easy",(0),"KSh 16,750"
CLEARANCE OFFER HANMAC 20L Digital + Grill Microwave,(0),"KSh 9,499"
20L Digital control redberry microwave oven with auto cook menus defrost function express cooking eleven power levels and child lock 700W Power Output,(0),"KSh 9,800"
Smart Pro Microwave Oven 20L Digital,(0),"KSh 10,500"
CLEARANCE OFFER Hisense 20L Digital Microwave,(0),"KSh 10,999"
HANMAC 20L Digital + Grill Microwave,(0),"KSh 9,450"
(SPECIAL OFFERS)LG Digital control Easy clean interior MS2595CIS Microwave Oven Solo 25L Silver,(0),"KSh 28,699"
HANMAC DIGITAL MICROWAVE WITH GRILL,(0),"KSh 13,350"
Nunix 20L Microwave Oven - White - MICROWAVE 20 LITERS 800W White M White 20 White 20L,(3),"KSh 8,685"
20 L SYINIX DIGITAL MICROWAVE,(0),"KSh 10,530"
"Mika 20L Digital Microwave With Grill,SILVER",(0),"KSh 13,200"
Von quartz grill digital control seven auto cook menus VAMG-20DGB 20L Microwave Oven Grill  Memory cooking (a combination of different programs),(0),"KSh 13,699"
Hisense H25MOMS7HG 25L Microwave Oven with Grill,(0),"KSh 23,800"
HISENSE 25 L MICROWAVE OVEN,(0),"KSh 16,875"
Nunix 20 Litres Manual Setting Microwave Oven,(0),"KSh 10,399"
Mika 20L Digital Microwave with Grill,(0),"KSh 10,999"
"Nunix 20 L Microwave Manual Setting Microwave Oven - Quickly and easily prepare snacks or meals, removable glass turntable .",(0),"KSh 9,315"
AILYONS 20 Litres Microwave Oven With Grill And Defrost Function,(0),"KSh 9,499"
Smart Pro Microwave,(0),"KSh 10,854"
20 L VON (HMS-202DB/VAMS-20DGB) DIGITAL MICROWAVE,(0),"KSh 12,825"
Hanmac 20 litres digital microwave with grill,(0),"KSh 13,900"
"Haier HMW20DBM Digital Microwave Oven 700W, 20L - Black",(0),"KSh 15,525"
"Smart Pro 20L Digital Microwave Oven (SMV-20L-V2), Black",(0),"KSh 9,998"
CLEARANCE OFFER Nunix 20L Digital Electric Microwave Oven WITH GRILL,(0),"KSh 10,999"
ROCH DIGITAL MICROWAVE,(0),"KSh 10,854"
CLEARANCE OFFER HANMAC 20L Manual Microwave,(0),"KSh 8,799"
Mika 20 litres digital microwave available,(0),"KSh 14,400"
Roch Digital Microwave 20ltrs,(0),"KSh 10,998"
Hanmac 20L Manual black microwave,(0),"KSh 8,699"
"OFFER Haier  Microwave Oven 700W, 20L",(1),"KSh 10,999"
Hisense White 20L Digital Microwave,(0),"KSh 10,530"
"RE-STOCKED 
RM551 Ramtons Microwave with Grill 25Ltrs",(0),"KSh 22,000"
Roch 20 Liters Digital Microwave-black,(0),"KSh 10,999"
"CLEARANCE OFFER Ramtons RM/320 - Digital Microwave, 700W - 20L -",(0),"KSh 13,299"
"Share this product


Roch 20Litres Digital Microwave",(0),"KSh 9,999"
🧏🏻‍♀️ Best Offers 🧏🏻‍♀️Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White cavity,(0),"KSh 10,000"
CLEARANCE OFFER Roch 20 Liters Digital Microwave,(0),"KSh 9,499"
CLEARANCE OFFER Hisense Digital Microwave Oven 20L,(0),"KSh 9,999"
Mika MMWMSKH2012B 20L Microwave-BLK,(0),"KSh 12,000"
AILYONS 20 Litres Microwave Oven With Grill And Defrost Function,(0),"KSh 9,699"
Smart Pro Microwave,(0),"KSh 10,854"
Binatone 20l Microwave Oven & MWO-2017E,(0),"KSh 11,700"
Hanmac 20 litres manual microwave,(0),"KSh 10,950"
Hanmac 20 litres digital microwave with grill,(0),"KSh 12,999"
Hisense 20L Digital Microwave - WHITE+2 YEARS WARRANTY,(0),"KSh 8,990"
Hisense Microwave Oven H20MOMS11 20L (2YEARS WARRANTY),(0),"KSh 8,990"
HANMAC DIGITAL MICROWAVE,(0),"KSh 11,900"
Premier Digital 20L Multipurpose Microwave,(0),"KSh 11,400"
Mika 20l microwave  2074mr. With grill,(0),"KSh 14,900"
CLEARANCE OFFER Hisense 20L Digital Microwave Oven,(2),"KSh 12,999"
RESTOCKED Digital microwave oven 20 ltrs digital with grill nunix,(0),"KSh 11,899"
xpandable Microwave/Oven Rack,(0),"KSh 5,490"
"Mika Manual Microwave, 20 litres - BlackSpacious & Stylish
With 20L of cooking capacity, a glossy exterior and 5 power levels, this counter top microwave delivers power, style, and convenience to any",(0),"KSh 10,450"
"MIKA Microwave Oven, 20L, with Grill, Digital Control Panel, Mirror Finish",(0),"KSh 15,015"
"CLEARANCE OFFER Haier HMW28DBM Digital Microwave Oven 900W, 20L",(0),"KSh 10,999"
Nunix C20MX1 20ltrs  Microwave Oven,(1),"KSh 8,299"
Hisense Microwave Oven H20MOBS11 700W 20L Digital Microwave,(0),"KSh 9,900"
"Mika 20L Manual Microwave, 700W, Black",(0),"KSh 9,999"
"hisense Digital Microwave The Hisense 20L Digital Microwave is a powerful and versatile microwave oven that is perfect for any kitchen. With 11 power levels and a microwave output power of 700 watts,",(1),"KSh 12,150"
RAMTONS-RM/237-20LT MICROWAVE DIGITAL WHITE,(1),"KSh 11,999"
"CLEARANCE OFFER VON VAMS-20DGB, 20L, 700Watts Microwave Oven",(0),"KSh 13,499"
Icona 20L Digital Microwave Oven,(0),"KSh 9,999"
LG 3 Times Brighter LED Lamp 39 L MJ3965ACS neoChef Microwave Convection Oven EasyClean Smart Inverter Stable Turntable,(0),"KSh 70,799"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
(OFFER PRICE) Premier Multi Purpose metallic Microwave Oven White 20 litres,(2),"KSh 10,789"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(1),"KSh 8,999"
RAMTONS-RM/239-20 LITERS MICROWAVE+GRILL WHITE,(0),"KSh 12,999"
CLEARANCE OFFER Roch Digital microwaves Oven 20L,(1),"KSh 9,999"
Ramtons RM/589- Microwave+ Grill Microwave Ovens,(0),"KSh 19,899"
Nunix 20L Microwave Oven,(0),"KSh 8,799"
OFFER NEW ROCH 20L Microwave Oven,(0),"KSh 10,799"
CLEARANCE OFFER ICONA 20 Ltrs Digital Microwave Oven,(0),"KSh 9,499"
Roch 20 Litres Digital Microwave. Get yourself a life saving and time saving appliance to make your life much easier.. 20 Liters capacity 11 Microwave power levels Defrost function,(0),"KSh 9,250"
Nunix Digital Microwave Oven 20L WITH GRILL,(0),"KSh 11,499"
Hisense 20L Microwave,(0),"KSh 8,900"
CLEARANCE OFFER Ramtons RM/672 - 20LT Manual Microwave -,(0),"KSh 12,999"
Nunix C20PG 20ltrs Digital Microwave Oven with Grill,(1),"KSh 10,899"
Hisense Microwave 30 L Digital Handle  H30M0MS9H,(0),"KSh 20,599"
VON 20L DIGITAL MICROWAVE,(0),"KSh 12,999"
"OFFER Haier HP90D23EL-B8 Glass Microwave Oven 900W, 20L - Microwave ovens",(0),"KSh 11,999"
CLEARANCE OFFER Nunix Microwave Oven 20L WITH GRILL,(0),"KSh 11,299"
"Quality Mika Microwave Oven, 20L, Digital Control Panel, White MMWDSPR2021W",(0),"KSh 11,449"
"OFFER Haier HMW20DBM Digital Microwave Oven 700W, 20L",(0),"KSh 12,999"
(LIMITED OFFER) LG Didital control Microwave Oven MS4295CIS Solo Neochef Smart Inverter Even Heating Even Defrosting,(0),"KSh 33,699"
CLEARANCE OFFER Nunix Digital Microwave Oven 20L,(0),"KSh 9,999"
20 litres Lyons microwave .Analog functions,(0),"KSh 11,647"
"Nunix Digital Microwave Oven 20L. C20PG1COMPACT: The Nunix C20PG1 Countertop Microwave is 44cm long making it the ideal choice to fit into your dormitories, apartment kitchens or workplace.
DIGITAL PA",(0),"KSh 10,500"
"TRUSTED SOURCE OF Hisense white digital microwave Membrane digital control
11 microwave power levels
6 auto cooking menus
99.99mins cooking timer
24H clock setting",(1),"KSh 11,121"
Roch RMW-20LD7CW-AB 20L Digital Microwave,(0),"KSh 10,500"
UPGRADE YOUR KITCHEN WITH THESE TOP QUALITY AND DURABLE HANMAC 20LITRES MICROWAVE IT IS CONVENIENT FOR USE BOTH INDOOR AND COMMERCIAL PURPOSES,(0),"KSh 10,000"
"Midea 20L Digital Microwave Oven , 700W  Black - MMO-MM720C2GXE(BK) ,",(0),"KSh 8,595"
VON HMG-202DB/VAMG-20DGB - Grill Microwave - 20L - Black & Red. Digital control panel Adjustable power levels 7 auto cook menu’s Jet defrost Variable power,(0),"KSh 16,271"
CLEARANCE OFFER Hisense 20L Digital Microwave oven,(0),"KSh 10,799"
CLEARANCE OFFER Nunix Digital Electric Microwave-20L,(0),"KSh 10,999"
20 Litres Ramtons Digital Microwave,(1),"KSh 15,800"
Quality RAMTONS 23 LITRES MICROWAVE+GRILL BLACK- RM/550,(0),"KSh 17,699"
CLEARANCE OFFER Ramtons RM/672 - 20LT Manual Microwave -,(0),"KSh 12,999"
Nunix Digital Microwave  20L Without GRILL,(0),"KSh 9,699"
RAMTONS 23 LITRES MICROWAVE+GRILL BLACK- RM/550,(0),"KSh 23,000"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
Quality Nunix Microwave Oven 20L WITH GRILL,(1),"KSh 11,514"
20L Microwave Oven Mechanical Control Defrost Setting  Cooking and Signal,(0),"KSh 7,999"
"CLEARANCE OFFER Roch RMW-20PX9-B (B) Microwave Oven, 700W, 20L",(0),"KSh 9,999"
CLEARANCE OFFER 20l Icona digital microwave,(0),"KSh 9,899"
Microwave Oven 20L Nunix Oven,(5),"KSh 7,200"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
CLEARANCE OFFER Icona London 20L Manual Setting Microwave Oven,(0),"KSh 8,999"
Digital Ramtoms microwave  (RM320).20litres,(0),"KSh 13,800"
Nunix Microwave Oven 20L WITH GRILL,(1),"KSh 12,900"
VON HMG-202DB/VAMG-20DGB - Grill Microwave - 20L - Black & Red. Digital control panel Adjustable power levels 7 auto cook menu’s Jet defrost Variable power,(0),"KSh 16,740"
"OFFER Roch RMW 20LM7CB-A(B) Microwave Oven, 700W, 20L",(0),"KSh 9,999"
"Lyons V1 20L Microwave Oven With 99 Min Timer, Digital Control, Multistage Cooking, Cooking, Defrost",(0),"KSh 15,222"
Digital microwaves Oven 20L,(0),"KSh 9,720"
VON HMS-210DS/VAMS-20DGS Digital Solo Microwave Oven - 20L,(0),"KSh 16,102"
(SPECIAL OFFER) HISENSE 20 LITRES DIGITAL MICROWAVE OVEN-WHITE-2 YEARS WARRANTY White 30 inch 700w,(1),"KSh 9,699"
"20L Digital+Grill Microwave with Multiple Auto Menus, Speed Defrost, Child Lock",(0),"KSh 11,499"
Mika Microwave,(0),"KSh 11,499"
Hisense Digital Microwave oven,(0),"KSh 12,500"
AILYONS D70H20P-SC 20L Electric MICROWAVE OVEN & GRILL Microwave ovens White 5-speed adjustment 20L 1200w,(2),"KSh 8,899"
CLEARANCE OFFER Ramtons RM/672 - 20LT Manual Microwave,(0),"KSh 10,999"
Hanmac 20L Digital Microwave - HMR20EG2,(0),"KSh 13,999"
Hanmac 20L Digital Microwave - HMR20E2,(0),"KSh 12,499"
2M214 Microwave Oven Magnetron 2M214 161GP 2B71165R,(0),"KSh 3,100"
2M214 Microwave Oven Magnetron 2M214 161GP 2B71165R,(0),"KSh 3,099"
20L Digital control redberry microwave oven with auto cook menus defrost function express cooking eleven power levels and child lock 700W Power Output,(0),"KSh 9,700"
20L Redberry microwave oven with grill for faster heating mechanical control microwave with defrost function RMO-723 700W,(0),"KSh 10,400"
20L Redberry Microwave oven with defrost function mechamical control push button door and cooking end signal 700W Output RMO-721,(0),"KSh 8,900"
20L Redberry Microwave oven with defrost function mechamical control push button door and cooking end signal 700W Output RMO-721,(0),"KSh 9,000"
20L Redberry microwave oven with grill for faster heating mechanical control microwave with defrost function RMO-723 700W,(0),"KSh 10,500"
Hanmac 20L Manual Microwave - HMR20M2,(0),"KSh 10,999"
Hisense H20MOWS11 - 20 Litres Microwave - White (2YRs WRTY),(0),"KSh 8,990"
"Mika Microwave Oven, 20L, With Grill, Digital Control Panel, Mirror Finish",(0),"KSh 13,540"
Hisense H25MOMS7HG 25L Microwave Oven with Grill,(0),"KSh 24,000"
Hisense H25MOMS7HG 25L Microwave Oven with Grill,(0),"KSh 24,200"
20L Hisense digital microwaves SILVER With 2 years Warranty,(0),"KSh 16,999"
"20 litres Roch digital microwave oven. 35 minutes timer- This means the maximum time to set is 35 minutes.
Glass door- its mainly used for viewing the food inside the microwave if its ready
Defrost se",(0),"KSh 10,800"
"Hanmac 20L Digital plus grill microwave,Countertop Microwave Oven With 6 Auto Menus, Kitchen Essentials, Mute Function & ECO Mode, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W",(0),"KSh 10,990"
"HANMAC 20L Digital Microwave. Elevate your culinary skills with 11 adjustable  power settings, ensuring precise control for a wide array of recipes Extended.Rapidly thaw your frozen goods with the Spe",(0),"KSh 10,650"
Mika 20L Manual Microwave,(0),"KSh 9,999"
"Hanmac 20L Digital plus grill microwave,Countertop Microwave Oven With 6 Auto Menus, Kitchen Essentials, Mute Function & ECO Mode, 0.9 Cu Ft, 10.6 Inch Removable Turntable, 900W",(0),"KSh 10,449"
VAMS-20DGX Von Microwave Oven Solo - 20L digital control microwave with touch control panel black 700W with 6 auto cook menus,(0),"KSh 12,800"
Mika Microwave 19L Black Defrost Function. 35 Minutes Timer. Durable Glass Door With Handle.,(0),"KSh 10,989"
BUY AT DISCOUNTED PRICE🤪🥳Nunix 20L Electric Oven With Grill (3 Knobs) Electric Rotisserie Oven Input Power: 1280W Voltage: 220V/50Hz Operating Frequency: 2450MHz 6 Microwave Power Level White cavity,(0),"KSh 6,000"
"MIKA MICROWAVE OVEN GRILL 20LTR With 1000W Grill Silver . Mika offers affordable‎,‎ quality‎,‎ energy‎-efficient home appliances‎.‎ The brand is well known for their high‎-quality‎,‎ top of the range",(0),"KSh 13,999"
Mika Digital Microwave with Grill-20L+1 YEAR WARRANTY,(0),"KSh 10,999"
"20l Icona digital microwave. This Icona Microwave boasts 20 liters of space, allowing you to accommodate dishes and plates of various sizes. You can reheat leftovers or steam vegetables with this appl",(0),"KSh 10,499"
20 L synix digital microwave silver,(0),"KSh 9,959"
20L Digital Microwave with Grill,(0),"KSh 10,285"
"Hisense 20L Digital Microwave Oven. Hisense offers affordable‎,‎ quality‎,‎ energy‎-efficient home appliances‎.‎ The brand is well known for their high‎-quality‎,‎ top of the range products",(0),"KSh 10,999"
"VON VAMS-20DGB, 20L, 700Watts Microwave Oven",(0),"KSh 11,999"
"VON VAMS-20DGB, 20L, 700Watts Microwave Oven",(0),"KSh 13,999"
(NEW ARRIVAL).ICONA 20 Ltrs Digital Microwave Oven.Capacity: 20 Ltrs Defrost Setting 99 Minutes Timer 5 Power Level Easy To Clean Elegant Design Cooking End Signal,(0),"KSh 12,578"
Redberry 20L Microwave Oven with Defrost Function Mechanical or Manual Control Push Button Door and Cooking End Signal 700W,(0),"KSh 8,499"
CLEARANCE OFFER ICONA Microwave oven 20L With Manual Setting ILMO-2015XW,(0),"KSh 8,799"
20L Powerful Microwave,(0),"KSh 8,399"
LG MJ3965ACS 39L Smart Inverter Convectional Microwave Stainless Steel,(0),"KSh 71,495"
"Hanmac Microwave 20L Digital with Multiple Power Levels, Speed Defrost, Child Lock",(0),"KSh 10,769"
Mika 20L Digital Microwave with Grill,(0),"KSh 10,999"
