link,name,price,discount,brand,image_url,data_id,data_category,data_discount,data_price,data_name
https://www.jumia.co.ke/von-cooker-3-gas-1-electric-vcf563131nfs-silver-275454589.html,"VON Cooker 3 Gas + 1 Electric - VCF563131NFS, Silver","KSh 28,699",28%,VON,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/5454572/1.jpg?4092,VO144HA4XQV5DNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers,83.34,211.74,"Cooker 3 Gas + 1 Electric - VCF563131NFS, Silver"
https://www.jumia.co.ke/haier-3gas-1electric-50x60-cooker-with-electric-oven-ecr1031eesb-176210729.html,Haier 3Gas + 1Electric 50X60 Cooker With Electric Oven -ECR1031EESB,"KSh 42,504",N/A,Haier,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/7012671/1.jpg?2255,HA342HA36Q98ZNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,N/A,313.59,3Gas + 1Electric 50X60 Cooker With Electric Oven -ECR1031EESB
https://www.jumia.co.ke/sayona-sgc50e31-go-electric-31-gas-free-standing-cooker-5055-white-267989277.html,"Sayona SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White","KSh 19,999",22%,Sayona,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/2989762/1.jpg?9921,SA537HA4L3H9CNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,42.05,147.55,"SGC50E31-GO Electric 3+1 Gas Free Standing Cooker, 50*55 White"
https://www.jumia.co.ke/bruhm-60-x-60-gas-cooker-bgc-66m31orsn-black-1yr-wrty-267311113.html,"Bruhm 60 X 60 Gas Cooker BGC-66M31ORSN, Black (1YR WRTY)","KSh 49,995",N/A,Bruhm,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/1113762/1.jpg?2851,BR021HA3TLIOGNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,N/A,368.86,"60 X 60 Gas Cooker BGC-66M31ORSN, Black (1YR WRTY)"
https://www.jumia.co.ke/nunix-50-55cm-cooker-4-gas-burners-gas-oven1yr-wrty-187877731.html,"Nunix 50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)","KSh 18,480",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/7778781/1.jpg?4415,NU344HA1VQNKMNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers,N/A,136.35,"50 * 55cm Cooker, 4 Gas Burners, Gas Oven (1YR WRTY)"
https://www.jumia.co.ke/nunix-free-standing-4-gas-burner-cooker-with-oven-72049297.html,Nunix Free Standing 4 Gas Burner Cooker With Oven,"KSh 19,999",43%,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/294027/1.jpg?5113,NU344HA1B7JNVNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,110.67,147.55,Free Standing 4 Gas Burner Cooker With Oven
https://www.jumia.co.ke/nunix-cooker-3-gas-burnershot-plate-electric-60l-oven-93302196.html,"Nunix Cooker 3 Gas Burners,Hot Plate, Electric 60L Oven","KSh 33,319",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/120339/1.jpg?5911,NU344HA155HLFNAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,N/A,245.83,"Cooker 3 Gas Burners,Hot Plate, Electric 60L Oven"
https://www.jumia.co.ke/nunix-free-standing-cooker-505584cm4-gas-burnersgas-oven-166832318.html,"Nunix Free Standing Cooker 50*55*84cm,4 Gas Burners,Gas Oven","KSh 19,469",25%,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/3238661/1.jpg?8024,NU344HA2ZYEE2NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Cookers,48.18,143.64,"Free Standing Cooker 50*55*84cm,4 Gas Burners,Gas Oven"
https://www.jumia.co.ke/nunix-50-55cm-cookers-3-gas-1-hotplate-electric-oven-3-gas-electric-oven-1yr-wrty-187877732.html,"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)","KSh 22,000",N/A,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/7778781/1.jpg?4456,NU344HA21OZMENAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers,N/A,162.32,"50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven (1YR WRTY)"
https://www.jumia.co.ke/nunix-3gas-1-electric-free-standing-oven-gas-cooker-150769711.html,Nunix 3gas + 1 Electric Free Standing Oven Gas Cooker,"KSh 24,500",39%,Nunix,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/7967051/1.jpg?1057,NU344HA1UK6W1NAFAMZ,Home & Office/Appliances/Cooking Appliances/Cookers/Gas Cookers/Others,114.35,180.76,3gas + 1 Electric Free Standing Oven Gas Cooker
