,Name,Price(kshs),Reviews,Doors,Capacity(ltrs),Brand
278,Nunix Nunix 92L Single Door Fridge Energy Efficient BC-92,22500,0,1,92.0,Nunix
279,"Mika 211l double door refrigerator MIKA Fridge, 211L, 2 Door Top Mount Freezer, Defrost Direct Cool, Inox Dark Matt-MRDCD211XDM",54000,0,2,211.0,Mika
280,Premier 50L PERFECT QUALITY FRIDGE,21700,0,Not Found,50.0,Premier
281,"RAMTONS 190 LITRES SINGLE DOOR DIRECT COOL FRIDGE, SILVER- RF140",43990,0,1,190.0,Ramtons
282,Bruhm 190 Ltr Double Door Direct Cool Fridge Refrigerator BFD-183MD,41199,0,2,190.0,Bruhm
283,"hisense 94lsingle door fridge Slim and Cool The slim design of the Hisense Single-Door Refrigerator makes it ideal for a small kitchen, apartment, or other room with floor space.",26325,0,1,94.0,Hisense
284,Ramtons RF223-93 Litres Single Door Fridge- Silver,27000,0,1,93.0,Ramtons
285,"RAMTONS 128 LITERS 2 DOOR DIRECT COOL FRIDGE, WHITE- RF174",37800,0,2,128.0,Ramtons
286,RAMTONS RF222 90L DIRECT COOL FRIDGE,28000,0,Not Found,90.0,Ramtons
287,Nunix fridge Nunix 92litres single door fridge,23999,0,1,92.0,Nunix
288,"Ramtons RF246, Single Door Fridge, 90L -silver",25600,0,1,90.0,Ramtons
289,"VON Von,VARS-23DHS Single Door Fridge 185LDirect cool refrigerators use less electricity since it uses natural convection to circulate cool air throughout the fridge. The freezer compartment is usuall",43200,0,1,185.0,Von
290,Ramtons RF214- 1 Door Fridge - 90 Litres - White,24990,0,1,90.0,Ramtons
291,Vitron 125L Double Doors Refrigerator Enerygy Saving Fridge and Freezer with 2L Bottle Rack VDR128DS,34499,0,2,125.0,Vitron
292,PRICE DROP Nunix 138L Large Capacity Double Door Fridge -Silver,29950,0,2,138.0,Nunix
293,Roch Double Door Mini-Fridge -85L,23999,0,2,85.0,Roch
294,LG GN-B202SQBB 187L No-Frost Fridge,71000,0,Not Found,187.0,LG
295,Nunix 92L Single Door Fridge,21999,0,1,92.0,Nunix
296,Von VART-18DMK 138L Double Door Fridge,40000,0,2,138.0,Von
297,Nunix 138litres fridge,36000,0,Not Found,138.0,Nunix
298,90L SINGLE DOOR DIRECT COOL FRIDGE,22999,0,1,90.0,Unknown
299,Ramtons RF238-173L 2Door Direct Cool Fridge,44999,0,Not Found,173.0,Ramtons
300,TODAY Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L - Silver,25999,0,1,94.0,Hisense
301,TODAY Hisense RS-12DR4SA Single Door Direct Cool Fridge - 94L2 YEARS WARRANTY,25999,0,1,94.0,Hisense
302,BCD-138 138 Litres Double Door Nunix Fridge Energy Efficient,35000,0,2,138.0,Nunix
303,BC-92 90 Litres Single Door Nunix Fridge Energy Efficient,23000,0,1,90.0,Nunix
304,Premier QUALITY PM-90L Fridge Single Door As The Picture 90L,21999,0,1,90.0,Premier
305,Mika 92L Mini Fridge Single Door Refrigerator1YEAR WARRANTY,19999,0,1,92.0,Mika
306,"Drag image to spin 128 LITERS 2 DOOR DIRECT COOL FRIDGE, MAR SILVER- RF171",36999,0,2,128.0,Unknown
307,Hisense REF094DR - 94 Liters Fridge - Silver,24999,0,Not Found,94.0,Hisense
308,"Mika Fridge, 255L, 2 Door Top Mount Freezer, No Frost Frost Free, Line Silver Dark - MRNF255LSD",75500,0,2,255.0,Mika
309,Volsmart VL-BCD138 Double Door Direct Cool Fridge- 138 Litres,28999,0,2,138.0,Volsmart
310,Volsmart 118L Fridge Freezer VL-BCD138 Energy Saving Double Doors Refrigerator,32029,0,2,118.0,Volsmart
311,Nunix 210L Double Door Fridge Energy Efficient BCD-210l,39999,0,2,210.0,Nunix
312,Hisense RS-12DR4SA 92L Single Door Direct Cooling Fridge -SILVER,25999,0,1,92.0,Hisense
313,Hisense Fridge 94 Liters REF094DR2 YEARS WARRANTY,23999,0,Not Found,94.0,Hisense
314,"Ramtons 2 Door Direct Cool Fridge, 128 Litres-RF173 - Silver",38900,0,2,128.0,Ramtons
315,"Ramtons 2 Door Direct Cool Fridge,CFC FREE,128 Litres-RF173 - Silver",38900,0,2,128.0,Ramtons
316,"Ramtons 2 Door Direct Cool Fridge, 128 Litres - Silver",38900,0,2,128.0,Ramtons
317,"Ramtons 2 Door Direct Cool Fridge, 128 Litres 2 YEARS WARRANTY",38900,0,2,128.0,Ramtons
318,"Ramtons - RF173 2 Door Direct Cool Fridge,CFC FREE,128 Litres- Silver",38900,0,2,128.0,Ramtons
319,Hisense Fridge 176 Liters With Dispenser REF176DR Single Door2 YEARS WARRANTY,39999,0,1,176.0,Hisense
321,"RAMTONS 93 LITERS SINGLE DOOR DIRECT COOL FRIDGE, SILVER- RF223",24990,0,1,93.0,Ramtons
322,Hisense REF094DR - 94 Liters Fridge - Silver2 YEARS WARRANTY,24999,0,Not Found,94.0,Hisense
323,Hisense REF094DR - 94 Liters Fridge,24999,0,Not Found,94.0,Hisense
324,Syinix 137L Double Door Fridge Energy Efficient FD180BF02K,39150,0,2,137.0,Syinix
325,Premier 90 Litres Single Door Mini-Fridge,19899,0,1,90.0,Premier
326,Roch Double Door Fridge - 85L,40000,0,2,85.0,Roch
327,"Roch Double Door Fridge, 126L",54000,0,2,126.0,Roch
328,"Roch Double Door Fridge, 126L",55000,0,2,126.0,Roch
329,Roch Double Door Fridge - 85L,39000,0,2,85.0,Roch
330,Mika MRDCS50XDM 92L Direct Cool Fridge,19999,0,Not Found,92.0,Mika
331,Hisense 92L Single Door Direct Cooling Fridge RS-12DR4SA2 YEARS WARRANTY,25999,0,1,92.0,Hisense
332,Ramtons RF268 - 2 Door Direct Cool Fridge - 207L - Silver,49999,0,2,207.0,Ramtons
333,Ramtons RF309-No-Frost Fridge 314Lts 2 Door,91999,0,2,314.0,Ramtons
334,"MIKA MRDCD168DS Fridge, 168L, 2 Door Top Mount Freezer, Defrost",46500,0,2,168.0,Mika
336,"ICECOOL 118L Large Capacity Double door Fridge Refrigerator  FREE GIFT FRIDGE GUARD.Low noise, low energy consumption Door lock  keys Capacity Net litre Fridge 73L Capacity Net litre Freezer",34499,0,2,118.0,ICECOOL
337,Premier 128 Litres Double Door Fridge,29999,0,2,128.0,Premier
338,Hisense Fridge 91 Liters Double Door,25999,0,2,91.0,Hisense
339,Hisense Fridge 91 Liters Double Door5 YEARS WARRANTY,25999,0,2,91.0,Hisense
