,Name,Price(Kshs),Reviews
14,"Refurbished Lenovo Thinkpad T510 15.6"" Laptop - Intel Core i7 2.66GHz 4 CPUs, 4GB RAM, 250GB HDD, Windows 10 Home, 1024x768 Display, 64Hz Refresh Rate, HDMI, 6 Month Warranty",10999,33
15,i5+8GB+500GB+Mouse Refurbished Hp Elitebook 840 G1 Laptop - Intel Core i5 - 8GB RAM 500GB HDD Storage - 14'' Display Windows 11 Notebook Computer 14 inch HD Screen-Windows 11 Office 2019 Pro Edition,16999,0
16,"TOUCHSCREEN REFURBISHED LENOVO THINKPAD YOGA 11E 4GB RAM 128GB SSD , CELERON, 2 IN 1 LAPTOP , 5TH GENERATION X360",10999,5
17,"Refurbished Laptop Lenovo Thinkpad T430 Core i5 3th Gen 4GB+500GB+12.5"" Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch",12299,2
18,4GB + 320GB HDD Refurbished Lenovo Thinkpad Yoga 11e Celeron 4GB RAM + 320GB HDD Storage Laptop Windows Installed Non-touchscreen Laptops Notebook Computer,11299,2
19,"PANASONIC CF-MX5: Versatile 12.5"" Laptop with i5-6200U, 4GB/8GB RAM, 128GB/256GB SSD, Touch-Screen, Pen Input, 64-Bit Operating System, 6 Month Warranty",12999,11
20,"Refurbished HP Chromebook 11 G5 Laptop 11.6"" Display Intel Celeron N3060 4GB RAM + 16GB SSD Storage HDMI HD Camera Chrome OS Laptops Computer Notebook 6 Months Warraanty",8599,5
21,Touchscreen i5 8gb ram + 128gb ssd Refurbished HP ProBook x360 11 G1 EE Intel Core i5 8th Gen 8GB RAM 128GB SSD 11.6 Inch HD Display Refurbished hp Laptop Refurbished Laptops,18699,0
22,"Lenovo Thinpad Yoga 390 x360 Intel Core i5 16GB RAM 256GB SSD 8th generation, Quad Core windows 11 Pro 13.3 inches FHD Touchscreen 2 IN 1 Refurbished Laptop",28999,2
23,"[Core i5+8gb+256gb+14''] Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office",21999,28
24,"i5+8GB+1TB+14""+Mouse Refurbished HP Elitebook 840 G3 i5 6th 8GB 1000GB 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops",23999,0
25,Refurbished Dell Latitude E7440 Intel Core i5 5th Generation 8GB RAM 500 GB HDD Storage 14 Inches HD Display Refurbished Laptops Notebook Computers,17999,0
26,"Refurbished Hp Elitebook 810 G2, Revolve Intel Corei5 8gb ram 256gb SSD Storage Windows 10 pro installed Office 2019 activated + Free Laptop Bag",22999,1
27,BLACK BRAND NEW HP PROBOOK 11 G2 | CELERON| 4GB RAM | 128GB SSD |TOUCHSCREEN LAPTOP|WINDOWS 10 PRO+FREE MOUSE 2 IN 1 LAPTOP,13399,21
28,"Touchscreen Refurbished LENOVO YOGA 11E 4GB RAM 128GB SSD REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10 PRO",11499,4
29,"BLACK REFURBISHED HP PROBOOK 11 G3 CELERON 4GB RAM 128GB SSD 2 IN 1 LAPTOP TOUCHSCREEN , X360 , WINDOWS 10 PRO, OFFICE 2019 ACTIVATED , FREE MOUSE",13499,11
30,[Core i7+16gb+512gb+13.3'' Touch] Refurbished Hp 1040 G6 Laptop Core i7 Touchscreen X360 16GB RAM + 512GB SSD Laptops 13.3 inch Computer Notebook,42999,0
31,Limited Hot Best Offers Touchscreen x360 Lenovo ThinkPad 11e Laptop Laptop | Intel pentium 6th gen | 4GB RAM | 256GB SSD | 11.6 Inch Refurbished Lenovo Laptops Notebook Computer,14299,13
32,"Touchscreen Refurbished HP ProBook 11e x360 Intel Celeron 4GB RAM,128GB Solid State Drive 2-in-1 11.6-inch Display Laptop PCBluetoo Refurbished Laptops Notebook Computer",12949,0
33,Lenovo ThinkPad X1 Yoga X360 Intel Core i5 6th Gen 8GB RAM 256GB SSD 14 Inch Full HD Touchscreen 2 in 1 Convertible 2.4GHz up to 2.71GHz Dual Core Processor Refurbished Laptop + Stylus Pen,34000,0
34,Share this product ..HP Chromebook 11 G6 Laptop - Intel Celeron Dual-core - Storage 16GB / 4GB - WiFi - Camera - Type C - HDMI - Chrome OS + Apps - Refurb - Black,8999,0
35,"i5+8GB+512GB+14""+Mouse Refurbished HP Elitebook 840 G3 i5 6th 8GB 512GB SSD 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops",22999,0
