Brand,Count
vitron,1249
vision,950
tcl,498
hisense,461
Unknown,352
samsung,142
skyworth,123
gld,113
amtec,106
syinix,56
lg,56
glaze,37
sony,30
artel,15
ailyons,14
euroken,10
eoco,7
iconix,6
premier,5
haier,4
sonar,3
infinix,2
