name,discounted_price,previous_price,discount_%,id,brand,rating,reviews_count,link
Free Standing 4 Gas Burner Cooker With Oven,"KSh 19,999","KSh 34,999",43%,NU344HA1B7JNVNAFAMZ,Nunix,4.4,"<div class=""rev""><div class=""stars _s"">4.4 out of 5<div class=""in"" style=""width:88.00000000000001%""></div></div>(18)</div>",https://www.jumia.co.ke/nunix-free-standing-4-gas-burner-cooker-with-oven-72049297.html
3gas + 1 Electric Free Standing Oven Gas Cooker,"KSh 24,500","KSh 39,999",39%,NU344HA1UK6W1NAFAMZ,Nunix,4.1,"<div class=""rev""><div class=""stars _s"">4.1 out of 5<div class=""in"" style=""width:81.99999999999999%""></div></div>(46)</div>",https://www.jumia.co.ke/nunix-3gas-1-electric-free-standing-oven-gas-cooker-150769711.html
GP-007 3 Burners Table Top Glass,"KSh 3,960",,,NU344HA38PK6ENAFAMZ,Nunix,3.6,"<div class=""rev""><div class=""stars _s"">3.6 out of 5<div class=""in"" style=""width:72%""></div></div>(37)</div>",https://www.jumia.co.ke/nunix-gp-007-3-burners-table-top-glass-160082069.html
"New Arrival SGC50E31-EO Free Standing Electric Gas Cooker, 50*55 Size with Electric oven 3 gas burne","KSh 22,680","KSh 26,499",14%,SA537HA47OFQLNAFAMZ,Sayona,4.5,"<div class=""rev""><div class=""stars _s"">4.5 out of 5<div class=""in"" style=""width:90%""></div></div>(11)</div>",https://www.jumia.co.ke/sayona-new-arrival-sgc50e31-eo-free-standing-electric-gas-cooker-5055-size-with-electric-oven-3-gas-burners-and-1-electric-plate-standing-gas-cookers-275126745.html
Table Top Stainless Steel two Burner Gas Cooker Plus 6kg Regulator And Pipe,"KSh 2,288",,,EU101HA4XK6RGNAFAMZ,Eurochef,3.7,"<div class=""rev""><div class=""stars _s"">3.7 out of 5<div class=""in"" style=""width:74%""></div></div>(15)</div>",https://www.jumia.co.ke/eurochef-table-top-stainless-steel-two-burner-gas-cooker-plus-6kg-regulator-and-pipe-261933289.html
3 Burner Auto Ignition Table Top Cooker Plus Free 6kg Regulator And Pipe,"KSh 2,999",,,NU344HA3N8N8RNAFAMZ,Nunix,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(1)</div>",https://www.jumia.co.ke/nunix-3-burner-auto-ignition-table-top-cooker-plus-free-6kg-regulator-and-pipe-276033402.html
Table Top Double Burner Gas Stove Cooker + Pipe & 6 kg Regulator,"KSh 2,578","KSh 4,400",41%,NU344HA4YJM99NAFAMZ,Nunix,4.3,"<div class=""rev""><div class=""stars _s"">4.3 out of 5<div class=""in"" style=""width:86%""></div></div>(3)</div>",https://www.jumia.co.ke/nunix-table-top-double-burner-gas-stove-cooker-pipe-6-kg-regulator-275968899.html
"Table Top Gas Cooker,2 Burner+Regulator+Pipe","KSh 2,645","KSh 4,000",34%,NU344HA3FQ72JNAFAMZ,Nunix,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(1)</div>",https://www.jumia.co.ke/nunix-table-top-gas-cooker2-burnerregulatorpipe-278941870.html
4 Burner Table Top Gas Cooker Stove - Metallic Grey,"KSh 4,545","KSh 6,500",30%,NU344HA38X4O5NAFAMZ,Nunix,4.8,"<div class=""rev""><div class=""stars _s"">4.8 out of 5<div class=""in"" style=""width:96%""></div></div>(4)</div>",https://www.jumia.co.ke/nunix-4-burner-table-top-gas-cooker-stove-metallic-grey-175118369.html
"Free Standing 3 Gas + 1 Electric Hotplate,Electric Oven Cooker","KSh 23,999","KSh 48,000",50%,NU344HA4J5AJPNAFAMZ,Nunix,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(2)</div>",https://www.jumia.co.ke/nunix-free-standing-3-gas-1-electric-hotplateelectric-oven-cooker-275342047.html
RECK-531BL - 50x55CM 3 Gas Burners + 1 Hotplate Cooker - Black (1YR WRTY),"KSh 37,500",,,RO745HA3RU3YGNAFAMZ,Roch,5.0,"<div class=""rev""><div class=""stars _s"">5 out of 5<div class=""in"" style=""width:100%""></div></div>(1)</div>",https://www.jumia.co.ke/roch-reck-531bl-50x55cm-3-gas-burners-1-hotplate-cooker-black-1yr-wrty-286925182.html
