,Name,Price,Reviews,Screen_size
29,Touchscreen x360 Lenovo ThinkPad 11e Laptop Laptop | Intel pentium 6th gen | 4GB RAM | 256GB SSD | 11.6 Inch Refurbished Lenovo Laptops Notebook Computer,"KSh 14,299",13,11.6
30,"Refurbished Hp Elitebook 810 G2, Revolve Intel Corei5 8gb ram 256gb SSD Storage Windows 10 pro installed Office 2019 activated + Free Laptop Bag","KSh 22,999",1,
31,"Touchscreen Refurbished HP ProBook 11e x360 Intel Celeron 4GB RAM,128GB Solid State Drive 2-in-1 11.6-inch Display Laptop PCBluetoo Refurbished Laptops Notebook Computer","KSh 12,949",0,
32,"i5+8GB+512GB+14""+Mouse Refurbished HP Elitebook 840 G3 i5 6th 8GB 512GB SSD 14"" FHD 2.40Ghz Processor Backlight Bluetooth Webcam Intel HD Graphics Windows 11 Laptops","KSh 22,999",0,14.0
33,"REFURBISHED HP PROBOOK 11 G3 CELERON 4GB RAM 128GB SSD 2 IN 1 LAPTOP TOUCHSCREEN , X360 , WINDOWS 10 PRO, OFFICE 2019 ACTIVATED , FREE MOUSE","KSh 13,499",11,
34,Refurbished Dell Latitude E7440 Intel Core i5 5th Generation 8GB RAM 500 GB HDD Storage 14 Inches HD Display Refurbished Laptops Notebook Computers,"KSh 17,999",0,14.0
35,"Panasonic CF-SZ5: Intel Core i5,G6, 8GB RAM, Windows 10 Pro, IntelR CPU @2.40Ghz4CPUs256G BROM,laptop","KSh 11,999",29,
36,"REFURBISHED HP ELITEBOOK 820 G1 CORE I5 8GB RAM 256GB SSD, 4TH GENERATION 6 MONTHS WARRANTY ,INSTALLED WINDOWS 11","KSh 16,999",3,
37,"Core i5+8gb+256gb+14'' Refurbished Hp Elitebook 840 G3 Laptop Intel Core i5 6th Gen 8GB 256GB SSD 14"" Backlit Keyboard Notebook Laptop Computer Windows 11 Office","KSh 19,599",0,14.0
38,Refurbished Lenovo ThinkPad T470s Laptop Intel Core i5 6th Gen 8GB RAM 256GB SSD 14'' Inch Refurbished Laptops Computer Notebook Black,"KSh 19,999",0,14.0
39,"LENOVO YOGA 11E 4GB RAM 128GB SSD 2 IN 1 TOUCHSCREEN X360 LAPTOP REFURBISHED LAPTOP , BLACK , 12"" INCH , INSTALLED WINDOWS 10","KSh 10,499",0,12.0
40,Refurbished Hp Elitebook 840 G5 Laptop Intel Core i5 8th Gen 8GB RAM 256GB SSD ROM - 14'' Windows 10 Refurbished Laptop Computer Notebook,"KSh 26,799",0,14.0
41,"Toshiba R63 Refurbished Ultra-Slim Laptop - Intel Core i5 5th Gen, 8GB RAM, 128GB SSD | 6-Month Warranty | Affordable Performance & Portability","KSh 15,999",0,
42,"i5+8GB+512GB+14""+Free Mouse HP Elitebook 1040 G3 6th Intel Core i5 8GB 512GB SSD 14"" FHD Display Laptop Backlit Windows 11 intel HD Graphics Bluetooth Refurbished Laptop","KSh 27,999",0,14.0
43,"Refurbished Laptop Lenovo Thinkpad T430 Intel Core i5 3th Gen 4GB+320GB+12.5"" Windows 10 Refurbished Lenovo Laptops Notebook Black 12 inch","KSh 13,299",2,12.5
44,Refurbished Dell Latitude E7440 Intel Core i5 4th Generation 8GB RAM 500 GB HDD Storage 14 Inches HD Display Refurbished Laptops Notebook Computers,"KSh 16,999",0,14.0
