cooktop_name,cooktop_reviews,cooktop_price
😇🔥ELAVATE YOUR KITCHEN EXPERIENCE 😇AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black -recommendedAILYONS 2 Burner Glass Top Gas Cooker,(0),"KSh 3,200"
"AMAZE 3 BURNERS, STAINLESS STEEL GAS COOKER",(4),"KSh 3,799"
Starlux 4 Gas Burner Table Top Cooker,(5),"KSh 3,700"
"Rashnik double electric hot plate cooker-  The two burner hot plate allows you to prepare two meals simultaneously, without soot stains.",(0),"KSh 2,599"
AILYONS Glass tampered Top Infrared Double Burner Gas stove – ZKD-1093,(4),"KSh 3,100"
"Eurochef 3+1 Table Top with Automatic Ignition.Featuring three powerful gas burners and one electric hotplate, this versatile cooker offers the flexibility you need for all your culinary adventures.",(1),"KSh 5,200"
Jikokoa Jiko Koa Energy Saving Charcoal Stove/Jiko,(6),"KSh 4,299"
"🥰🤑ELEVATE YOUR KITCHEN EXPERIENCE 🪻🌽Eurochef 3 GAS AND 1 ELECTRIC PLATE TABLE TOP GAS COOKER.🥑ONLY ON KILIMALL🤪FOUR BURNERS THREE GAS AND ONE ELECTRIC PLATE
AUTOMATIC IGNITION
PRODUCES UNIFORM F",(0),"KSh 4,966"
Generic High Quality Two Burner Table Top Coil Electric Cooker With Free Power Extension,(5),"KSh 1,980"
Edenberg EB-62226 2000 Watts Induction Cooker  7 Funtions-Preparation For Food 4 Hour Timer,(2),"KSh 3,899"
"😇SHOP AT DISCOUNTED PRICES 🥰Nunix 3 Burner Auto Ignition Table Top Cooker 6kg Regulator And Pipe.3-burner
Strong stainless steel 
Auto ignition system
New stylish design 
Temper glass surface
Easy t",(0),"KSh 2,999"
Nunix Auto Ignition Glass Top Infrared Gas Stove Double Burner-2 Burner,(6),"KSh 3,599"
"Tampered Glass Energy saving Table top Gas Cooker ,Whirlwind Technology G1 004",(16),"KSh 3,384"
AILYONS Metal Top  Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker,(0),"KSh 2,990"
"Nunix 2 Burner Glass Table Cooker Comes With  A Free Gas Pipe and A Free 6KG Regulator Stronger and better burner than GG model.
2-burner, Tampered glass top
Strong Galvanized steel",(3),"KSh 3,500"
"😇🔥ELAVATE YOUR KITCHEN EXPERIENCE 😇AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black -recommended.Tempered glass surface : Very easy to clean
30% infrared heater : Saving 30% gas",(0),"KSh 3,195"
OFFER OFFER Gas Burner With Grill For 3kg for  6kg gas  Cylinder   be happy  happy n enjoy the  best  ever,(5),"KSh 1,100"
【Special offer】2 Burner Rebune RE-4-055 Table Top Gas Cooker with 1 year warranty High Quality Auto Ignition Gas Cooker Gas Cooker Two Double Burner.,(3),"KSh 2,149"
Starlux 4 Gas Burner Table Top Cooker,(8),"KSh 3,940"
Ailyons Glass Top Infrared 2 Burner Gas Stove  Double Burner Gas Cooker Saving Gas cooker,(1),"KSh 3,099"
Nunix 3 Gas + 1 Electric Hot Plate Table Top Gas Cooker Burner Stove LTO4-02 Stainless Steel Auto Ignition 3+1  Gas Stove,(0),"KSh 5,349"
Sokany Single Plate radiant Electric Cooker Radiant Cooker Portable Electric High Quality Hot Plate,(0),"KSh 4,150"
TAMBLE TOP DOUBLE BURNER CHRISTMASS 0FFER  Nunix Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker,(12),"KSh 2,999"
IPCONE Stainless Steel Gas Cooker Double Burner Gas stove Auto Ignition,(80),"KSh 1,699"
Glass Table Top Cooker Double Burner Gas Stove,(19),"KSh 3,399"
Nunix 3 Burner Low Gas Consumption Glass Top Table Infrared Cooker BEST QUALITY HIGHLY RECOMMENDED It helps you to cook more than TWO dish at the same time in an efficient manner.,(0),"KSh 5,198"
"🔷️🎄OfFER TO OUR ESTEEMED CUSTOMERS 🔷️🤑AILYONS Tabl.2burner
Strong stainless steel 
Auto ignition system
New stylish design 
Teme Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe",(0),"KSh 2,499"
Nunix 3 Burner Glass Table Top Gas Stove Low Gas Consumption Cooker,(0),"KSh 3,888"
😇PROMOTION😇Eurochef EG-S31 3 GAS AND 1 ELECTRIC PLATE TABLE TOP GAS COOKER✨️💫,(0),"KSh 4,775"
"Amaze Cooker Premium Two Burner Glass Cooker, Table Top AM 8802",(0),"KSh 7,199"
Electric Single Spiral Hotplate Cooker. Temperature control adjustable knob: low-medium-high. Single Cooking Plate Stove Electric Ring Hot Plate Cooker,(0),KSh 945
Electric Cooker / Single Spiral Coil Hotplat,(23),"KSh 1,500"
"Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator, 2 metres Pipe, 2 tightners and a pan",(0),"KSh 3,049"
"(COOK IN STYLE)Jiko safi jiko okoa new mode large size new arrivals,IT IS EFFICIENT AND CONVENIENT IN COOKING DURABLE SAVES YOU TIME POCKET FRIENDLY",(0),"KSh 3,599"
Ramtons RG/518 2 Burner Gas Cooker- Stainless Steel Dual gas burners Stainless steel finish Efficient Whirlwind burners Pulse auto-ignition 2800 LPG,(13),"KSh 5,499"
"😇😇PROMOTION 🧚‍♀️PROMOTION 😇😇AILYONS Glass Top Infrared Burner, 6 Kgs Regulator, 1.5m Pipe and 2 Clips.Glass top surface
Saving 30% gas
Number of burners: 2
Burner for more durability
Auto ignitio",(0),"KSh 3,650"
BOKO B-002Q  Wavy Lines  Table top with Glasstop two Double Burner  Gas Cooker,(1),"KSh 2,399"
🤪[GRAB IT AT LOW PRICE+ ADDED OFFERS]🤑😝AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe.Rustle up your favorite recipes with this newly designed Sayona automatic ga,(0),"KSh 2,500"
Nunix Glass Table Top Double Burner Gas Stove + Pipe + 6kg Regulator,(0),"KSh 3,190"
"KILLMALL SPECIAL OFFER ON STAINLESS TWO BURNER TOP  COOKER WHOLASALE PRICES ONLY ksh 2700.AILYONS GS014-5, 2 Burner Glass Top Gas Cooker & Infrared Double Burner,Best Quality Highly Recommended",(1),"KSh 2,700"
🥳🥳SHOP THE SEASON OF SAVINGS 😇😇 New Nunix Infrared Table Top 2-Burner Gas Stove Cooker GL-004 + Pipe & 6kg Regulator and a gas clip.. Well cladded with attractive friut sticker,(0),"KSh 4,277"
"AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner 2 burner 
Glass top double swirl burner saving 20% gas
Auto ignition system
Durable stainless steel body
Brass fire cover against high te",(0),"KSh 3,300"
Xiaomi DCL01CM Creative Precise Control Induction Cooker,(0),"KSh 12,800"
Ailyons 2 burner glass top cooker,(0),"KSh 2,999"
✨️BEST DEALS 👌 AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe. 2burner Strong stainless steel Auto ignition system New stylish design Temper glass surface Easy to,(0),"KSh 2,500"
Nunix 2 Gas Burner Stainless Steel Cooker With 6kg regulator and pipe,(0),"KSh 2,550"
Killmall Special Offers Best Prices Only. Nunix Table Top Two Burner Glass Top Infrared Gas Stove The automatic ignition system prevents high energy consumption and ergonomic gas controls ensure safe.,(0),"KSh 3,299"
Nunix Auto Ignition Glass Top Infrared Gas Stove Double Burner-2 Burner,(12),"KSh 3,699"
AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(6),"KSh 2,479"
AILYONS 2 BURNER Stainless Steel Table Top Double Burner Gas Cooker,(0),"KSh 1,999"
"Amaze 3 burner table top cooker 3 gas burner copper colored
Stainless steel  surface
Auto Ignition Safe reliable and easy to install/maintain and clean
Body Stainless Steel",(0),"KSh 3,300"
Energy Saving Electric Induction Radiant Cooker-Double Plate,(0),"KSh 9,000"
"Premier Table top Cookers 4 gas burners Easy to Clean
Manual Ignition
Metal Lid Top
Table Top Design
4 Burner ‎
Table Top Gas Cooker",(0),"KSh 7,830"
【Promotion】AILYONS/LYONS   GS013  Stainless Steel  Gas Cookers  Double Burner Gas stove Super Infrared Heater Desktop Gas Stove Gas Cooker,(258),"KSh 2,199"
Euro chef  Table Top Double Burner Gas Cooker + Pipe & Regulator,(0),"KSh 2,860"
"RAMTONS RG/516 GAS COOKER 2BURNER BLAC  Dual gas burners, Non-stick Teflon finish, Efficient Whirlwind burners, Pulse auto-ignition, 2800 LPG,",(0),"KSh 6,999"
"Gas Burner With Grill For 3kg  FOR 6kg Cylinder. Running on a matchstick ignition system, this cooker does not require batteries",(0),"KSh 1,200"
Nunix Infrared 3 Burner Glass Table Top Gas Stove Low Gas Consumption Cooker,(6),"KSh 4,599"
Kitchen Strong Tight 3kg & 6kg Meko Gas Burner (non Leak),(23),KSh 490
Nunix 3 Burner Low Gas Consumption Glass Top Table Infrared Cooker It helps you to cook more than one dish at the same time in an efficient manner.,(0),"KSh 5,200"
Nunix Classy 2 Burner Glass Table Top + 2M Pipe + Free gas regulator,(2),"KSh 3,399"
Jiko okoa energy charcoal saving Big  size,(0),"KSh 6,999"
High quality Kitchen Jiko Koa as pictured medium Black,(0),"KSh 4,545"
Nunix infra red 2 gas burner GI-007 With glass tampered top Nunix glass tampered infrared cooktop Black color With Auto ignition,(0),"KSh 3,800"
SK-224 Sokany electric double plate induction radiant cooker with Auto ignition 2400W Sokany double radiant electric cooktop,(2),"KSh 6,200"
Nunix LT04-02 - 3 Gas Burner + 1 electric Table Top Cooker Silver 3 + 1 Nunix 3 + FREE Gas Pipe and Regulator,(0),"KSh 7,746"
Von HPTC-11CW/VACC0112CW Table Top Single Coil Cooker,(3),"KSh 6,300"
A MUST HAVENunix ELEGANT CONVINIENT 3 Burner Table Top Gas CookerCooking becomes easy when you have Nunix glass top gas stoves in your kitchen. It helps you to cook more than one dish at the same time,(0),"KSh 3,939"
High Temperature Resistant Sokany Double Auto Ignition Electrical Induction Cooker,(0),"KSh 4,290"
Rashnik Single Coil Hot Plate Electric Burner White as picture,(0),KSh 929
Nunix Table Top Single Gas Cooker With Auto Ignition,(13),"KSh 1,499"
Nunix Table Top Double Burner Gas Stove Cooker + Pipe & Regulator,(2),"KSh 2,480"
Quality kitchen Jiko Koa medium size,(0),"KSh 4,311"
AILYONS GS013-2 Stainless Steel Double Burner Gas Cooker cooktop Black with auto ignition,(0),"KSh 2,200"
Two/ Double Burner -electric Coil/ HOT Plate Cooker,(0),"KSh 2,100"
Generic Family Home Single Coiled Burner - Electric Hot Plate,(19),KSh 899
IPCONE 7102 + free 1.5 m pipe & 6kg gas regulator Double Gas Cooker Auto lgnition Double Burner Gas stove gas cooker gas cooker/stove gas cooker cooking gas cooker burner gas cooker stainless,(0),"KSh 2,499"
Eurochef double plate electric cooker Eurochef Portable Quality Electric Counter Double Cooker,(0),"KSh 2,325"
