cooktop_name,cooktop_reviews,cooktop_price
SK-07002 Sokany Double Hot plate electric cooktop stove 2500W Sokany electric stove with Non stick plates,(0),"KSh 4,350"
Hot Plate Solid Double Electric Cooker – White,(0),"KSh 2,500"
Nunix VERSERTILE 2 Burner Table Top Gas Stove+ FREE 6KG REGULATOR +PIPE,(0),"KSh 2,999"
Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(0),"KSh 3,599"
Ipcone 2 Burner - Glass Top And Gas Stove Double Burner,(0),"KSh 2,970"
😇😇RESUME YOUR COOKING 🥳 NEW New Electric Cooker Coil. Made of durable and top notch quality material. Fast in heat generation.,(0),KSh 466
Eurochef Table Top Stainless Steel 2 Burner Gas Cooker,(0),"KSh 3,499"
Nunix 2 Burner Gas Cooker With Free Accessories,(0),"KSh 2,880"
"Nunix 2 Burner Low Gas Consumption Glass Top Table Infrared Cooker Looking For Best Two Burner Cooker Then This Is The Ideal Cooker Long Lasting Yet Very Affordable, durable stainless steel body",(0),"KSh 3,842"
"Jikokoa MEDIUM XTRA STOVE  The Jikokoa saves an average of 50% on charcoal, which translates to an annual savings of over Ksh 18,000 a year. Imagine what you could do with all those savings! The Jiko",(0),"KSh 5,020"
SPECIAL OFFERS BEST PRICES ONLY ksh 2299. Nunix Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker. BEST QUALITY HIGHLY RECOMMENDED,(0),"KSh 2,299"
🔥 HOT SALE 😜 IPCONE Glass Top Double Burner Gas Stove/cooker,(0),"KSh 4,240"
AILYONS Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker,(0),"KSh 3,400"
"2 Burner Amaze Stainless Hob Cooker Available.1. 2 burner, teflon
2. whirlwind burners
3. auto ignition
4. energy saving
5. stainless steel body",(0),"KSh 6,000"
Black Friday Special Offers. AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black -Highly Recommended,(0),"KSh 3,399"
Electric Tabletop Double Hotplate Coil Cooker,(0),"KSh 2,289"
Electric Tabletop Double Hotplate Coil Cooker,(0),"KSh 2,289"
"JIKOKOA MEDIUM SIZE CHARCOAL STOVE - Saves HALF on charcoal
Reduced 65% emissions, Most durable, Clean with an ash tray",(0),"KSh 4,650"
AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner,(0),"KSh 3,799"
PRIMUS 6 KG GAS REGULATOR -  Seals the gas cylinder to the maximum in order to prevent wastefulness caused by a faulty burner,(0),KSh 470
best quality original Gas Cooker/Stove Table Top 2Burner + 6kg Regulator +pipe,(5),"KSh 2,599"
"🤗🥳✨️AILYONS 2 Burner Table Top stainless steel gas stove cookeeStainless Steel
Auto Ignition with piezo
Whirlwind burner for more durability and efficiency
Exquisite finish
Stain-resistant
Honeycomb",(0),"KSh 2,500"
"JIKOKOA EXTRA LARGE CHARCOAL STOVE - Saves HALF on charcoal
Reduced 65% emissions, Most durable, Clean with an ash tray, Smart, modern design .",(0),"KSh 5,476"
BIO-LITE JIKO SAFI -  EFFICIENT AND CONVENIENT  DURABLE SAVES YOU TIME,(0),"KSh 3,875"
Nunix Table Top Cooker 3 Gas + 1 Electric Burner Stove,(0),"KSh 5,888"
"💯👌🤑Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe.Auto ignition 
Stainless steel for easy cleaning
100% quality testing before package
Efficient burner for econo",(0),"KSh 3,220"
KILLMALL SPECIAL OFFER. Nunix 3 burner Low Gas Consuption Infrared Gas Burner Cooker Now Available Selling at A Wholasle Price Only Ksh 5290. BEST QUALITY HIGHLY RECOMMENDED FOR EVERY HOME,(0),"KSh 5,290"
Nunix Table Top Cooker 3 Gas + 1 Electric Burner Stove,(0),"KSh 5,887"
Premier 4 Burner Table Top Cooker,(0),"KSh 9,399"
Portable Single Coil Hot Plate Electric Burner,(0),"KSh 1,899"
Portable Single Coil Hot Plate Electric Burner,(0),"KSh 1,899"
MODERN DESIGN 🥰😀2 burner Amaze stainless hob cooker.The 2 burner amaze stainless hob cooker is crafted with a sleek and modern stainless steel design that effortlessly blends into any kitchen décor.,(0),"KSh 5,995"
Rashnik Double Electric Burner Hotplate Cooker (RN - 4079B),(0),"KSh 2,635"
AILYONS Glass Top Double Burner GS014-2  2 burner gas cooktop,(2),"KSh 3,000"
Modern Spiral Electric Hotplate -Cooker / Burner,(0),"KSh 1,362"
"🥸🥳offer price. Sokany 1000W Electric Cooker Single Solid Hot Plate.Various heat operations
High Quality
Non-stick Coating 
Power;1000W
Over heat Protection
One Operating On/Off Indicator Light
Anti-",(0),"KSh 2,995"
2 burner glass top cooker  This gas‎‐burner will help you cook your food perfectly every time‎‎‎.‎‎‎  It provides even distribution of heat and emits less wasted heat than electric stoves‎‎‎.‎‎‎,(0),"KSh 2,945"
Nunix 2 Burner Low Gas Consumption Glass Top Table Infrared Cooker,(0),"KSh 4,185"
Back in stock🥳🥳🥳Eurochef EG-S31 3 GAS AND 1 ELECTRIC PLATE TABLE TOP GAS COOKER,(0),"KSh 4,950"
"Veigapro Energy Efficient 2 Gas Burner,Gas Table Top Cooker",(0),"KSh 2,180"
"Eurochef 4 In 1 Table Top Gas Burner, Manual Ignition, 50x55x10cm",(0),"KSh 3,990"
"Rashnik Double Electric Burner Hotplate (RN4079B) -  Well coated to prevent any form of electric shock , Ideal for preparing and reheating meals, without soot stains.",(0),"KSh 2,805"
"Jikokoa QUALITY MODERN CHARCOAL STOVE. . the Jikokoa stove cooks twice as fast with half the charcoal. Our advanced design uses a high-efficiency combustion chamber, light-weight ceramic insulation, a",(0),"KSh 4,650"
IPCONE 3 Burner Gas Cooker Auto Ignition Glass Top Table Cooker Low Gas Consumption,(0),"KSh 3,499"
Nunix 2 Burner - Glass Top And Infrared Gas Stove Double Burner,(3),"KSh 4,999"
"VOLSMART FULL GAS TABLE TOP GAS COOKER - 4 gas table top cooker, Metallic Lid, Durable, Reliable, Aluminum.",(0),"KSh 4,340"
FLASH SALE BEST PRICES ONLY ksh 3699. Nunix Glass Table Top Double Burner Gas Stove + Pipe & Regulator.BEST QAULITY HIGHLY RECOMMENDED,(0),"KSh 3,699"
silver crest Infrared Induction Cooker/ Ceramic Cooker,(0),"KSh 4,999"
"Starlux 4 In 1 Table Top Gas Burner, Manual Ignition",(0),"KSh 3,870"
Nunix 2 Burner Gas Cooker With Free Accessories,(0),"KSh 2,890"
Gas burner +Free 1.5Mrs Gas Pipe &amp; 6Kg Regulator,(11),"KSh 2,600"
Sokany Electric Single Plate Infrared Induction Radiant Cooker,(0),"KSh 5,020"
ROCH 4 GAS TOP STAINLESS STEEL,(0),"KSh 7,399"
"Nunix (LT-04-01) 4 Burner Table Top Gas Cooker - Metallic Lid, Durable, Reliable .",(0),"KSh 5,115"
Sokany Single Burner Electric Induction Cooker+FREE CHAPATI PAN,(0),"KSh 4,900"
Ipcone glass 2 burner cookerBracket to safely mount your LED TV and get 60 degrees,(0),"KSh 3,217"
"3 plus 1 boko table top.Key Features
4 gas table top cooker-
Metallic Lid-
Durable-Auto-Ignition. -
Gas cooker.",(0),"KSh 5,945"
Nunix Glass Table Top 2 Burner Gas Cooker+ Free 13kg Reg + 2M Pipe,(0),"KSh 4,349"
"Rebune Table Top Single Burner Gas Cooker With Auto Ignition - Auto Ignition, Durable, Saves Energy, Easy to use, high quality",(0),"KSh 2,040"
Eurochef 3+1 Table Top Burner,(0),"KSh 5,499"
🥰🤪Glass top double swirl burner saving 20% gas Auto ignition system durable stainless steel body Brass fire cover against high temperature deformation Low gas consumption Stain resistant,(0),"KSh 2,999"
Modern Spiral Electric Hotplate -Cooker / Burner,(0),"KSh 1,351"
AILYONS AILYONS GS014 Counter Top Gas Cooker With Two Burners  Quality is designed into the product from its conception. An uncompromising commitment to quality and customer satisfaction is our goal.,(0),"KSh 3,000"
AILYONS Glass Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker,(0),"KSh 3,350"
Generic Modern Single Flattop Electric Hotplate Cooker/burner,(11),"KSh 1,399"
"2 burner Amaze glass inbuilt hob cooker This amazing table top / embedded double burner gas cooker is safe to use, automatic ignition, energy efficient and produces uniform flame. It's easy to clean a",(0),"KSh 7,685"
Nunix 2 Burner Low Gas Consumption Glass Top Table Infrared Cooker. BEST QUALITY  HIGHLY RECOMMENDED,(0),"KSh 3,910"
PROMOTION 🤑 Amaze 3 Gas Burner Automatic Ignition Table Top Stainless Steel Heavy Body High Quality Non- Stick 1Yr Warranty,(0),"KSh 3,622"
Nunix Auto Ignition Table Top Stainless Steel 2 Burner Gas Cooker,(0),"KSh 2,389"
Rashnik Modern Double Spiral Electric Hotplate -Cooker/burner,(0),"KSh 1,959"
AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner-Black,(0),"KSh 4,499"
Premier 4 Burner Table Top Cooker,(0),"KSh 9,399"
"Sokany Hote Plate, 1 Burner, 1000 Watt, Silver - SK-5114.Brand: Sokany
Power: 1000W
1 Burner
Light indicator
Power control
Thermostatic protection against overheating
Anti-slip feet
Elegant Design
Eas",(0),"KSh 1,799"
JIKO SAFI - EFFICIENT & ECO-FRIENDLY COOKING WITH JIKOSAFI CHARCOAL STOVE/JIKO,(0),"KSh 3,875"
"Ipcone Auto Ignition Table Glass Top And Gas Stove Double Burner Cooker - Auto ignition system, durable stainless steel body, Brass fire cover against high temperature deformation, Low gas consumption",(0),"KSh 2,868"
Ipcone Table Top Stainless Steel 2 Burner Gas Cooker,(0),"KSh 2,499"
"Starlux 4 In 1 Table Top Gas Burner, Manual Ignition",(0),"KSh 3,998"
KILLMALL BLACK FRIDAY SPECIAL OFFERS Nunix 3 Burner Low Gas Consumption Glass Top Table Infrared Cooker PROMOTION PRICES ONLY,(0),"KSh 5,424"
PRICE DROP 💧 👌Electric Single Solid Hot Plate Cooker,(0),"KSh 2,080"
"Single Plate Sokany Radiant Cooker   infrared stove also provides the ability to manually adjust the heating power. The hotplate has two heating zones (internal and external), which can be switched o",(0),"KSh 4,450"
VELTON 2 Burner GLASS TOP Gas Cooker FREE 13kg Regulator & Pipe,(0),"KSh 6,199"
1000W Electric Single HOTPLATE Burner Cooker,(0),KSh 855
Table Top Double Burner Gas Stove Cooker + FREE Pipe & Regulator,(0),"KSh 2,995"
[FREE GIFTS] Nunix 2 burner Gas cooker + Free Pipe +13KG Regular Knob + a Nonstick Pan,(0),"KSh 5,481"
EUROCHEF 3+1 TABLE TOP COOKER,(0),"KSh 5,365"
Rashnik Single Solid  Hot Plate Electric  Cooker,(0),"KSh 1,299"
"Metallic Stainless Two Burner Table Top his cooker is crafted with high-quality stainless steel, ensuring durability and a sleek, modern look that complements any kitchen decor.",(0),"KSh 2,435"
"Eurochef Energy Efficient Two Gas Burners,Gas Table Top Cooker.This Table Top Gas Burner has a blue flame control channel that regulates the flame for optimum use‎.‎ It also has a one hand auto igniti",(0),"KSh 3,005"
Nunix 2 Burner Stainless Steel Gass Cooker Ss-001,(0),"KSh 4,100"
"AILYONS 2 Gas Burner, Auto Ignition -Glass & Stainless Top Table with gas pipe and regulator,",(0),"KSh 3,399"
Classy 2 Burner Glass Table Top + 2M Pipe + Free 13kg Reg,(0),"KSh 3,600"
"Killmall Black Friday Offers.Nunix 2 Burner Infra-red Glass Tampered Table Top Burner plus 6kg Regulator,Pipes and Fixing Clips",(0),"KSh 4,499"
Nunix 4 Burner Table Top Gas Cooker Stove Electric Hot Plate (3+1),(0),"KSh 5,999"
"Eurochef Energy Efficient Two Gas Burners,Gas Table Top Cooker",(0),"KSh 2,600"
Nunix 3Gas + 1 Electric Table top Cooker  This cooker comes with auto-ignition. Safe reliable and easy to install. Stainless Steel Durable. Can be used for many years and still maintain its effectiven,(0),"KSh 6,160"
Modern Spiral Electric Hotplate -Cooker / Burner,(0),"KSh 1,371"
"🥳😇LIMITED OFFERS🎉DONT MISS OUT⭐️♦️2 burner Amaze stainless hob cooker Easy Cleaning

The surface material of this cooker makes it easy to clean. The panels are also removable so you can thoroughly",(0),"KSh 5,899"
Nunix 4 Gas Burner Table Top Cooker Bigger Size  It takes less time to cook food on a gas burner than it does on an electric stove.,(0),"KSh 6,160"
"Nunix Table Top 3 GAS Burner PLUS 1 Electric HOTPLATE 3 Gas Burners
1 electric Hotplate 
Table Top Cooker
Metallic Lid
Metallic grey in color1
1 months warranty",(0),"KSh 6,512"
"RASHNIK DOUBLE COIL HOT PLATE ELECTRIC COOKER - Heavy duty cast iron heating Coil, Power indicator Light, Adjustable temperature control, Heat up quickly .",(0),"KSh 1,925"
"🤪🤪PROMOTION 🤪PROMOTION 🥰""*Volsmart 3+1 JET Standing Cooker With Electric Oven",(0),"KSh 35,700"
Double TabletopElectric Cooker Spiral Coil Hotplate,(0),"KSh 1,769"
Electric Table Top Burner Double Hotplate Coil Cooker,(0),"KSh 1,789"
AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner,(0),"KSh 3,397"
Table Top Glass Top Two Burner Gas Cooker ENERGY SAVING Kitchen & Dining room appliances,(0),"KSh 3,999"
"🍭🤗SATISFACTION GUARANTEED 😌 Globalstar full gas standing cooker Globalstar full gas standing cooker,Electric Oven with Lamp, Auto Ignoition, Oven with thermostat, Turnspit(Chicken Rotisserie), Buil",(0),"KSh 22,995"
Rashnik Double Electric Coil Hot Plate,(0),"KSh 2,499"
"Imduction cooker double  3500wattsinfrared cooktop works by far infrared heating and has no electromagnetic radiation, and therefore, it is harmless to the human bod",(0),"KSh 10,125"
Eurochef Electric TableTop Two Burners Spiral Coil Hot Plate Cooker,(0),"KSh 2,500"
AILYONS Metal Steel Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker,(0),"KSh 2,400"
GRAB IT AT LOW PRICE+ ADDED OFFERS]🤑😝AILYONS Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe.Rustle up your favorite recipes with this newly designed Sayona automatic ga,(0),"KSh 2,727"
Sokany Double induction cooker The Table Top Gas stove or gas cooker has an auto ignition feature for lighting the burner.‎‎‎ Simply turn the burner knob to the desired flame size and the sparking is,(0),"KSh 6,725"
AILYONS Stainless Steel 2 Burner Gas Cooker - Black This gas‎‐burner will help you cook your food perfectly every time‎‎‎.‎‎‎  It provides an even distribution of heat and emits less wasted heat than,(0),"KSh 3,300"
Nunix Table Top 2-Burner Gas Stove Cooker + Pipe & 6kg Regulator,(0),"KSh 2,625"
Double TabletopElectric Cooker Spiral Coil Hotplate,(0),"KSh 1,895"
Nunix Tampered Glass Table Top 2-Burner Gas Stove / Cooker,(0),"KSh 3,599"
Sokany Single hot Plate Infrared Induction Cooker Sensor Touch Control,(0),"KSh 4,599"
Rashnik single electric hot plate cooker - The hot plate is suitable for use with all types of cookware and has an adjustable temperature control.,(0),"KSh 1,799"
2 burner Amaze stainless hob cooker,(0),"KSh 5,900"
Rashnik Single Biurner Hot Plate Electric Burner,(0),"KSh 1,663"
Double TabletopElectric Cooker Spiral Coil Hotplate,(0),"KSh 1,795"
Sokany 2000W Durable Electric Cook Top Induction Heating Plate Induction Cooker Household induction cooker,(0),"KSh 4,350"
KILLMALL BLACK FRIDAY SPECIALOFFERS. Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus A free 6kg Regulator And Pipe,(0),"KSh 2,799"
Nunix GG PRO 2- Table Cooker + Free Cable 1.5 M+regulator,(0),"KSh 4,999"
Nunix SS 001- Cooker + Free PIPE 1.5 M+ 13KGregulator,(0),"KSh 3,199"
AILYONS/LYONS GS014-4 Metal Top Infrared Double Burner Gas stove Super Infrared Heater Saving Gas cooker,(0),"KSh 2,200"
Jikokoa Grill Charcoal Stove With Free Lighter,(0),"KSh 5,500"
Generic Double Plate Energy Saving Induction Cooker 3500watts,(0),"KSh 9,775"
"AILYONS (GS014-4) 2 Burner Glass Top Infrared Table Top Gas Cooker - Auto Ignition with piezo,Whirlwind burner for more durability and efficiency,Exquisite finish,Stain-resistant,Uniform flame.",(0),"KSh 3,052"
Ipcone 2 burner stainless cooker - Simplifies cooking tasks with reliable performance,(0),"KSh 2,700"
BIO-LITE JIKO SAFI -  EFFICIENT AND CONVENIENT IN COOKING,(0),"KSh 3,875"
Nunix Table Top Cooker 3 Gas + 1 Electric Burner Stove,(0),"KSh 6,020"
Ramtons 2 Burner Gas Cooker - Stainless Steel Tabletop Design - Efficient & Portable Cooking Solution,(0),"KSh 6,499"
"Everyone wants to save money! With jikokoa, you save money every time you cook! Our jikos are healthy for your family and good for the environment- feel good AND be smart",(0),"KSh 5,476"
"💫HAVE A SIMPLER LIFE👌EUROCHEF 3+1 TABLE TOP COOKERFOUR BURNERS THREE GAS AND ONE ELECTRIC PLATE

AUTOMATIC IGNITION

PRODUCES UNIFORM FLAME

STRONG RACKS

EASY TO CLEAN

RUST PROOF",(0),"KSh 5,197"
Amaze Table top single Burner Gas Cooker with auto Ignition  The stove has an auto-ignition feature for lighting the burner‎‎‎.‎‎‎Simply turn the burner knob to the desired flame size and the spark,(0),"KSh 1,899"
BLACK FRIDAY SPECIAL OFFERS WHOLASALE PRICES ONLY ksh 2199. Rashnik Two Burner Non-stick Cook Top BEST QUALITY HIGHLY  RECOMMENDED,(0),"KSh 2,199"
Rashnik Electric Cooker / Single  Solid Hotplate,(0),"KSh 1,500"
VELTON Table Top 2 / Double Burner Gas Stove Cooker + Pipe & Regulator Cooktops,(6),"KSh 2,599"
Electric Cooker / Single Spiral Coil Hotplate,(0),KSh 989
AILYONS Wo Burner Gas Cooker Stainless Steel + 13kg Regulator & Pipe,(15),"KSh 2,899"
Nunix Glass Table Top Double Burner Gas Stove GC-004 Plus Free Gas Regulator,(0),"KSh 2,460"
Rashnik Heavy Duty Cast Iron Heating Electric Double Spiral Burner,(0),"KSh 3,000"
Single Plate Induction Electric Cooker,(0),"KSh 4,449"
Orgaz Meko Gas Burners,(0),KSh 488
Ipcone Table top tampered glass kitchen two Burner Gas cooker,(0),"KSh 3,859"
Nunix Auto Ignition Glass Top Infrared Gas Stove Double Burner-2 Burner,(0),"KSh 5,999"
"Zaryt Glass Top Burner 2-burner, Tampered glass top
Strong Galvanized steel
Auto ignition system
Whirlwind Technology 
New stylish design
Gas Pipe",(0),"KSh 3,318"
Nunix LT04-01 4Gas burner auto ignition 50*55 gas stove,(0),"KSh 6,999"
"Nunix (GL-007) 2 Burner Low Gas Consumption Glass Top Table Infrared Cooker - Glass top double swirl burner saving gas,Auto ignition system,durable stainless steel body,Brass fire cover .",(0),"KSh 4,185"
Eurochef Deluxe Gas Stove 3 Gas Burner and 1 Electric Hot Plate,(0),"KSh 12,500"
Glass Table Top Double Burner Gas Stove + Pipe & Regulator,(0),"KSh 3,665"
"**PRICE  DROPPED ***Zaryt 2 Glass Top Burner Automatic Ignition Table Top Glass.2-burner, Tampered glass top
Strong Galvanized steel
Auto ignition system
Whirlwind Technology 
New stylish design
Gas P",(0),"KSh 2,999"
Nunix 3 Gas+1 Electric Table Top Cooker Burner Stove Portable,(0),"KSh 5,799"
"Nunix (GL-007) 2 Burner Low Gas Consumption Glass Top Table Infrared Cooker - Auto ignition system, Durable stainless steel body,Brass fire cover against high temperature deformation, Stain resistant",(0),"KSh 4,050"
Nunix SC-002 Table Top Double Burner Gas Stove Cooker,(0),"KSh 3,999"
Amaze Table top single Burner Gas Cooker with auto Ignition The stove has an auto-ignition feature for lighting the burner‎‎‎.‎‎‎Simply turn the burner knob to the desired flame size and the sparking,(0),"KSh 1,700"
Amaze tabletop single gas burner cooker,(0),"KSh 2,179"
Nunix INFRARED GAS BURNER GP-007,(0),"KSh 7,999"
Electric Cooker / Single Spiral Coil Hotplate,(0),"KSh 1,500"
Nunix Table Top Gas Cooker Stainless Steel,(0),"KSh 2,799"
1pc Jikokoa extra largeQUALITY MODERN CHARCOAL STOVE,(0),"KSh 5,365"
German Technology  Gas stove with stand shelf....4 Burner gas cooker floor stand,(0),"KSh 9,894"
Ipcone Auto Ignition Table Glass Top And Gas Stove Double Burner Cooker,(0),"KSh 3,499"
Eurochef EC-G002B METAL GAS STOVE DOUBLE (2) BURNERS GAS TABLE COOKER,(0),"KSh 3,499"
Nunix 4 Gas Table Top COOKER BURNER Stove Portable,(0),"KSh 5,299"
Ipcone Table top tampered glass kitchen two Burner Gas cooker,(0),"KSh 3,859"
Electric Tabletop Double Hotplate Coil Cooker,(0),"KSh 1,895"
Nunix 4 Gas Burner Table Top Cooker,(0),"KSh 7,990"
"Starlux 4 In 1 Table Top Gas Burner, Manual Ignition",(0),"KSh 3,979"
"[PRICE DROPPED]Ipcone Energy Efficient 2 Gas Burner,Gas Table Top Cooker.KEY FEATURES
Auto Ignition
Durable
Saves Energy
Easy to use
Table Top Gas stove, double Burner",(0),"KSh 1,999"
♦️SEASON IF AMAZING AILYONS 😎🙌Gas Efficient 2 Burner - Glass Top Gas Stove Double Burner With Gas Pipe And Regulator,(0),"KSh 3,399"
VELTON Table Top Cooker Two Burner,(0),"KSh 2,999"
"RASHNIK (RN-4078) DOUBLE COIL HOT PLATE ELECTRIC COOKER - Portable double spiral hot plate, Powerful for faster heating, Spiral burner spreads heat, Adjustable temperature control .",(0),"KSh 1,925"
Nunix Table Cooker + Free Cable 1.5 M+regulator,(0),"KSh 4,389"
Nunix 2-Burner Table Glass Top Gas Cooker,(0),"KSh 3,190"
Starlux(All Gas) Table Top Burner…The stove has an auto ignition feature for lighting the burner‎‎‎.‎‎‎Simply turn the burner knob to the desired flame size and the sparking is turned off automaticall,(0),"KSh 3,999"
✨️🎉Zaryt 2 Glass Top Burner Automatic Ignition Table Top Glass FREE Gas Delivery Pipe + Gas Regulator + 2Pc Gas Safety Clips - 1yr Warranty,(0),"KSh 3,417"
Nunix 4 Gas Burner Table Top Cooker,(0),"KSh 4,280"
Single Plate Sokany Radiant Cooker,(0),"KSh 4,989"
"Amaze Stainless Steel 3 Burner Table Top Gas Stove -  Has an auto ignition feature for lighting the burner, Cooked Perfectly Everytime,Stainless steel  surface.",(0),"KSh 3,300"
AILYONS Counter Top Gas Cooker With Two Burners  The burner is compatible with the regular cylinder gas pipes and you can use both burners on high for more than enough times to prepare a weekend's wor,(0),"KSh 3,200"
New model large jikokoa safi High temp and light weight. Designed to withstand 1300C and keep your Jikokoa cool to the touch.High durability. Balances fuel and air mixture.Allows you to control the te,(0),"KSh 3,978"
Eurochef 3GAS AND 1ELECTRIC PLATE TABLE TOP GAS COOKER.EURO CHEF STAINLESS STEAL TABLE TOP GAS COOKER IS AN AFFORDABLE HOME APPLIANCE THAT PROVIDES YOU WITH ADEQUATE COOKING SURFACE PROVIDED BY THE FO,(0),"KSh 5,000"
Rashnik 2 double electric hot plate cooker,(0),"KSh 3,049"
🎄🧚‍♀️CHRISTMAS SALE 🎄🧚‍♀️Rashnik single electric hot plate cooker.RASHNIK RN-4077B 1000W Single Cooking Plate Stove Electric Hot Plate cooker,(0),"KSh 1,900"
Eurochef full gas with electric oven +timer standing cooker,(0),"KSh 27,049"
"Jx Hot Plate, 2000W Portable Electric Double Coil Burner with Dual Control & 5 Level Temperature Control, Easy to Clean, Lightweight Stainless Steel Countertop Stove for Kitchen Dorm Camping",(0),"KSh 1,700"
Nunix 3 Burner Table Top Infrared Glass Table Top Gas Cooker,(0),"KSh 5,199"
Nunix INFRARED GAS BURNER GP-007,(0),"KSh 7,999"
Ramtons RG/544 - Stainless Steel Table Top 2 Burner Gas Cooker,(0),"KSh 5,600"
AILYONS GS017 Gas Cooker Double Burner Stainless Steel Table Top (1YR WRTY),(0),"KSh 3,550"
"Nunix (SS-002) Auto Ignition Table Top 2 Burner Gas Cooker - Auto ignition
Stainless steel for easy cleaning, 100% quality testing before package, Efficient burner for economic gas consumption .",(0),"KSh 2,805"
"Nunix (SS-002) Auto Ignition Table Top 2 Burner Gas Cooker - Nunix Auto Ignition Table Top 2 Burner Gas Cooker auto ignites, no need for matchbox, Easy to use, Easy to clean, Portable .",(0),"KSh 2,635"
Single Plate Halogen Induction Electric Cooker Smart cooker prepares food faster with the help of its energy-efficient property. It  Eco friendly  due to energy saving characteristic. You have contro,(0),"KSh 4,450"
Primus Meko Gas Burner -6kg .,(0),KSh 900
Nunix 4 gas table top cooker Metallic Lid Durable Reliable Aluminum,(0),"KSh 8,299"
Ipcone glass 2 burner table top cooker - Glass top double swirl burner saving 20% gas,(0),"KSh 3,300"
Electric Tabletop Double Hotplate Coil Cooker  Heavy duty cast iron heating platePower indicator LightAdjustable temperature controlHeat up quicklyGreat for dorms or officesHeavy,(0),"KSh 1,750"
😇🎯💎INSPIRE QUALITY 2 burner stainless steel rebune burner  with 1 yr warratty,(0),"KSh 2,595"
Sokany HOT SINGLE BURNER INFRARED CERAMIC ELECTRIC STOVE,(0),"KSh 6,554"
"Nunix (GC-002) 2 Burner Glass Table Top Gas Cooker - 2-burner, Tampered glass top, Strong Galvanized steel, Auto ignition system, Whirlwind Technology, New stylish design .",(0),"KSh 3,634"
"Nunix (GC-004) 2 Burner Glass Table Top Cooker - Strong Galvanized steel, Auto ignition system, Whirlwind Technology, New stylish design .",(0),"KSh 3,450"
3 BURNER EUROCHEF TABLE TOP COOKER,(0),"KSh 2,635"
[FREE GIFTS] Nunix 2 burner Gas cooker + Free Pipe +13KG Regular Knob + a Nonstick Pan,(0),"KSh 4,675"
Nunix Table Top 4 burner Gas Cooker Stove cooker Auto Ignition Nunix 4 gas burner full gas table top cooktop,(6),"KSh 4,500"
"✨️Rashnik 2 double electric hot plate cookerPortable spiral hot plate.
Powerful for faster heating.
Spiral burner spreads heat.
Adjustable temperature control.
Power ready on the light.
Easy to clean.",(0),"KSh 2,577"
Amaze 3 Gas Burner Automatic Ignition Table Top Stainless Steel Heavy Body High Quality Non- Stick 1Yr Warranty,(0),"KSh 3,680"
Single Plate Induction Electric Cooker,(0),"KSh 4,643"
"Ramtons RG/537 2 BURNER SUPER SLIM CERAMIC TOP,Dual gas burners, Stylish ceramic finish, Efficient Whirlwind burners, 6mm toughened glass top, Pulse auto-ignition,",(1),"KSh 8,399"
Rashnik double coil hot plate electric cooker,(0),"KSh 1,870"
Nunix Two Burners Table Top Gas Cooker Stainless Steel,(8),"KSh 3,500"
"AMAZE 2 BURNER STAINLESS HOB COOKER - Enjoy uniform flame,strong grills and efficient use of gas with this product, can be embedded or used as table top ,Automatic ignition, Strong  body,Firm trivets.",(0),"KSh 5,600"
Eurochef Free Standing 4 Burner  Gas Cooker With gas Oven,(0),"KSh 23,299"
"♦️Rebune stainless steel single burner,ideal and perfect for both home and commercial purposes durable easy to clean use and maintain",(0),"KSh 1,997"
"Ipcone glass 2 burner cooker - This stove is equipped with 2 burners, with independently adjustable flames that let you boil water on high while you simmer chili on low.",(0),"KSh 3,199"
EUROCHEF 3 BURNER TABLE TOP GAS COOKER,(0),"KSh 2,805"
"Eurochef Table Top Gas Cooker,2 BURNER WITH A STRONG GLASS",(0),"KSh 3,599"
2 burner Amaze glass inbuilt hob cooker,(0),"KSh 8,179"
AILYONS 2 Burner - Glass Top And Gas Stove Double Burner,(0),"KSh 2,870"
[FREE GIFTS] Nunix 2 burner Gas cooker + Free Pipe +13KG Regular Knob + a Nonstick Pan,(0),"KSh 4,792"
"4 Gas Burner with Aluminium Base
Double(UP 1000W and DOWN 1500W) heating tube in oven
Rotisserie fork
Tempered Glass top lid
Double Glass Oven Door
60L large oven capacity",(0),"KSh 27,659"
"2 large burner
Auto ignition-no battery need for easy usage.
Light dark gray powder color diamond cut design
8 mm toughened glass for durability
Heavy burners for better performance
Extremely durable",(0),"KSh 3,659"
AILYONS 2 Burner Glass Top Gas Cooker & Infrared Double Burner,(0),"KSh 3,450"
Ramtons rg/544 double burner gas Cooker,(0),"KSh 6,249"
Generic Burner With Grill Gas-Stove - Grey,(0),KSh 687
