product_name,product_reviews,product_price
Vitron 24 inch Digital TV HD LED TV AC/DC DVB-T2 V2446D,(81),"KSh 8,810"
"Vitron HTC3200S,BLUETOOTH TV FRAMELESS 32 Inch Television Smart TV Android 11.0 TV Inbuilt Decoder 3*HDMI Ports,2*USB ports,1GB RAM 8GB ROM,Netflix,Youtube, Appstore Inbuilt Decoder 14 Months Warranty",(153),"KSh 12,295"
"VITRON HTC 4388FS 43"" INCH FRAMELESS,BLUETOOTH-ENABLED FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APPSTORE+ 6 FREE GIFTS",(4),"KSh 21,870"
"VITRON 32"" Inch HD FRAMELESS LED TV DIGITAL Television Inbuilt Decoder for Local Channels, Wide Color Enhancer 3*HDMI 2*USB Ports HTC3218 + 6 FREE GIFTS",(192),"KSh 12,995"
"VITRON 32"" INCH HTC3200S,BLUETOOTH TV,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14 MONTHS WARRANTY+3 FREE TOP GIFTS",(32),"KSh 12,999"
"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 6 EXTRA ACCESSORIES",(43),"KSh 13,875"
"BLUETOOTH-ENABLED VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+6 FREE GIFTS",(9),"KSh 21,799"
"Vitron HTC4068S,40 Inch Bluetooth EnabledFrameless Smart Android TV Inbuilt WIFI Netflix,Youtube Inbuilt Decoder Appstore 2*USB 3*HDMI 14 Months Warranty + 8 FREE GIFTS",(217),"KSh 19,999"
"BLUETOOTH VITRON 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 4 GIFTS",(29),"KSh 20,989"
"Skyworth 32E57, 32-inches Full HD Frameless Smart Google TV, Black (1YR WRTY)",(4),"KSh 15,999"
VITRON HTC3218 32 INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER for FREE to Air Channels 14 Months Warranty+ A FREE AERIAL+FREE 4-WAY EXTENSION +FREE FLASH DISK,(92),"KSh 11,999"
CTC 19 inches led digital television inbuilt decorder,(2),"KSh 5,499"
"Vitron HTC3200S,FRAMELESS BLUETOOTH TV 32 Inch Smart Android TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, Google Playstore 14 Months Warranty+ FREE TV Guard+Bracket+Extension",(61),"KSh 12,995"
"VITRON 43"" INCH BLUETOOTH TV HTC4388FS FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE TV GUARD +WALL BRACKET",(38),"KSh 20,999"
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ 6 FREE GIFTS",(6),"KSh 13,390"
EOCO 43 inch Frameless Bluetooth Smart TV(43EO4202S)Netflix Youtube Android AC Energy Saving Televison 1G+8G,(0),"KSh 17,999"
CTC 23 INCH LED DIGITAL TV With Inbuilt Decorder,(2),"KSh 6,750"
"TCL 43"" Inch-S5400-BLUETOOTH TV,FUL HD-Smart & Digital ANDROID/GOOGLE TELEVISION,DOLBY AUDIO,FRAMELESS-NETFLIX-YOUTUBE+6 FREE GIFTS",(0),"KSh 30,999"
"AMTEC 24V22 24"" inch 12V HD Digital TV LED TV AC/DC VGA Port Television Slim Design Inbuilt Decoder HD Clear Images USB HDMI ports Wide Color Enhancer",(3),"KSh 7,695"
"Vitron HTC5568S,55"" inch FRAMELESS- 4K ULTRA HD Smart& Digital - Android 11 TV, Netflix, Youtube Bluetooth+360 BRACKET+TV GUARD+14 MONTHS WARRANTY",(2),"KSh 43,999"
"Vitron HTC4388FS,43"" Inch,BLUETOOTH-ENABLED,FRAMELESS,Smart Android 11.0 TV WIFI Netflix,Youtube,Playstore Television+FREE 7 GIFTS+14 MONTHS WARRANTY",(102),"KSh 22,889"
"VITRON HTC3200S - 32"" Inch ,BLUETOOTH-ENABLED,FRAMELESS Smart Android 11.0 TV Inbuilt WIFI HDMIS,USB,Netflix,Youtube,Playstore Television",(93),"KSh 13,889"
Artel 40 inch Frameless Bluetooth Smart TV(AT40EL01)Netflix Youtube Android AC Energy Saving Televison 1G+8G,(1),"KSh 16,599"
"CTC 42 Inch Android Smart TV HD Television with 24 Months Warranty(CTC42F1S) Multi-screen, HDMI, Android 11.0, USB 2.0, Eco friendly, Narrow Bezel, DVB-T2, YouTube, Netflix, Prime Video",(1),"KSh 17,899"
"Hisense 43'' Inch A6 series,BLUETOOTH TV, Smart ULTRA HD 4K HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO+6 FREE GIFTS",(9),"KSh 34,999"
EOCO E-2600 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,(0),"KSh 7,899"
"Solarmax 22 inches Digital TV AC / DC Solar TV Full HD , VGA , HDMI , USB , Free to Air",(0),"KSh 5,999"
EOCO E-2600 Smart Bluetooth AC/DC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G+8G with 12 Months Warranty,(1),"KSh 8,899"
"CTC 32"" Inches Frameless Bluetooth Enabled Smart Android  TV, Netflix, Inbuilt Decoder Youtube Television Connect Inbuilt WIFI,APP STORE  Smart Digital TV+ 6 EXTRA ACCESSORIES",(18),"KSh 12,895"
Vitron 55 Inches 4K UHD Smart Android TV with Bluetooth DVB-T2 Smart Tellevison OS Android 11 1.5G+8G HTC5568US,(42),"KSh 41,960"
