product_name,product_reviews,product_price,clean_product_name,description,brand,size
"Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3*HDMI Ports,2*USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi + 6 EXTRA ACCESSORIES",(406),"KSh 13,795","Vitron HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION 32 Inch Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3HDMI Ports,2USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi  6 EXTRA ACCESSORIES","HTC3200S,BLUETOOTH Enabled TV, FRAMELESS TELEVISION  Smart Android 11.0 TV Inbuilt Decoder ELECTRONICS 3HDMI Ports,2USB Ports,Netflix,Youtube, APPSTORE,Wi-Fi  6 EXTRA ACCESSORIES",Vitron,32
"Vitron HTC 4388FS 43"" INCH FRAMELESS-BLUETOOTH-ENABLED  FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI+7 FREE GIFTS+14 MONTHS WARRANTY",(338),"KSh 22,790","Vitron HTC 4388FS 43 INCH FRAMELESS-BLUETOOTH-ENABLED  FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI7 FREE GIFTS14 MONTHS WARRANTY","HTC 4388FS  FRAMELESS-BLUETOOTH-ENABLED  FULL HD,1080P,SMART TV ANDROID 11 TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI7 FREE GIFTS14 MONTHS WARRANTY",Vitron,43
"CTC 32F1S 32 Inch Frameless Android Smart TV HD Television with 1 Year Warranty,WIFI Connect, USB 2.0,Android 1+8GB,Inbuilt decoder",(49),"KSh 11,499","CTC 32F1S 32 Inch Frameless Android Smart TV HD Television with 1 Year Warranty,WIFI Connect, USB 2.0,Android 18GB,Inbuilt decoder","32F1S  Frameless Android Smart TV HD Television with 1 Year Warranty,WIFI Connect, USB 2.0,Android 18GB,Inbuilt decoder",CTC,32
"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM +14 MONTHS WARRANTY+FREE TV GUARD+WALL BRACKET+OTG+RCA CABLE",(37),"KSh 20,899","VITRON HTC4388FS 43 INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 14 MONTHS WARRANTYFREE TV GUARDWALL BRACKETOTGRCA CABLE","HTC4388FS  BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 14 MONTHS WARRANTYFREE TV GUARDWALL BRACKETOTGRCA CABLE",VITRON,43
CTC Digital Inbuilt Decorder -With USB & HDMI OUTPUT-23'' Inches+FREE AERIAL+TV CABLE,(6),"KSh 6,890",CTC Digital Inbuilt Decorder -With USB  HDMI OUTPUT-23 InchesFREE AERIALTV CABLE,Digital Inbuilt Decorder -With USB  HDMI OUTPUT-esFREE AERIALTV CABLE,CTC,23
"VITRON 32"" INCH BLUETOOTH TV  HTC3200S,FRAMELESS 32 Inch Smart Android 11.0 TV Inbuilt Decoder HDMI USB Ports,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY+ 4 EXTRA GIFTS",(283),"KSh 13,295","VITRON 32 INCH BLUETOOTH TV  HTC3200S,FRAMELESS 32 Inch Smart Android 11.0 TV Inbuilt Decoder HDMI USB Ports,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY 4 EXTRA GIFTS","BLUETOOTH TV  HTC3200S,FRAMELESS  Smart Android 11.0 TV Inbuilt Decoder HDMI USB Ports,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY 4 EXTRA GIFTS",VITRON,32
"CTC 23'' Digital LED TV ,USB,HDMI PORT,23"" INCHES,DECODER,AC/DC+FREE AERIAL+TV CABLE",(9),"KSh 6,999","CTC 23 Digital LED TV ,USB,HDMI PORT,23 INCHES,DECODER,ACDCFREE AERIALTV CABLE","23 Digital LED TV ,USB,HDMI PORT,ES,DECODER,ACDCFREE AERIALTV CABLE",CTC,23
"GLD 32"" Inch,FRAMELESS SMART BLUETOOTH ENABLED-Android TV,NETFLIX+YOUTUBE-WIFI TELEVISION+FREE 8 GIFTS",(141),"KSh 13,899","GLD 32 Inch,FRAMELESS SMART BLUETOOTH ENABLED-Android TV,NETFLIXYOUTUBE-WIFI TELEVISIONFREE 8 GIFTS",",FRAMELESS SMART BLUETOOTH ENABLED-Android TV,NETFLIXYOUTUBE-WIFI TELEVISIONFREE 8 GIFTS",GLD,32
"Vision Plus 32 inch tv Smart TV frameless 32"" Frameless TVs Android , HD TV, DVB-T2 | S2, Televisions + FREE WALL BRACKET  VP8832SF 2 years  warranty quality audio televisions",(166),"KSh 13,299","Vision Plus 32 inch tv Smart TV frameless 32 Frameless TVs Android , HD TV, DVB-T2  S2, Televisions  FREE WALL BRACKET  VP8832SF 2 years  warranty quality audio televisions","Plus  tv Smart TV frameless 32 Frameless TVs Android , HD TV, DVB-T2  S2, Teles  FREE WALL BRACKET  VP8832SF 2 years  warranty quality audio teles",Vision,32
AILYONS TV LET3208W 32 Inch Frameless ATV +DVB T2 Digital LED TV HD Television Digital TVS,(253),"KSh 10,599",AILYONS TV LET3208W 32 Inch Frameless ATV DVB T2 Digital LED TV HD Television Digital TVS,TV LET3208W  Frameless ATV DVB T2 Digital LED TV HD Television Digital TVS,AILYONS,32
EOCO 32 inch Frameless Bluetooth Smart TV(EO32S) Netflix Youtube Android AC Energy Saving Televison 1G+8G,(4),"KSh 11,099",EOCO 32 inch Frameless Bluetooth Smart TVEO32S Netflix Youtube Android AC Energy Saving Televison 1G8G,Frameless Bluetooth Smart TVEO32S Netflix Youtube Android AC Energy Saving Televison 1G8G,EOCO,32
Vitron 24 inch Digital TV HD LED TV AC/DC DVB-T2 V2446D,(81),"KSh 8,810",Vitron 24 inch Digital TV HD LED TV ACDC DVB-T2 V2446D,Digital TV HD LED TV ACDC DVB-T2 V2446D,Vitron,24
"Vitron HTC3200S,BLUETOOTH TV FRAMELESS 32 Inch Television Smart TV Android 11.0 TV Inbuilt Decoder 3*HDMI Ports,2*USB ports,1GB RAM 8GB ROM,Netflix,Youtube, Appstore Inbuilt Decoder 14 Months Warranty",(153),"KSh 12,295","Vitron HTC3200S,BLUETOOTH TV FRAMELESS 32 Inch Television Smart TV Android 11.0 TV Inbuilt Decoder 3HDMI Ports,2USB ports,1GB RAM 8GB ROM,Netflix,Youtube, Appstore Inbuilt Decoder 14 Months Warranty","HTC3200S,BLUETOOTH TV FRAMELESS  Television Smart TV Android 11.0 TV Inbuilt Decoder 3HDMI Ports,2USB ports,1GB RAM 8GB ROM,Netflix,Youtube, Appstore Inbuilt Decoder 14 Months Warranty",Vitron,32
"VITRON HTC 4388FS 43"" INCH FRAMELESS,BLUETOOTH-ENABLED FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APPSTORE+ 6 FREE GIFTS",(4),"KSh 21,870","VITRON HTC 4388FS 43 INCH FRAMELESS,BLUETOOTH-ENABLED FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APPSTORE 6 FREE GIFTS","HTC 4388FS  FRAMELESS,BLUETOOTH-ENABLED FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APPSTORE 6 FREE GIFTS",VITRON,43
"VITRON 32"" Inch HD FRAMELESS LED TV DIGITAL Television Inbuilt Decoder for Local Channels, Wide Color Enhancer 3*HDMI 2*USB Ports HTC3218 + 6 FREE GIFTS",(192),"KSh 12,995","VITRON 32 Inch HD FRAMELESS LED TV DIGITAL Television Inbuilt Decoder for Local Channels, Wide Color Enhancer 3HDMI 2USB Ports HTC3218  6 FREE GIFTS","HD FRAMELESS LED TV DIGITAL Television Inbuilt Decoder for Local Channels, Wide Color Enhancer 3HDMI 2USB Ports HTC3218  6 FREE GIFTS",VITRON,32
"VITRON 32"" INCH HTC3200S,BLUETOOTH TV,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14 MONTHS WARRANTY+3 FREE TOP GIFTS",(32),"KSh 12,999","VITRON 32 INCH HTC3200S,BLUETOOTH TV,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2USB 3HDMI 14 MONTHS WARRANTY3 FREE TOP GIFTS","HTC3200S,BLUETOOTH TV,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2USB 3HDMI 14 MONTHS WARRANTY3 FREE TOP GIFTS",VITRON,32
"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 6 EXTRA ACCESSORIES",(43),"KSh 13,875","GLD 32 Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTSWIFI ACCESS  6 EXTRA ACCESSORIES","Frameless Smart Android TV  Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTSWIFI ACCESS  6 EXTRA ACCESSORIES",GLD,32
"BLUETOOTH-ENABLED VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+6 FREE GIFTS",(9),"KSh 21,799","BLUETOOTH-ENABLED VITRON 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI6 FREE GIFTS","VITRON  FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI6 FREE GIFTS",BLUETOOTH-ENABLED,43
"Vitron HTC4068S,40 Inch Bluetooth EnabledFrameless Smart Android TV Inbuilt WIFI Netflix,Youtube Inbuilt Decoder Appstore 2*USB 3*HDMI 14 Months Warranty + 8 FREE GIFTS",(217),"KSh 19,999","Vitron HTC4068S,40 Inch Bluetooth EnabledFrameless Smart Android TV Inbuilt WIFI Netflix,Youtube Inbuilt Decoder Appstore 2USB 3HDMI 14 Months Warranty  8 FREE GIFTS","HTC4068S, Bluetooth EnabledFrameless Smart Android TV Inbuilt WIFI Netflix,Youtube Inbuilt Decoder Appstore 2USB 3HDMI 14 Months Warranty  8 FREE GIFTS",Vitron,40
"BLUETOOTH VITRON 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 4 GIFTS",(29),"KSh 20,989","BLUETOOTH VITRON 43 INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE 4 GIFTS","VITRON  FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE 4 GIFTS",BLUETOOTH,43
"Skyworth 32E57, 32-inches Full HD Frameless Smart Google TV, Black (1YR WRTY)",(4),"KSh 15,999","Skyworth 32E57, 32-inches Full HD Frameless Smart Google TV, Black 1YR WRTY","32E57, 32-inches Full HD Frameless Smart Google TV, Black 1YR WRTY",Skyworth,
VITRON HTC3218 32 INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER for FREE to Air Channels 14 Months Warranty+ A FREE AERIAL+FREE 4-WAY EXTENSION +FREE FLASH DISK,(92),"KSh 11,999",VITRON HTC3218 32 INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER for FREE to Air Channels 14 Months Warranty A FREE AERIALFREE 4-WAY EXTENSION FREE FLASH DISK,HTC3218  FRAMELESS HD DIGITAL TV WITH INBUILT DECODER for FREE to Air Channels 14 Months Warranty A FREE AERIALFREE 4-WAY EXTENSION FREE FLASH DISK,VITRON,32
CTC 19 inches led digital television inbuilt decorder,(2),"KSh 5,499",CTC 19 inches led digital television inbuilt decorder,es led digital television inbuilt decorder,CTC,19
"Vitron HTC3200S,FRAMELESS BLUETOOTH TV 32 Inch Smart Android TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, Google Playstore 14 Months Warranty+ FREE TV Guard+Bracket+Extension",(61),"KSh 12,995","Vitron HTC3200S,FRAMELESS BLUETOOTH TV 32 Inch Smart Android TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, Google Playstore 14 Months Warranty FREE TV GuardBracketExtension","HTC3200S,FRAMELESS BLUETOOTH TV  Smart Android TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, Google Playstore 14 Months Warranty FREE TV GuardBracketExtension",Vitron,32
"VITRON 43"" INCH BLUETOOTH TV HTC4388FS FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE TV GUARD +WALL BRACKET",(38),"KSh 20,999","VITRON 43 INCH BLUETOOTH TV HTC4388FS FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROMFREE TV GUARD WALL BRACKET","BLUETOOTH TV HTC4388FS FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROMFREE TV GUARD WALL BRACKET",VITRON,43
"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ 6 FREE GIFTS",(6),"KSh 13,390","VITRON BLUETOOTH-ENABLED 32 INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14MONTHS WARRANTY 6 FREE GIFTS","BLUETOOTH-ENABLED  HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2USB 3HDMI 14MONTHS WARRANTY 6 FREE GIFTS",VITRON,32
EOCO 43 inch Frameless Bluetooth Smart TV(43EO4202S)Netflix Youtube Android AC Energy Saving Televison 1G+8G,(0),"KSh 17,999",EOCO 43 inch Frameless Bluetooth Smart TV43EO4202SNetflix Youtube Android AC Energy Saving Televison 1G8G,Frameless Bluetooth Smart TV43EO4202SNetflix Youtube Android AC Energy Saving Televison 1G8G,EOCO,43
CTC 23 INCH LED DIGITAL TV With Inbuilt Decorder,(2),"KSh 6,750",CTC 23 INCH LED DIGITAL TV With Inbuilt Decorder,LED DIGITAL TV With Inbuilt Decorder,CTC,23
"TCL 43"" Inch-S5400-BLUETOOTH TV,FUL HD-Smart & Digital ANDROID/GOOGLE TELEVISION,DOLBY AUDIO,FRAMELESS-NETFLIX-YOUTUBE+6 FREE GIFTS",(0),"KSh 30,999","TCL 43 Inch-S5400-BLUETOOTH TV,FUL HD-Smart  Digital ANDROIDGOOGLE TELEVISION,DOLBY AUDIO,FRAMELESS-NETFLIX-YOUTUBE6 FREE GIFTS","-S5400-BLUETOOTH TV,FUL HD-Smart  Digital ANDROIDGOOGLE TELEVISION,DOLBY AUDIO,FRAMELESS-NETFLIX-YOUTUBE6 FREE GIFTS",TCL,43
"AMTEC 24V22 24"" inch 12V HD Digital TV LED TV AC/DC VGA Port Television Slim Design Inbuilt Decoder HD Clear Images USB HDMI ports Wide Color Enhancer",(3),"KSh 7,695",AMTEC 24V22 24 inch 12V HD Digital TV LED TV ACDC VGA Port Television Slim Design Inbuilt Decoder HD Clear Images USB HDMI ports Wide Color Enhancer,24V22  12V HD Digital TV LED TV ACDC VGA Port Television Slim Design Inbuilt Decoder HD Clear Images USB HDMI ports Wide Color Enhancer,AMTEC,24
