product_id,name,rating,reviews,current_price,previous_price
SKU ID: 10000665326,"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM +14 MONTHS WARRANTY+FREE TV GUARD+WALL BRACKET+OTG+RCA CABLE",5.0,0 Customer reviews,"KSh 20,899","KSh40,000"
SKU ID: 15552583,"VITRON 32"" INCH BLUETOOTH TV  HTC3200S,FRAMELESS 32 Inch Smart Android 11.0 TV Inbuilt Decoder HDMI USB Ports,Netflix,Youtube, APPSTORE 14 MONTHS WARRANTY+ 4 EXTRA GIFTS",5.0,0 Customer reviews,"KSh 13,295","KSh18,000"
SKU ID: 10000967767,"CTC 23'' Digital LED TV ,USB,HDMI PORT,23"" INCHES,DECODER,AC/DC+FREE AERIAL+TV CABLE",5.0,0 Customer reviews,"KSh 6,999","KSh12,000"
SKU ID: 10000967773,CTC Digital Inbuilt Decorder -With USB & HDMI OUTPUT-23'' Inches+FREE AERIAL+TV CABLE,5.0,0 Customer reviews,"KSh 6,890","KSh12,000"
SKU ID: 19028174,"GLD 32"" Inch,FRAMELESS SMART BLUETOOTH ENABLED-Android TV,NETFLIX+YOUTUBE-WIFI TELEVISION+FREE 8 GIFTS",5.0,0 Customer reviews,"KSh 13,899","KSh28,000"
SKU ID: 17140458,"Vision Plus 32 inch tv Smart TV frameless 32"" Frameless TVs Android , HD TV, DVB-T2 | S2, Televisions + FREE WALL BRACKET  VP8832SF 2 years  warranty quality audio televisions",5.0,0 Customer reviews,"KSh 13,299","KSh 20,000"
SKU ID: 18023017,AILYONS TV LET3208W 32 Inch Frameless ATV +DVB T2 Digital LED TV HD Television Digital TVS,5.0,0 Customer reviews,"KSh 10,599","KSh13,999"
SKU ID: 18351860,"Vitron HTC3200S,BLUETOOTH TV FRAMELESS 32 Inch Television Smart TV Android 11.0 TV Inbuilt Decoder 3*HDMI Ports,2*USB ports,1GB RAM 8GB ROM,Netflix,Youtube, Appstore Inbuilt Decoder 14 Months Warranty",5.0,0 Customer reviews,"KSh 12,295","KSh16,500"
SKU ID: 10001567965,EOCO 32 inch Frameless Bluetooth Smart TV(EO32S) Netflix Youtube Android AC Energy Saving Televison 1G+8G,5.0,0 Customer reviews,"KSh 11,099","KSh 15,000"
SKU ID: 10000651780,"VITRON 32"" INCH HTC3200S,BLUETOOTH TV,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14 MONTHS WARRANTY+3 FREE TOP GIFTS",5.0,0 Customer reviews,"KSh 12,999","KSh26,000"
SKU ID: 17229624,"VITRON 32"" Inch HD FRAMELESS LED TV DIGITAL Television Inbuilt Decoder for Local Channels, Wide Color Enhancer 3*HDMI 2*USB Ports HTC3218 + 6 FREE GIFTS",5.0,0 Customer reviews,"KSh 12,995","KSh17,500"
SKU ID: 17237746,Vitron 24 inch Digital TV HD LED TV AC/DC DVB-T2 V2446D,5.0,0 Customer reviews,"KSh 8,810","KSh11,999"
SKU ID: 10001451330,"VITRON HTC 4388FS 43"" INCH FRAMELESS,BLUETOOTH-ENABLED FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APPSTORE+ 6 FREE GIFTS",5.0,0 Customer reviews,"KSh 21,870","KSh26,000"
SKU ID: 19504227,"GLD 32"" Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTS+WIFI ACCESS + 6 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 13,875","KSh 18,500"
SKU ID: 10001165146,"BLUETOOTH-ENABLED VITRON 43"" INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+6 FREE GIFTS",5.0,0 Customer reviews,"KSh 21,799","KSh40,000"
SKU ID: 16762617,"Vitron HTC4068S,40 Inch Frameless Smart Android TV Inbuilt WIFI Netflix,Youtube Inbuilt Decoder Appstore 2*USB 3*HDMI 14 Months Warranty + 8 FREE GIFTS",5.0,0 Customer reviews,"KSh 19,999","KSh25,000"
SKU ID: 10000762579,"BLUETOOTH VITRON 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 4 GIFTS",5.0,0 Customer reviews,"KSh 20,989","KSh40,000"
SKU ID: 10001195450,"Skyworth 32E57, 32-inches Full HD Frameless Smart Google TV, Black (1YR WRTY)",5.0,0 Customer reviews,"KSh 15,999","KSh29,999"
SKU ID: 18048590,VITRON HTC3218 32 INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER for FREE to Air Channels 14 Months Warranty+ A FREE AERIAL+FREE 4-WAY EXTENSION +FREE FLASH DISK,5.0,0 Customer reviews,"KSh 11,999","KSh16,500"
SKU ID: 10001474127,CTC 19 inches led digital television inbuilt decorder,5.0,0 Customer reviews,"KSh 5,499","KSh7,999"
SKU ID: 15552777,"Vitron HTC3200S,FRAMELESS BLUETOOTH TV 32 Inch Smart Android TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, Google Playstore 14 Months Warranty+ FREE TV Guard+Bracket+Extension",5.0,0 Customer reviews,"KSh 12,995","KSh16,000"
SKU ID: 19680480,"VITRON 43"" INCH BLUETOOTH TV HTC4388FS FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+FREE TV GUARD +WALL BRACKET",5.0,0 Customer reviews,"KSh 20,999","KSh27,500"
SKU ID: 10001567947,EOCO 43 inch Frameless Bluetooth Smart TV(43EO4202S)Netflix Youtube Android AC Energy Saving Televison 1G+8G,5.0,0 Customer reviews,"KSh 17,999","KSh 24,000"
SKU ID: 10001155554,CTC 23 INCH LED DIGITAL TV With Inbuilt Decorder,5.0,0 Customer reviews,"KSh 6,750","KSh7,900"
SKU ID: 10001149796,"TCL 43"" Inch-S5400-BLUETOOTH TV,FUL HD-Smart & Digital ANDROID/GOOGLE TELEVISION,DOLBY AUDIO,FRAMELESS-NETFLIX-YOUTUBE+6 FREE GIFTS",5.0,0 Customer reviews,"KSh 30,999","KSh60,000"
SKU ID: 10001198339,"VITRON BLUETOOTH-ENABLED 32"" INCH HTC3200S,FRAMELESS Smart Android TV Inbuilt Decoder Inbuilt WIFI Netflix Youtube Appstore 2*USB 3*HDMI 14MONTHS WARRANTY+ 6 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,390","KSh26,000"
SKU ID: 19523181,"AMTEC 24V22 24"" inch 12V HD Digital TV LED TV AC/DC VGA Port Television Slim Design Inbuilt Decoder HD Clear Images USB HDMI ports Wide Color Enhancer",5.0,0 Customer reviews,"KSh 7,695","KSh10,000"
SKU ID: 18563799,"VITRON HTC3200S - 32"" Inch ,BLUETOOTH-ENABLED,FRAMELESS Smart Android 11.0 TV Inbuilt WIFI HDMIS,USB,Netflix,Youtube,Playstore Television",5.0,0 Customer reviews,"KSh 13,889","KSh28,000"
SKU ID: 10001628887,Artel 40 inch Frameless Bluetooth Smart TV(AT40EL01)Netflix Youtube Android AC Energy Saving Televison 1G+8G,5.0,0 Customer reviews,"KSh 16,599","KSh 18,000"
SKU ID: 10001155321,"Vitron HTC5568S,55"" inch FRAMELESS- 4K ULTRA HD Smart& Digital - Android 11 TV, Netflix, Youtube Bluetooth+360 BRACKET+TV GUARD+14 MONTHS WARRANTY",5.0,0 Customer reviews,"KSh 43,999","KSh80,000"
SKU ID: 18430960,"Vitron HTC4388FS,43"" Inch,BLUETOOTH-ENABLED,FRAMELESS,Smart Android 11.0 TV WIFI Netflix,Youtube,Playstore Television+FREE 7 GIFTS+14 MONTHS WARRANTY",5.0,0 Customer reviews,"KSh 22,889","KSh40,000"
SKU ID: 10001477026,"CTC 42 Inch Android Smart TV HD Television with 24 Months Warranty(CTC42F1S) Multi-screen, HDMI, Android 11.0, USB 2.0, Eco friendly, Narrow Bezel, DVB-T2, YouTube, Netflix, Prime Video",5.0,0 Customer reviews,"KSh 17,899","KSh 19,500"
SKU ID: 10000661274,"Hisense 43'' Inch A6 series,BLUETOOTH TV, Smart ULTRA HD 4K HDR Frameless,Netflix-Youtube LED TV,DOLBY AUDIO+6 FREE GIFTS",5.0,0 Customer reviews,"KSh 34,999","KSh80,000"
SKU ID: 10001504962,EOCO E-2600 Digital AC/DC TV Original 1080P Energy Saving Televison with 12 Months Warranty,5.0,0 Customer reviews,"KSh 7,899","KSh 9,500"
SKU ID: 19445422,"CTC 32"" Inches Frameless Bluetooth Enabled Smart Android  TV, Netflix, Inbuilt Decoder Youtube Television Connect Inbuilt WIFI,APP STORE  Smart Digital TV+ 6 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 12,895","KSh18,000"
SKU ID: 10001041465,EOCO E-2600 Smart Bluetooth AC/DC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G+8G with 12 Months Warranty,5.0,0 Customer reviews,"KSh 8,899","KSh 11,000"
SKU ID: 18065270,Vitron 55 Inches 4K UHD Smart Android TV with Bluetooth DVB-T2 Smart Tellevison OS Android 11 1.5G+8G HTC5568US,5.0,0 Customer reviews,"KSh 41,960","KSh59,999"
SKU ID: 10001172168,"VITRON 43"" INCH TV HTC4388FS BLUETOOTH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM+3 FREE GIFTS",5.0,0 Customer reviews,"KSh 21,299","KSh40,000"
SKU ID: 10000967622,"CTC 23'' Digital LED TV ,USB,HDMI PORT,23"" INCHES,DECODER,AC/DC.",5.0,0 Customer reviews,"KSh 6,799","KSh12,000"
SKU ID: 10001499181,EOCO E-2600 Smart Bluetooth AC/DC TV Original 1080P Netflix Youtube Android 14 Energy Saving Televison 1G+8G with 12 Months Warranty,5.0,0 Customer reviews,"KSh 8,899","KSh 11,000"
SKU ID: 10001165154,"BLUETOOTH VITRON 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 4 GIFTS",5.0,0 Customer reviews,"KSh 20,999","KSh40,000"
SKU ID: 10000693628,"VITRON HTC4388FS 43"" INCH BLUETOOTH FRAMELESS FHD SMART TV ANDROID TELEVISION NETFLIX ,YOUTUBE  43 INCH BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM + 4 EXTRA ACCESSORIES",5.0,0 Customer reviews,"KSh 20,895","KSh26,500"
SKU ID: 10000762585,"BLUETOOTH VITRON HTC4388FS , 43"" INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2*USB PORTS,3*HDMI+FREE 6 GIFTS",5.0,0 Customer reviews,"KSh 21,999","KSh40,000"
SKU ID: 19307847,"Amtec 32R1S 32"" inch Bluetooth enabled Television Smart Android TV Digital TV Inbuilt Decoder Built-in WIFI Appstore 1GB DDR,8GB RAM,4-CORE LED TV+ 8 FREE GIFTS",5.0,0 Customer reviews,"KSh 13,995","KSh18,000"
SKU ID: 20040285,"GLD 43"" inch TV Smart Android TV Bluetooth Connectivity Television, Inbuilt Decoder Netflix Youtube VGA HDMI USB Wide Color Enhancer + FREE TV GUARD+BRACKET",5.0,0 Customer reviews,"KSh 20,395","KSh26,500"
SKU ID: 19786201,"VISION PLUS 43"" inch FRAMELESS Full HD Smart Android TV BLUETOOTH,NETFLIX,YOUTUBE Inbuilt Decoder Dolby Audio WifiBuilt-in DVBT2/S2 Screen-Share + 6 EXTRA  ACCESSORIES",5.0,0 Customer reviews,"KSh 24,895","KSh28,000"
