clean_product_name,brand,size,tv_type,product_reviews,product_price
"Vitron HTC3200S,BLUETOOTH TV FRAMELESS 32 Inch Television Smart TV Android 11.0 TV Inbuilt Decoder 3HDMI Ports,2USB ports,1GB RAM 8GB ROM,Netflix,Youtube, Appstore Inbuilt Decoder 14 Months Warranty",vitron,32,smart,153,12295
"VITRON HTC 4388FS 43 INCH FRAMELESS,BLUETOOTH-ENABLED FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APPSTORE 6 FREE GIFTS",vitron,43,smart,4,21870
"VITRON 32 Inch HD FRAMELESS LED TV DIGITAL Television Inbuilt Decoder for Local Channels, Wide Color Enhancer 3HDMI 2USB Ports HTC3218  6 FREE GIFTS",vitron,32,digital,192,12995
"VITRON 32 INCH HTC3200S,BLUETOOTH TV,FRAMELESS Smart Android TV Inbuilt Decoder,WIFI Netflix Youtube Appstore 2USB 3HDMI 14 MONTHS WARRANTY3 FREE TOP GIFTS",vitron,32,smart,32,12999
"GLD 32 Inch Frameless Smart Android TV 32 inch Television,Bluetooth App-store ,Inbuilt Decoder Netflix Youtube, USB,HDMI PORTSWIFI ACCESS  6 EXTRA ACCESSORIES",vision,32,smart,43,13875
"BLUETOOTH-ENABLED VITRON 43 INCH FRAMELESS FHD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMI6 FREE GIFTS",vitron,43,smart,9,21799
"Vitron HTC4068S,40 Inch Bluetooth EnabledFrameless Smart Android TV Inbuilt WIFI Netflix,Youtube Inbuilt Decoder Appstore 2USB 3HDMI 14 Months Warranty  8 FREE GIFTS",vitron,40,smart,217,19999
"BLUETOOTH VITRON 43 INCH FRAMELESS FULL- HD SMART TV ANDROID TV NETFLIX ,YOUTUBE TELEVISION INBUILT DECODER , BUILT-IN WIFI, APP STORE 1GB-RAM 8GB-ROM 2USB PORTS,3HDMIFREE 4 GIFTS",vitron,43,smart,29,20989
"Skyworth 32E57, 32-inches Full HD Frameless Smart Google TV, Black 1YR WRTY",skyworth,32,smart,4,15999
VITRON HTC3218 32 INCH FRAMELESS HD DIGITAL TV WITH INBUILT DECODER for FREE to Air Channels 14 Months Warranty A FREE AERIALFREE 4-WAY EXTENSION FREE FLASH DISK,vitron,32,digital,92,11999
CTC 19 inches led digital television inbuilt decorder,vision,19,digital,2,5499
"Vitron HTC3200S,FRAMELESS BLUETOOTH TV 32 Inch Smart Android TV Inbuilt Decoder HDMI,USB,Netflix,Youtube, Google Playstore 14 Months Warranty FREE TV GuardBracketExtension",vitron,32,smart,61,12995
