clean_standingcooker_name,brand,standing_cooker_type,oven_capacity,standing_cooker_reviews,standing_cooker_price
Ramtons  EB302 -4 GAS 55X55 BROWN COOKER 5693,ramtons,4 gas,Unknown,1,29499
Volsmart 4 Burners VGS-681 Free Standing Gas Cooker Cooking Range with 80L Oven 3 Gas  1 Electric,volsmart,Unknown,Unknown,0,25699
"Mika 5060, 3 Gas Jet Burners  1 Rapid Hot Plate, Electric Oven, Rotisserie, Button Ignition Standing Gas Cooker",mika,Unknown,Unknown,0,32899
"Mika All Gas, Free Standing Cooker - 50cm 60cm, Electric Oven Oven 1 YR WRTY",mika,Unknown,Unknown,0,25999
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Silver",mika,Unknown,Unknown,0,35999
Mika 5060cm standing cooker cooker 3G1E Hotplate with Electric oven Automatic ignition1 YEAR WARRANTY,mika,Unknown,Unknown,0,32999
"Nunix 6060 31 Free Standing Cooker with Electric oven, 3 GAS  1 HOT PLATE WITH ELECTRIC OVEN",nunix,Unknown,Unknown,0,26599
"VOLSMART 6060, 3 Gas Jet Pool Burners  1 Rapid Plate Cooker Electric Oven",volsmart,Unknown,Unknown,0,29000
"BJs 3 Gas Burner,1 Hotplate, 6060 Cooker, Food Warmer, Turbo Fan",bjs,Unknown,Unknown,0,35999
VON  4 Burner Free standing Auto Ignation Burner With CYLINDER COMPARTMENT,von,Unknown,Unknown,0,18279
"Ramtons Cooker, 60 by 60, 3 Gas  1 Electric  Standing Cooker with Electric Oven",ramtons,Unknown,Unknown,0,45999
"SAYONA FREE STANDING 50CM X 50CM, 3GAS 1ELECTRIC, GAS OVEN - WHITE",sayona,Unknown,Unknown,0,24975
"VOLSMART 6060, 3G 1E Free Standing Cooker with Electric Oven",volsmart,Unknown,Unknown,0,27599
RAMTONS 3G1E 60X60 SILVER COOKER - RC606,ramtons,Unknown,Unknown,0,48600
"Ramtons RG547-GAS COOKER 4 BURNER STAINLESS STEEL WITH STAND
Key Features
4 Gas Burners
Stainless steel top
Easy assembly
Auto-Ignition
Black colour
With metal lid
Whats in the box
RG547 4GAS TABLE",ramtons,4 gas,Unknown,0,14444
"Sarahtech, 50 by 50, 3 Jet Pool Gas Burner 1 Electric Plate Standing Cooker  Electric Oven",sarah,Unknown,Unknown,0,25999
Xmas Mega SaleVolsmart cooker 4 Burners VGS-580 Free Standing 4 Gas Burners Oven Cooker Gas Cooker Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker  Gas Oven Gas stove,volsmart,4 gas,Unknown,0,18699
"Pac Gas Regulator 6Kg Gas Cylinder Plus Free Gas Pipe,",Unknown,Unknown,Unknown,0,890
Hisense Free Standing Gas Cooker 4 Burner Gas Stove HFG50111X Gas Oven,hisense,Unknown,Unknown,15,28499
Today OnlyHisense 4 Burner Gas Cooker Gas Oven Stainless Steel HFG60121B Cooker with Oven,hisense,Unknown,Unknown,10,34199
WE ARE SELLING AT WHOLASE PRICES OF KSH 4150 ALYONS Top Infrared Gas Stove Double Burner-2 Burner VER QUALITY LONG LASTING HELPS YOU SAVE ALOT OF GAS,Unknown,Unknown,Unknown,0,4150
Mika 50 X 60CM Standing Cooker 3 Gas Jet Pool Burners  1Electric Hotplate With Electric Oven with Button Ignition,mika,Unknown,Unknown,0,32999
Nunix 4 Gas Burner Stove with Shelf,nunix,4 gas,Unknown,0,9191
"BJS Standing Oven Cooker 3Gas1Hotplate of 1000W, Electric Oven with Turbo Fan, SILVER",bjs,Unknown,Unknown,0,37899
"CLEARANCE SALE BJS Standing Oven Cooker 3Gas1Hotplate of 1000W, Electric Oven with Turbo Fan, SILVER1 YEAR WARRANTY",bjs,Unknown,Unknown,0,37899
New ArrivalsBruhm gas cooker  BGC - 66M310RSN silver 31 gas oven with electric grill,bruhm,Unknown,Unknown,0,41499
"CLEARANCE SALE BJS Standing Oven Cooker 3Gas1Hotplate of 1000W, Electric Oven with Turbo Fan, BLACK1 YEAR WARRANTY",bjs,Unknown,Unknown,0,36999
"Eurochef 31 standing gas Cooker 3 Gas Burners 1 electric Hot Plate,75L Electric Oven With Timer",eurochef,Unknown,Unknown,2,25500
"CLEARANCE SALE MIKA MST5060U11ESL,Standing Cooker, 50cm x 60cm, 4 Gas Pool Jet Burners, Button Ignition, Gas Oven 1 Burner,SILVER",mika,4 gas,Unknown,0,25999
"CLEARANCE SALE MIKA Standing Cooker, 50cm x 60cm, 4 Gas Pool Jet Burners, Button Ignition, Gas Oven 1 Burner, Black Hob, Silver Body",mika,4 gas,Unknown,0,25899
"BJS Standing Oven Cooker 3Gas1Hotplate of 1000W, Electric Oven with Turbo Fan, BLACK",bjs,Unknown,Unknown,0,36999
"CLEARANCE SALEMika 50cm x 60cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie,Standing Cooker Electric Oven13KG REGULATORPIPE",mika,Unknown,Unknown,0,33899
"CLEARANCE SALEMika 50cmx 60cm,3 Gas Jet Pool Burners1 Hot Plate, Button Ignition,Standing Cooker Electric Oven,RotisserieFREE GIFTS",mika,Unknown,Unknown,0,33699
"MIKA Standing Cooker, 50cm x 60cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie, Black Hob, SilverFREE GIFTS",mika,Unknown,Unknown,0,33899
"MIKA Standing Cooker, 50cm x 60cm, 3 Gas Pipe Burners  1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Black Hob, Silver FREE GIFTS",mika,Unknown,Unknown,0,33799
BJS 60X60 3-GAS1 Hot Plate With Turbo-FAN Quality Standing Cooker BLACK  FREE GAS Pipe  Clips,bjs,Unknown,Unknown,0,39000
"EK-B002C hardened Glass top Gas Stove, 2 Burners Gas Cooker, Table Top",Unknown,Unknown,Unknown,0,3299
CLEARANCE SALEMika 50 X 60CM Standing Cooker 3 Gas Jet Pool Burners  1Electric Hotplate With Electric Oven with Button IgnitionFREE GIFTS,mika,Unknown,Unknown,0,33899
"CLEARANCE SALEMIKA Standing Cooker, 50cm x 60cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie, SilverFREE GIFTS",mika,Unknown,Unknown,0,33999
"Mika MST5060U11ESL,4 Gas, 50cm x 60cm, Button Ignition Free- Standing Cooker with Gas Oven1 year warranty",mika,4 gas,Unknown,0,25999
"Mika MST5060U31PSB, 5060, 3 Gas Jet Burners  1 Electric Plate With ROTISSERIE Standing Cooker And 4 Function Electric Oven1 YEAR WARRANTY",mika,Unknown,Unknown,0,32999
"Mika MST5060U31PSB, 50CM60CM, 3 GAS JET BURNERS  1 RAPID HOT PLATE, ROTISSERIE, ELECTRIC OVEN COOKER",mika,Unknown,Unknown,0,32999
"CLEARANCE SALE Nunix FREE STANDING COOKER 50  55cm Cooker, 4 Gas Burners With Gas Oven1YEAR WARRANTY",nunix,4 gas,Unknown,0,19999
"CLEARANCE SALE Sarah 50 x 50, 3 Gas Pool Jet Burners  1 Hot Plate, Free Standing Cooker  Electric Oven1 YEAR WARRANTY",sarah,Unknown,Unknown,0,24799
"Sarah 50cm by 50cm, 3 Gas Pool Jet Burners  1 Hot Plate Free Standing Cooker with Electric Oven",sarah,Unknown,Unknown,0,24799
"Mika MST5060U33PFB, 50cm x 60cm,3 Gas Pool Jet Burners1Electric Hotplate, Standing Cooker With Elecric Oven1 YEAR WARRANTY",mika,Unknown,Unknown,0,32999
"Mika 3 Gas Jet Pool Burners  1 Rapid Plate, 5060, Electric Oven  ROTISSERIE Free Standing Cooker",mika,Unknown,Unknown,0,32990
"CLEARANCE SALE Sarah 50X50 Free Standing 3 Gas Pool Jet Burners  1 Electric Hotplate,Electric Oven Cooker1 YEAR WARRANTY",sarah,Unknown,Unknown,0,24799
"Mika Free Standing Cooker,50cm X 60cm,3 Gas Jet Pool Burners1 Hot Plate, Button Ignition, Electric Oven1YEAR WARRANTY",mika,Unknown,Unknown,0,32999
"CLEARANCE SALE BJS Standing Oven Cooker 3Gas1Hotplate of 1000W, Electric Oven with Turbo Fan, GRAY1 YEAR WARRANTY",bjs,Unknown,Unknown,0,37899
"CLEARANCE SALE Mika MST5060U33PFB, 50cm x 60cm,3 Gas Pool Jet Burners1Electric Rapid Hotplate, Standing Cooker With Elecric Oven1 YEAR WARRANTY",mika,Unknown,Unknown,0,33999
BJS 3  1 free Standing gas cooker with 60L Electric Oven And Turbo fan BJS I-6011T Black 60 X 60 3 GAS  1 100W Hot Plate With Turbo-FAN,bjs,Unknown,Unknown,0,45000
"Eurochef Single Plate electric cooker, very durable and fast cooking. Gass cookers and stoves",eurochef,Unknown,Unknown,0,1899
"VON 58cm by 58cm, 3 Gas Jet Pool Burners  1 Electric Hotplate Electric Oven -  Graphite Grey",von,Unknown,Unknown,0,44999
"VON 58cm by 58cm, 3 Gas Pool Jet Burners 1 Electric, Free Standing Cooker with Electric Oven",von,Unknown,Unknown,0,43999
"CLEARANCE SALEMIKA  FREE Standing Cooker, 50cm x 60cm, 3 Gas Burners  1  Hot Plate, Button Ignition,Electric Oven, BLACK",mika,Unknown,Unknown,0,29999
"CLEARANCE SALEMIKA Standing Cooker, 50cm x 60cm, 3 Gas Burners  1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, BLACK",mika,Unknown,Unknown,0,29999
"Sarah 60 x 60, 3 Gas Pool Jet Burners  1 Hot Plate, Free Standing Cooker  Electric Oven1 YEAR WARRANTY",sarah,Unknown,Unknown,0,28799
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, MST58U31E3BLEM",mika,Unknown,Unknown,0,36699
"CLEARANCE SALENunix 50cm  55cm Cookers 3 Gas burners, 1Electric Hotplate with Electric Oven 1YR WRTY",nunix,Unknown,Unknown,0,23899
"CLEARANCE SALE VON  3 Gas  1 Electric Hotplate, Electric Oven 50x50 ,Grey,VCF503131NFY 1 YEAR WARRANTY",von,Unknown,Unknown,0,28990
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners  1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, BLACK",mika,Unknown,Unknown,0,36699
CLEARANCE SALE Nunix 60CM x 60CM  3 Gas 1 Electric HotplateElectric Oven Free Standing Cooker1 YEAR WARRANTY,nunix,Unknown,Unknown,0,26999
"VON 58cm by 58cm, 3 Gas Pool Jet Burners 1 Electric, Free Standing Cooker with Electric Oven1YEAR WARRANTY",von,Unknown,Unknown,0,41999
"CLEARANCE SALE VON 58cm X 58cm, 3 Gas Pool Jet Burners 1 Electric, Free Standing Cooker with Electric Oven1YEAR WARRANTY",von,Unknown,Unknown,0,41899
ELEVATE YOUR CCOKING STYLE WITH Rashnik DOUBLE SPIRAL HOT PLATE 2 - Burner Table Top,rashnik,Unknown,Unknown,0,3200
ELEVATE YOUR KITCHEN WITH COLOURFUL Rashnik Single SOLID Hot Plate Electric Burner .WELCOME ALL.,rashnik,Unknown,Unknown,0,1900
BRUHM GAS COOKER BGC- 66310RSN BLACK 31 GAS OVEN WITH ELECTRIC GRIILL,bruhm,Unknown,Unknown,0,41499
