standing_cooker_name,standing_cooker_reviews,standing_cooker_price
GAS COOKERS. Sarahtech 50*55 Standing Cooker 3 Gas Pool Jet Burners +1 Electric Hotplate With Electric oven.,(0),"KSh 28,600"
"VON COOKER 50cmx 60cm, 3 Gas+1 Electric Free Standing Cooker plus Electric Oven plus free pipe and regulator",(0),"KSh 37,999"
Nunix 60 x 60 3 Gas + 1 Electric Free Standing Cooker With Electric oven,(0),"KSh 29,970"
60 * 90 Eurochef 4 Gas +1 Electric Standing Cooker - With Electric Oven,(0),"KSh 44,550"
"Roch black 60×60 standing 3+1 cooker; This cooker is equipped with 3 +1gas burners, with independently adjustable flame levels.",(0),"KSh 36,500"
"Globalstar full gas standing cooker Globalstar full gas standing cooker,Electric Oven with Lamp, Auto Ignoition, Oven with thermostat, Turnspit(Chicken Rotisserie),",(0),"KSh 21,199"
"🔥🔥🔥50×55 Euroken 3+1 standing cooker with electric oven cookerSleek Design: Adorned with a polished stainless steel body, the Euroken Euro55-3+1-E exudes elegance and durability, making it a stylis",(0),"KSh 21,999"
"50×55 Euroken 3+1 standing cooker with electric oven cookerSleek Design: Adorned with a polished stainless steel body, the Euroken Euro55-3+1-E exudes elegance and durability, making it a stylis",(0),"KSh 21,699"
"COOKER.MIKA Standing Cooker, Marble Mika Standing Cooker 58 x 58 cm 3Gas + 1Electric Hotplate with Electric Oven, Button Ignition, 3 Function Electric Oven, Black Hob.",(0),"KSh 39,999"
"TOP RATED PRODUCTS. COOKER. New model silver BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN,Rotisserie, Mechanical Timer, Thermostat, Oven Lamp, Double Glass Oven Door",(0),"KSh 41,850"
"HIGHLY RECOMMENDED. COOKER. New model grey BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN,Rotisserie, Mechanical Timer, Thermostat, Oven Lamp, Double Glass Oven Door",(0),"KSh 41,175"
"2 gas burner commercial, Burners, Propane and Natural Gas Countertop Cooking Stove Range, Stainless Steel Gas Hot Plate, Commercial Cooking Equipment for Restaurant,",(0),"KSh 15,930"
"Induction cooker double,Non-stick, 1800W Portable Induction Stove with 11 Power levels, Easy Knob Operation, Timer & Lock,",(0),"KSh 10,266"
GAS COOKERS. Sarahtech 50*55 Standing Cooker 3 Gas Pool Jet Burners +1 Electric Hotplate With Electric oven.,(0),"KSh 28,080"
Silver 50*55 Unitech full gas  freestanding JET autoignition cooker,(0),"KSh 19,549"
"Nunix 3G + 1E, 50 by 55 Standing Cooker with Electric Oven",(4),"KSh 24,999"
"Marble Mika Standing Cooker 58 x 58 cm 3Gas + 1Electric Hotplate with Electric Oven ,Electric Oven, Rotisserie, Button Ignition Standing Gas Cooker",(0),"KSh 41,005"
"Bjs 60×60 3+1 Freestanding cooker with electric oven ,Special unbreakable Top Lid,Special high-density insulation- for faster & quick baking",(0),"KSh 40,415"
Ramtons 3G+1E 60X60 SILVER COOKER - RC/606 (1YR WRTY),(0),"KSh 49,000"
Nunix Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 37,999"
Volsmart 4 Burners VGS-580 Free Standing Gas Cooker Cooking Range with 60L Oven 4 Gas Cooker + Gas Oven,(0),"KSh 19,999"
COOKER. Marble Mika Standing Cooker 58 x 58 cm 3Gas + 1Electric Hotplate with Electric Oven,(0),"KSh 43,875"
"Premier 4 BURNER GAS COOKER FLOOR STANDING It has a sleek, modern design that will complement any décor, and it is packed with features that will make cooking a breeze.",(0),"KSh 9,440"
"50*55 Nunix 3+1 standing cooker, 21 Inches Tall,1.77 Cu.Ft Propane upgraded 60L electric oven.Cooker with 3 Burners Gas Stove for RV and one hot plate., Apartment, Mobile Home, Stainless Steel.",(0),"KSh 25,960"
GAS COOKERS. Sarahtech 60*60 Standing Cooker 3 Gas Pool Jet Burners +1 Electric Hotplate With Electric oven.,(0),"KSh 31,455"
"Silver 50*55 Unitech full gas  freestanding JET autoignition cookerBuilt-in Timer

Built-in Temperature Controller

Stainless Steel Panel",(0),"KSh 18,225"
"60*60 Roch silver 3+1 standing cooker 3 gas pool burners + 1 electric plate
Single spit rotisserie
With oven lamp, timer & thermostat",(0),"KSh 38,475"
Nunix COOKER 3Gas Plus 1 Electric Hotplate Cooker With 60L Oven,(0),"KSh 24,999"
Nunix Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 20,999"
"60*80 Unitech 5 burner freestanding  full gas cooker Built-in Timer

Built-in Temperature Controller

Stainless Steel Panel",(0),"KSh 35,100"
Nunix  cooker 60x60 3+1 Electric Free Standing Cooker,(0),"KSh 27,659"
3+1 Von 58*58 standing cooker Electric Hotplate AND Electric Oven,(0),"KSh 41,000"
"VON 58cm by 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven",(0),"KSh 41,299"
Eurochef Free Standing 3 Gas Burner +1 Electric Cooker With Oven,(0),"KSh 26,449"
"KILIMALL BLACK FRIDAY SPECIAL OFFER,60*90 Eurochef 4+2 standing cooker,Electric Free Standing Cooker",(0),"KSh 55,873"
Von 60 * 60 VAC6SV31UY 3 Gas + 1 Electric  Standing Cooker – Grey Auto ignition C-cup burner Mechanical timer Double glass door Adjustable feet,(0),"KSh 43,200"
"58cm by 58cm, 3 Gas Pool Jet Burners +1 Electric, Free Standing Cooker with Electric Oven+1YEAR WARRANTY",(0),"KSh 41,900"
"Nunix 50 * 55cm 3 Gas, 1 Electric Standing Gas Cooker - With Oven",(0),"KSh 27,000"
3 gas + 1 Electric hot plate Sayona standing gas cooker with 60L Electric Oven 50x55x85cm,(0),"KSh 26,500"
Nunix Free Standing 3 Gas Burner-60 BY 60 +1 Electric Cooker With Electric oven,(0),"KSh 29,599"
EUROCHEF 4 Gas Burner + Electric Oven Stand Gas Cooker 50x55cm EG55-4G+E,(0),"KSh 22,999"
"3G+1E RAMTONS (RC/606) 60X60 SILVER STANDING GAS COOKER - Auto Ignition, Top & Bottom Heating, Grill & Turnspit, Oven Lamp, Mechanical Timer, Molded Oven Side Racks",(0),"KSh 48,600"
"Volsmart 60*60  Jet 3 +1 Standing Gas Cooker - 3 Euro Pool Gas Burners + 1 Rapid Hotplate, Electric oven , Auto ignition",(0),"KSh 30,375"
"BJS Standing Oven Cooker 3Gas+1Hotplate, Electric Oven with Turbo Fan, Silver/Inox + FREE Gas Pipe & Clips",(0),"KSh 38,500"
Nunix 60*60 3gas+1 hot plate free standing cooker,(0),"KSh 28,000"
Nunix 60×60 3+1 Freestanding cooker with electric oven,(0),"KSh 27,999"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate Standing Cooker with Electric Oven",(0),"KSh 30,375"
NEW MODEL SILVER BJS 60X60 3-GAS+1 HOT PLATE STANDING COOKER WITH TURBO FAN AND ELECTRIC OVEN,(0),"KSh 42,525"
"VON 50 By 60, 3G+1E Free Standing Cooker With Electric Oven",(0),"KSh 42,899"
Von 3 Gas + 1 Electric Cooker standing Cooker 50*60,(0),"KSh 33,899"
TLAC 4 GAS 2 ELECTRIC STANDING GAS COOKER - WITH ELECTRIC OVEN,(0),"KSh 79,650"
Silver 50*55 Unitech full gas  freestanding JET autoignition cooker,(0),"KSh 19,549"
Nunix 60*60 3gas+1 hot plate free standing cooker,(0),"KSh 28,300"
Nunix 4 Gas Cooker Plus Shelves LTS-01,(0),"KSh 8,999"
"RAMTONS 4 BURNER STAINLESS STEEL GAS COOKER WITH SHELVES - 4 Gas Burners, Stainless steel top, Easy assembly, Auto-Ignition, Black colour, With metal lid .",(0),"KSh 12,825"
"Nunix 50 * 55cm Cooker, 4 Gas Burners Standing Gas Cooker - With 60 L Gas Oven",(0),"KSh 22,275"
BJS I-6011T-GREY 60X60 3-GAS+1 Hot Plate With Turbo-FAN,(0),"KSh 40,100"
"Volsmart 3 Gas +1 Electric , (Jet Valve ) Free Standing Cooker With Electric Oven",(0),"KSh 31,050"
Eurochef 60 By 65 3 Gas +1Electric Hotplate  Standing Cooker - With Electric Oven,(0),"KSh 33,480"
"[Price Drop!] Mika 50x60, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate,Rotisserie Free Standing Cooker + Electric Oven",(0),"KSh 32,999"
VON (VAC9FH42CX) STANDING COOKER - 4 GAS + 2 ELECTRIC BURNERS,(0),"KSh 87,750"
German Technology  Gas stove with stand shelf....4 Burner gas cooker floor stand,(0),"KSh 9,894"
Amaze Table top single Burner Gas Cooker with auto Ignition,(0),"KSh 1,925"
3+1 EuroChef(60*60) Standing Cooker,(0),"KSh 38,999"
Premier 4 Burner Table Top Gas Stove,(0),"KSh 9,399"
White Sayona 3gas+1 electric plate standing cooker with gas oven,(0),"KSh 26,499"
Nunix Cooker 3 Gas +1 Electric Plate standing Cooker Plus Shelves,(0),"KSh 11,049"
VOLSMART COOKER 3gas +1 Electric Free Standing Cooker With Oven,(0),"KSh 24,400"
"CLEARANCE SALE Nunix 60×60 3+1 Free Standing Cooker with Electric oven, 3 GAS + 1 HOT PLATE WITH ELECTRIC OVEN FREE WIPING CLOTH & EXTENSION,",(0),"KSh 27,999"
"Mika 50CM X 60CM, 3G+1 Electric Free Standing Cooker + Electric Oven",(0),"KSh 36,450"
Nunix 3Gas Plus 1 Electric Hotplate Cooker With 60L Oven,(0),"KSh 24,985"
"MIKA,MST58U31E3SLEM, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven Standing Cooker",(0),"KSh 34,999"
Premier 4-Gas Cooker Plus Shelves,(0),"KSh 8,499"
60*60 VON Cooker 3 Gas + 1 Electric Standing Cooker,(0),"KSh 43,200"
Nunix Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 20,780"
"MIKA MST5060U31PSB, 50cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie Standing Cooker",(0),"KSh 32,995"
"MIKA, MST6060U31PFB, 60cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Auto Ignition, 4 Function Electric Oven, Rotisserie,  Standing Cooker",(0),"KSh 42,999"
"MIKA, MST6060U31PSB, 60cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Auto Ignition, 4 Function Electric Oven, Rotisserie,  Standing Cooker",(0),"KSh 42,995"
Volsmart 4 Burners Full Gas Jet Free Standing Gas Cooker,(0),"KSh 21,330"
"Share this product


Black Friday deal
Eurochef EG55-3G1E+E OVEN Free Stand Glass Top Cooker,rotisserie Silver, 60L",(0),"KSh 25,000"
Nunix 3 Gas +1 Electric Hot Plate Cooker With 60L Oven,(0),"KSh 24,985"
60*60 VON Cooker 3 Gas + 1 Electric Standing Gas Cooker with Electric Oven,(0),"KSh 41,850"
"Nunix Free standing auto ignition 3gas +1 electric hot plate 50*55
Key Features
Digital Display

See Through Oven Door Glass

Warming Drawer Compartment

Built-In Timer - Easy to Interpret

Rotisserie",(0),"KSh 31,222"
ROCH 4 GAS TOP STAINLESS STEEL,(0),"KSh 7,399"
"Mika MST5060P11ELS, All Gas, 50CM X 60CM, Free Standing Cooker with Gas Oven",(0),"KSh 24,999"
"HUGE SAVINGS. COOKER. Ramtons RF/496- 60*90 Stainless Steel Cooker (1YR WRTY) with gas compartment, Convection electric oven, Gas cylinder compartment, Cast iron pan supports",(0),"KSh 83,500"
Eurochef full gas with electric oven +timer standing cooker,(0),"KSh 27,049"
Roch 60X60 3 Gas + 1 Electric Standing gas cooker - With Electric Oven,(0),"KSh 40,500"
"REBUNE 2 BURNER STANDING GAS COOKER - With 2 Tier Shelves , Energy Saving & Gas Saving, High Speed Ignition, Ample Storage Space,",(0),"KSh 16,200"
Nunix (LTS-02) 3 Gas +1 Electric Plate Standing Cooker,(0),"KSh 11,020"
50*50 CM FREE STANDING 3GAS +1 ELECTRIC COOKER - WITH GAS OVEN,(0),"KSh 24,975"
Eurochef Free Standing 4 Burner  Gas Cooker With gas Oven,(0),"KSh 23,299"
60*90 Von 4+2  With Gas Compartment Standing Cooker,(0),"KSh 87,750"
Volsmart (VGS-580) Full Gas Free Standing Cooker With Oven,(0),"KSh 21,330"
Nunix 3 Burner Low Gas Consumption Glass Top Table Infrared Cooker,(0),"KSh 5,275"
Roch 60X60 3 Gas + 1 Electric Standing Cooker - With Electric Oven,(0),"KSh 37,800"
3+1 Von 58*58 standing cooker Electric Hotplate AND Electric Oven,(0),"KSh 45,225"
Nunix 3 Gas + 1 Electric Hotplate Free Standing Cooker With Shelves,(0),"KSh 10,260"
"Eurochef 60*60 Full Gas Standing Cooker - With Safety Detector, Rotisserie,Timer and Pulse Ignition Standing Jet Cooker",(0),"KSh 26,730"
"Mika 50*60, All 4 Gas Standing Cooker + Electric Oven",(0),"KSh 28,999"
TLAC 4 GAS 2 ELECTRIC STANDING GAS COOKER - WITH ELECTRIC OVEN,(0),"KSh 79,329"
Nunix (LTS-02) 3 Gas +1 Electric Plate standing Cooker - With Shelves,(0),"KSh 10,260"
"VON 60×60 3 Gas Burner +1 Electric Standing Gas Cooker , With Oven",(0),"KSh 42,525"
Nunix Two Burners Table Top Gas Cooker Stainless Steel,(0),"KSh 2,999"
Nunix Free Standing Cooker 60x60 3 gas burner and 1 Electric Hot plate with an Electric Oven with Timer and Oven Lamp HUGE OFFER,(0),"KSh 27,899"
Nunix Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 20,750"
RAMTONS RG/547 4 BURNER STANDING GAS COOKER - STAINLESS STEEL WITH SHELVES,(0),"KSh 12,825"
"Nunix KZ-560-GO Free Standing 4 Gas Burners Oven Cooker Gas Cooker Black 50*55*84cm + Free 4pcs Burner Protector , 13Kg Regulator with Guange and 1.5Mtrs Gas pipe",(0),"KSh 24,560"
Nunix Premium Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 22,199"
"KILLMALL BACK SPECIAL OFFERS. Nunix Full Gas Free Standing Cooker with Shelves This Nunix gas cooker brings stylish, intelligent appliances into your home. With a history of trusted innovation",(0),"KSh 9,199"
"Sayona Standing Gas Cooker (3G+1E), 50*50 With GAS Oven+2 YEARS WARRANTY",(3),"KSh 23,499"
Nunix 6 0x 60 3 Gas +1 Electric Free Standing Cooker With Oven,(0),"KSh 29,700"
"Nunix (LTS-02) Cooker 3 Gas +1 Electric Plate standing Cooker Plus Shelves -  Automatic ignition, Low gas consumption, Improved gas flow, With Storage compartments .",(0),"KSh 10,260"
"Nunix (LTS-01) Full Gas Standing Cooker With Shelf - 4 gas burners
Automatic ignition, Low gas consumption, Improved gas flow, Net weight: 4kg, Portable .",(0),"KSh 8,910"
"VON HOTPOINT 58cm x 58cm, 3 Gas Jet Burners + 1 RAPID Hot Plate, FLAME FAILURE SAFETY, Rotisserie, Integrated Ignition Standing Cooker with Electric Oven",(0),"KSh 45,999"
NUNIX DECEMBER SALE NUNIX STAND ALONE FULL GASS 50*55 cm +OVEN,(0),"KSh 19,888"
"MIKA, MST5060P4GESL, 50cm x 60cm, 4 Gas Pipe Burners, Button Ignition, 3 Function Electric Oven, Standing Cooker",(0),"KSh 28,995"
VISION PLUS 3 Gas + 1 Electric Plate 55X60 Standing Cooker with Electric Oven,(0),"KSh 36,500"
"Globalstar full gas standing cooker Globalstar full gas standing cooker,Electric Oven with Lamp, Auto Ignoition, Oven with thermostat, Turnspit(Chicken Rotisserie),",(0),"KSh 18,500"
"NEW ARRIVALS. COOKER. BJS SILVER 60x90 5+1 Hot Plate Gas Cooker, Wok Burner, w/ Turbo Fan, Oven 90L Capacity, Electric Oven, Pool Jet valve for efficient Gas Consumption, Electric oven and grill",(0),"KSh 69,999"
🏋‍♀️🏋‍♂️💃HAVE THE BEST EXPERIENCE 👌 🏃Eurochef EG55 3+1E free standing gas cooker electric oven.EUROCHEF 3Gas+1ELECTRIC Burner Free Standing Cooker with Eletric Oven(EG55-3G1E+E) A cost-effective,(0),"KSh 24,599"
NUNIX 50 * 55cm  Standing Cooker - 4 Gas Burners & Gas Oven,(0),"KSh 22,410"
"50×55 Euroken 3+1 standing cooker with electric oven cookerSleek Design: Adorned with a polished stainless steel body, the Euroken Euro55-3+1-E exudes elegance and durability, making it a stylis",(0),"KSh 21,999"
EG55T-3G1E-E Euroken 3 Gas 1 Electric Standing Cooker + Electric Oven- 3+1 black WITH TIMER,(0),"KSh 22,500"
60*80 Unitech 5 Burner Freestanding  Full Gas Cooker - With Electric Oven,(0),"KSh 35,100"
Unitech 4 Gas Burners Free Standing Cooker - With Electric Oven,(0),"KSh 18,225"
Mika 60*60 Standing Cooker 3 Gas + 1 Electric - With Electric Oven,(0),"KSh 47,925"
"Nunix (LTS-01) Full Gas Standing Cooker With Shelf - 4 gas burners, Automatic ignition, Low gas consumption, Improved gas flow .",(0),"KSh 8,910"
"Cooker, Free Standing 58x58, 3 Gas Pool Jet Burners +1 Electric Hotplate, Electric Oven",(0),"KSh 37,000"
"VON Cooker, Free Standing 58x58, 3 Gas Pool Jet Burners +1 Electric Hotplate, Electric Oven",(0),"KSh 36,599"
Volsmart 60*60 full gas JET standing cooker,(0),"KSh 24,999"
Eurochef EG55 3+1E free standing gas cooker electric oven.EUROCHEF 3Gas+1ELECTRIC Burner Free Standing Cooker with Eletric Oven(EG55-3G1E+E),(0),"KSh 22,799"
Ramtons 4 burner standing cooker with shelf,(0),"KSh 13,999"
White Sayona 3gas+1 electric plate standing cooker with gas oven,(0),"KSh 24,975"
EG55T-3G1E-E Euroken 3 Gas 1 Electric Standing Cooker + Electric Oven- 3+1 black WITH TIMER,(4),"KSh 23,999"
Nunix Free Standing 4 Gas Burner Cooker With Oven,(0),"KSh 20,770"
Volsmart full gas JET  standing  cooker,(0),"KSh 21,199"
"Hisense Built-in Hob 5 Burner, 1Wok burner. 90cmX60cm",(0),"KSh 38,750"
1Pc Volsmart full gas JET  standing  cooker,(0),"KSh 23,049"
TLAC 4 Gas 2 Electric Standing Cooker,(0),"KSh 79,650"
"GAS COOKER. SPECIAL OFFERS Sarah Tech Standing Cooker 60x60cm 3Gas + 1 Electric Hotplate, Electric Oven 60L oven Automatic Ignition Glass Top Cover",(0),"KSh 30,899"
"Volsmart 60*60  jet 3+1  standing cooker 3 Gas+1 Hot Plate
Electric Oven with Lamp
Auto Ignoition
Oven capacity: 60L
Oven with thermostat
Turnspit(Chicken Rotisserie)
Built-in Timer
Built-in Temperatu",(0),"KSh 31,050"
Nunix 60x60 3 Gas plus 1 Electric Free Standing Cooker With Electric oven,(0),"KSh 29,599"
RAMTONS RG/547-GAS COOKER 4 BURNER STAINLESS STEEL WITH STAND,(0),"KSh 12,825"
"BJS (INOX) 60x90 5+1 Hot Plate Gas Cooker, w/ Turbo Fan, Oven 90L Capacity",(0),"KSh 64,999"
Nunix Full Gas Standing Cooker With Shelf LTS-01,(0),"KSh 8,910"
CLEARANCE OFFER VON 60×60 Free Standing 3 Gas Burner +1 Electric Cooker Oven,(0),"KSh 37,500"
Nunix Cooker 3G+1E. Electric oven. 60*60cm.ELECTRIC FREE STANDING COOKER WITH ELECTRIC OVEN,(0),"KSh 25,000"
Nunix full gas standing cooker with shelf,(0),"KSh 9,789"
Nunix Cooker full gas. Gas oven. 50*55cm.,(0),"KSh 24,049"
NUNIX CLEARANCE SALE NUNIX STAND ALONE FULL GASS 50*55 cm +OVEN,(0),"KSh 21,199"
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, FLAME FAILURE SAFETY, Button Ignition, 4 Function Electric Oven, Rotisserie",(0),"KSh 49,999"
Euroken 50by 55 euro free standing cooker,(0),"KSh 24,360"
VON (VAC6SV31UY) 3 Gas + 1 Electric Cooker 60cmx60cm - SILVER,(0),"KSh 43,200"
"VON 50cmx 60cm, 3 Gas+1 Electric Free Standing Cooker plus Electric Oven. It provides even distribution of heat and emits less wasted heat than electric stoves so light it up and get cooking.",(0),"KSh 30,321"
Nunix 3 Gas+1 Electric FREE STANDING WITH EELCETRIC OVEN,(0),"KSh 27,799"
SPECIAL OFFER EUROCHEF EG55-4G+E 4 Gas Burner + Electric Oven Stand Gas Cooker 50x55cm,(0),"KSh 5,500"
60*60 Mika 3+1 Free Standing Gas Cooker,(0),"KSh 47,925"
Volsmart 60 * 60 Full gas Free Standing Cooker With Oven,(0),"KSh 24,975"
"MIKA MST5060U33PFB, 50cm x 60cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 4 Function Electric Oven, Rotisserie Standing Cooker",(0),"KSh 36,995"
"MIKA Standing Cooker, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, Button Ignition, 3 Function Electric Oven, Silver-MST58U31E3SLEM",(0),"KSh 36,999"
VOLSMART Standing Cooker 3+1E With Hotplate Electric Oven,(0),"KSh 31,725"
Nunix (LTS-01) Full Gas Standing Cooker With Shelf,(0),"KSh 8,910"
Ramtons RF/496- 60*90 Stainless Steel Cooker (1YR WRTY)with gas compartment,(0),"KSh 66,499"
Gas Burner and Valve,(0),KSh 550
Nunix 50 * 55 4 Gas Standing Cooker - With Oven,(0),"KSh 22,410"
"BJS Standing Oven Cooker 3Gas+1Hotplate of 1000W, Electric Oven with Turbo Fan, GREY",(0),"KSh 37,899"
"BJS (INOX) 60x90 4+2 Hot Plate Gas Cooker, w/ Turbo Fan, Oven 90L Capacity",(0),"KSh 62,999"
Nunix Full Gas Free Standing Cooker with Shelves,(0),"KSh 8,910"
3gas + 1 Electric 50x50x84 Sayona standing cooker with electric oven and Auto Ignition,(0),"KSh 26,000"
"Exzel Convection Oven Fan: EG6631PRM, 60cm*60cm Free Standing Electric Oven, Top Cooker with 2 Gas Europool burners and 1 Hotplate, 2 Years Warranty.",(0),"KSh 56,761"
Nunix 4 Gas Burners Standing Gas Cooker With Storage Shelf LTS-01,(0),"KSh 8,380"
EuroChef 3+1 Standing Cooker This gas‎‐electric combo burner will help you cook your food perfectly every time‎.‎ The gas cooker provides even distribution of heat and emits less wasted heat than elec,(0),"KSh 30,450"
"GAS COOKER. VOLSMART Standing Cooker, 60*60, 3 Gas Jet Pool Burners + 1 Hot Plate, Electric Oven",(0),"KSh 27,599"
Nunix (LTS-02)Cooker 3 Gas +1 Electric Plate standing Cooker With Shelves,(0),"KSh 10,260"
"Mika MST5060U33PFB,Free Standing Cooker,50cm X 60cm,3 Gas Jet Pool Burners+1 Hot Plate, Button Ignition, Electric Oven+1YEAR WARRANTY",(0),"KSh 33,999"
"Share this product


Haier 50x60cm Standing Cooker 3Gas + 1 Electric Hotplate, Electric Oven High Quality Gas Saving Efficient Automatic Ignition Metal Lid Cover",(0),"KSh 39,150"
Full Gas Volsmart Free Standing cooker with gas oven,(0),"KSh 21,500"
Premier 4 Burner Gas Cooker with Shelves,(0),"KSh 8,599"
"ELEVATE YOUR COOKNG STYLE WITH OFFERDABLE PROMOTION
Rashnik 1000ml,Single Solid Hot Plate Electric Cooker.",(0),"KSh 1,900"
TLAC 4 GAS 2 ELECTRIC STANDING GAS COOKER - WITH ELECTRIC OVEN,(0),"KSh 68,999"
PREMIER ALL GAS PM610G0 Four Burner Cooker,(0),"KSh 27,299"
"GAS COOKER. Eurochef 60*60 full gas with safety detector, rotisserie,timer and pulse ignition standing Jet cooker",(0),"KSh 28,999"
BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN,(0),"KSh 42,525"
"Nunix Cooker, 3 Gas Burners,Hot Plate, Electric Oven+1 YEAR WARRANTY",(4),"KSh 24,999"
VISION PLUS 3 Gas + 1 Electric Plate 55X60 Standing Cooker with Electric Oven,(0),"KSh 37,000"
Eurochef full gas with electric oven +timer standing cooker,(0),"KSh 24,549"
Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(0),"KSh 2,990"
Eurochef Table Top Stainless Steel 2 Burner Gas Cooker Plus 6kg Regulator And Pipe,(0),"KSh 2,440"
60*60 VON Cooker 3 Gas + 1 Electric,(0),"KSh 44,550"
Premier 4 Burner Gas Cooker with Shelves,(0),"KSh 8,599"
RAMTONS RG/547-GAS COOKER 4 BURNER STAINLESS STEEL WITH STAND,(0),"KSh 13,500"
GLOBAL TECH FULL GAS STANDING COOKER,(0),"KSh 19,575"
Nunix 4 Gas Burner Stove with Shelf,(0),"KSh 9,460"
"Volsmart 3+1 JET standing cooker with electric oven Built-in Temperature Controller

Stainless Steel Panel

Sturdy Glass Top

Oven with Heavy chromed oven grill & one oven tray

Double Glass Oven Door",(0),"KSh 27,000"
"3+1 Sarahtech 60*60 standing cooker  With this 4 burners  gas cooktop, you don’t have to sacrifice quality. It comes equipped with stainless steel surface and cast iron grates for effortless cleaning",(0),"KSh 31,725"
VON 60×60 Free Standing 3 Gas Burner +1 Electric Cooker Oven,(0),"KSh 38,500"
TLAC 4 GAS 2 ELECTRIC STANDING GAS COOKER - WITH ELECTRIC OVEN,(0),"KSh 70,000"
Nunix 4 Gas Burner Stove with Shelf,(0),"KSh 8,879"
"Volsmart, 60 by 60, 3 Jet Pool Gas Burner+ 1 Electric Plate Standing Cooker + Electric Oven",(0),"KSh 28,999"
"Exzel 3 Gas + 1 Electric Electric Oven: EG6631GY, 60cm*60cm, 3 Gas Europool burners and 1 Hotplate, Electrical Grill, Auto Ignotion. Grey/Black 2 Year Warranty.",(0),"KSh 43,600"
Ramtons RF/496- 60*90 Stainless Steel Cooker (1YR WRTY),(0),"KSh 71,000"
"Amaze 50 by 55, 3G+1E,  Standing Cooker with Gas Oven",(1),"KSh 21,999"
Nunix 3G+1E Gas Cooker with Storage Shelves,(0),"KSh 9,999"
BJS 60X60 3-GAS+1 Hot Plate With Turbo-FAN,(0),"KSh 42,525"
"Nunix Standing Cooker, 3 Gas Burners, Hot Plate AND Electric Oven",(0),"KSh 24,480"
Volsmart 60*60 full gas JET standing cooker,(0),"KSh 26,169"
Nunix 3+1 standing cooker,(0),"KSh 28,299"
60*60 VON Cooker 3 Gas + 1 Electric,(0),"KSh 43,200"
"MIKA, MST58UF31E4BX, 58cm x 58cm, 3 Gas Pool Jet Burners + 1 RAPID Hot Plate, FLAME FAILURE SAFETY, Button Ignition, 4 Function Electric Oven, Rotisserie, Standing Cooker",(0),"KSh 49,995"
"VOLSMART 60*60, 3 Gas Jet Pool Burners + 1 Rapid Plate Standing Cooker with Electric Oven",(0),"KSh 27,500"
REGULATOR 6KG ORIGINAL HIGH QUALITY REGULATOR PAC ITS A SNAP ON COMPACT LOW PRESSURE REGULATOR 5YRS GUARANTEE,(0),KSh 588
Nunix 3 Burner Auto Ignition Table Top Cooker 6kg Regulator And Pipe,(0),"KSh 3,199"
CLEARANCE OFFER VON 60×60 Free Standing 3 Gas Burner +1 Electric Cooker Oven,(0),"KSh 38,999"
REGULATOR 13KG COSCO REGULATOR..30MBAR always use it indoors and if outdoor then use it with a protector,(0),KSh 682
60*90 Eurochef 4+2 standing COOKER,(0),"KSh 66,150"
Ramtons RG/547-GAS COOKER 4 BURNER STAINLESS STEEL WITH STAND,(0),"KSh 13,770"
Volsmart 4 Burners Free Standing Gas Cooker Cooking Range with 60L Oven 3 Gas + 1 Electric+1 YEAR WARRANTY,(0),"KSh 23,999"
MEKO GAS BURNER 6kg,(0),KSh 299
RAMTONS RG/547-GAS COOKER 4 BURNER STAINLESS STEEL WITH STAND,(0),"KSh 13,770"
60*90 Eurochef 4+1 standing cooker,(0),"KSh 49,275"
Eurochef Free Standing 3 Gas Burner +1 Electric Cooker With Oven,(0),"KSh 25,999"
Nunix 60*60 3gas+1 hot plate free standing cooker,(0),"KSh 26,800"
Eurochef full gas with electric oven +timer standing cooker,(0),"KSh 28,320"
50*55 SARAHTECH 3+1 JET STANDING GAS COOKER,(0),"KSh 28,350"
Ramtons 3G+1E 60X60 SILVER COOKER - RC/606,(0),"KSh 48,600"
