Brand,Count
vitron,1249
vision,950
tcl,498
hisense,461
samsung,142
ctc,136
skyworth,123
gld,113
amtec,106
syinix,56
lg,56
Unknown,53
glaze,37
royal,35
synix,30
sony,30
artel,15
ica,15
ailyons,14
mg,14
solarmax,12
euroken,10
globalstar,9
tornado,8
eoco,7
wyinix,6
iconix,6
htc,5
star x,5
premier,5
itel,4
haier,4
konka,3
sonar,3
solar max,2
skyview,2
infinix,2
power,2
von,2
sardin,2
skymax,1
aiylons,1
alyons,1
ailynos,1
weyon,1
starmax,1
xiaomi,1
